hall,dd_group,day_of_week,avg_diff,plus_rate,hit104_rate,n,ci_low,ci_high,tier
蒲田1,4系,月,-2,37.7,29.7,2416,-97,82,C
蒲田1,4系,火,52,37.7,29.9,2876,-21,127,C
蒲田1,4系,水,-15,35.9,29.4,2499,-90,66,C
蒲田1,4系,木,69,36.6,29.9,2250,-19,166,C
蒲田1,4系,金,-82,34.8,27.6,2697,-160,-11,C
蒲田1,4系,土,54,42.2,31.7,2883,-62,169,C
蒲田1,4系,日,5,37.2,29.4,2113,-112,126,C
蒲田1,7系,月,109,42.6,32.7,2947,10,204,C
蒲田1,7系,火,71,39.8,30.8,2871,-29,171,C
蒲田1,7系,水,65,40.9,31.9,2086,-51,178,C
蒲田1,7系,木,96,41.9,32.6,2589,-15,206,C
蒲田1,7系,金,163,41.7,32.6,3253,70,258,C
蒲田1,7系,土,63,43.2,33.0,2856,-42,170,C
蒲田1,7系,日,102,43.8,33.5,2543,-7,214,C
蒲田1,その他,月,11,37.6,29.5,20219,-21,44,C
蒲田1,その他,火,82,38.8,31.0,19624,51,116,C
蒲田1,その他,水,70,37.8,30.4,20935,40,103,C
蒲田1,その他,木,53,37.5,30.3,20242,21,83,C
蒲田1,その他,金,75,38.1,30.0,19552,43,104,C
蒲田1,その他,土,97,41.8,31.8,21839,58,132,C
蒲田1,その他,日,-8,39.0,29.9,22785,-42,23,C
蒲田1,X_DDS,月,95,40.7,31.2,8306,39,150,C
蒲田1,X_DDS,火,132,40.8,32.0,8239,74,190,C
蒲田1,X_DDS,水,152,40.7,32.3,6655,87,212,C
蒲田1,X_DDS,木,183,42.4,33.7,6053,120,249,C
蒲田1,X_DDS,金,184,41.3,32.3,9001,126,239,C
蒲田1,X_DDS,土,132,42.6,32.6,9011,68,193,C
蒲田1,X_DDS,日,105,43.2,33.1,7548,43,170,C
蒲田1,非イベント,月,-15,36.9,29.2,17276,-46,18,C
蒲田1,非イベント,火,51,37.7,30.3,17132,16,82,C
蒲田1,非イベント,水,30,36.9,29.7,18865,1,61,C
蒲田1,非イベント,木,19,36.5,29.5,19028,-10,49,C
蒲田1,非イベント,金,7,36.5,28.9,16501,-25,40,C
蒲田1,非イベント,土,68,41.7,31.6,18567,25,111,C
蒲田1,非イベント,日,-36,37.8,29.1,19893,-71,0,C
蒲田7,4系,月,227,42.6,33.2,2829,122,336,C
蒲田7,4系,火,140,37.3,30.8,3466,57,218,C
蒲田7,4系,水,150,38.5,31.1,4189,74,221,C
蒲田7,4系,木,194,40.7,32.2,4174,115,265,C
蒲田7,4系,金,33,36.9,29.6,2098,-69,136,C
蒲田7,4系,土,250,43.1,33.9,3566,141,349,C
蒲田7,4系,日,135,41.3,32.8,4271,52,218,C
蒲田7,7系,月,207,42.8,32.5,2138,80,344,C
蒲田7,7系,火,183,41.7,32.6,3566,82,284,C
蒲田7,7系,水,288,43.8,34.5,4273,195,376,C
蒲田7,7系,木,386,47.0,37.3,2837,277,511,B
蒲田7,7系,金,73,40.6,31.3,3561,-21,168,C
蒲田7,7系,土,150,44.3,33.7,4277,54,246,C
蒲田7,7系,日,323,46.6,36.2,4263,220,416,B
蒲田7,その他,月,146,39.6,31.6,30037,116,176,C
蒲田7,その他,火,217,40.6,32.2,28793,183,249,C
蒲田7,その他,水,183,40.0,31.9,27469,151,214,C
蒲田7,その他,木,167,38.7,31.4,28330,136,195,C
蒲田7,その他,金,164,39.5,31.4,29493,131,193,C
蒲田7,その他,土,205,43.0,33.7,28468,169,240,C
蒲田7,その他,日,158,41.5,32.8,26335,123,192,C
蒲田7,X_DDS,月,165,41.5,32.2,9221,105,226,C
蒲田7,X_DDS,火,242,42.2,32.7,9940,185,297,C
蒲田7,X_DDS,水,258,42.1,33.5,9954,199,316,C
蒲田7,X_DDS,木,295,44.3,35.2,9213,245,352,C
蒲田7,X_DDS,金,245,42.5,33.1,10653,186,302,C
蒲田7,X_DDS,土,94,42.3,32.4,11399,38,150,C
蒲田7,X_DDS,日,230,44.4,34.5,11373,170,287,C
蒲田7,非イベント,月,152,39.5,31.6,25783,121,182,C
蒲田7,非イベント,火,192,39.6,31.8,25885,159,224,C
蒲田7,非イベント,水,166,39.6,31.6,25977,135,195,C
蒲田7,非イベント,木,150,38.0,30.9,26128,120,178,C
蒲田7,非イベント,金,105,38.2,30.5,24499,75,134,C
蒲田7,非イベント,土,253,43.6,34.3,24912,212,291,C
蒲田7,非イベント,日,149,41.0,32.5,23496,112,185,C
みとや,4系,月,190,44.8,33.6,1853,65,321,B
みとや,4系,火,269,44.0,32.3,2372,167,379,B
みとや,4系,水,269,43.5,33.0,2126,151,396,C
