floor,quartile,DD01,DD02,DD03,DD04,DD05,DD06,DD07,DD08,DD09,DD10,DD11,DD12,DD13,DD14,DD15,DD16,DD17,DD18,DD19,DD20,DD21,DD22,DD23,DD24,DD25,DD26,DD27,DD28,DD29,DD30,DD31
2F,Q1,33.9,34.5,35.2,35.8,36.0,34.7,37.2,38.1,35.2,35.8,34.4,35.2,33.5,33.1,35.2,34.3,34.7,36.2,35.5,36.3,32.5,35.3,35.7,34.1,34.6,32.9,35.9,32.3,34.0,38.7,33.8
2F,Q2,34.3,36.4,35.6,35.1,36.6,36.4,40.7,37.3,36.1,37.2,36.4,39.0,33.4,37.1,38.1,37.8,37.4,34.7,35.6,37.4,37.6,36.7,36.2,35.4,35.8,37.5,36.9,35.9,35.2,35.6,32.2
2F,Q3,33.0,34.2,38.5,35.8,36.7,34.8,40.6,37.7,33.7,37.6,34.8,40.3,35.7,35.5,34.9,36.7,35.9,36.2,33.3,35.4,37.5,30.1,33.3,38.9,36.1,36.4,35.3,40.8,35.3,38.3,33.8
2F,Q4,36.9,39.0,37.2,35.3,37.7,35.3,40.7,38.6,36.7,34.6,33.8,35.7,35.1,35.1,32.3,36.2,40.1,35.7,31.8,35.3,37.1,35.3,36.4,34.9,35.3,38.9,39.2,36.4,32.2,40.2,34.9
3F,Q1,35.1,32.3,31.5,31.4,30.3,28.3,32.5,33.8,33.4,32.3,31.4,29.2,30.8,32.5,30.0,33.2,33.0,29.9,30.2,29.8,31.7,29.6,29.2,30.8,31.7,32.8,32.8,32.2,29.2,37.0,35.4
3F,Q2,34.0,32.7,31.4,33.4,35.3,34.0,37.0,33.1,36.9,37.1,33.5,34.3,36.1,35.8,34.0,37.4,33.4,32.8,34.6,33.7,30.7,30.1,37.0,34.2,32.4,34.1,35.0,34.5,35.6,34.1,37.1
3F,Q3,35.3,36.2,31.4,32.0,34.0,33.5,36.2,35.4,37.3,33.9,32.9,34.1,34.4,34.2,35.3,35.5,32.7,32.8,33.6,31.0,33.1,33.7,32.5,34.6,32.4,32.8,31.7,34.1,31.4,32.4,34.3
3F,Q4,36.0,31.8,31.9,31.4,33.3,31.6,33.1,35.1,33.7,32.3,30.8,28.4,31.5,34.3,30.4,35.0,31.8,30.5,28.9,31.9,33.1,32.6,31.5,35.0,30.9,32.0,31.1,31.6,29.2,36.0,33.9
