test_date,dd,is_xdds,window,avg_diff_top10,avg_diff_random,lift,hit@3,hit@5,hit@10,win_rate,n_machines,event_type
20250102,2,False,pre,679.7,70.50799999999998,609.192,0,0,0,0.8,10.0,non_xdds
20250103,3,False,pre,-320.2,176.75400000000002,-496.954,0,0,0,0.2,10.0,non_xdds
20250104,4,True,pre,1933.7,806.2660000000001,1127.434,0,0,1,0.7,10.0,xdds
20250105,5,False,pre,184.9,9.626000000000012,175.274,0,0,0,0.6,10.0,non_xdds
20250106,6,False,pre,-55.8,-307.452,251.652,0,0,0,0.5,10.0,non_xdds
20250107,7,True,pre,1745.7,512.58,1233.12,0,0,0,0.7,10.0,xdds
20250108,8,False,pre,-234.3,-51.05600000000001,-183.244,0,0,0,0.3,10.0,non_xdds
20250109,9,False,pre,451.7,-129.69799999999998,581.3979999999999,0,0,0,0.5,10.0,non_xdds
20250110,10,False,pre,703.3,-57.14,760.4399999999999,0,1,2,0.6,10.0,non_xdds
20250111,11,False,pre,228.9,-118.50800000000001,347.408,0,0,0,0.6,10.0,non_xdds
20250112,12,False,pre,692.2,-224.1,916.3000000000001,0,0,0,0.6,10.0,non_xdds
20250113,13,False,pre,582.8,-291.56600000000003,874.366,0,0,0,0.7,10.0,non_xdds
20250114,14,True,pre,762.6,223.271,539.3290000000001,0,0,0,0.7,10.0,xdds
20250115,15,False,pre,152.2,-191.80699999999996,344.00699999999995,0,0,0,0.4,10.0,non_xdds
20250116,16,False,pre,130.1,-150.06599999999997,280.16599999999994,0,0,0,0.5,10.0,non_xdds
20250117,17,True,pre,39.2,4.124000000000006,35.07599999999999,0,0,0,0.6,10.0,xdds
20250118,18,False,pre,246.7,141.138,105.56199999999998,0,0,0,0.5,10.0,non_xdds
20250119,19,False,pre,546.3,13.57499999999999,532.7249999999999,0,0,0,0.8,10.0,non_xdds
20250120,20,False,pre,-174.8,-54.997000000000014,-119.803,0,0,0,0.4,10.0,non_xdds
20250121,21,False,pre,945.8,159.66099999999997,786.139,0,0,0,0.7,10.0,non_xdds
20250122,22,False,pre,333.6,-101.24600000000001,434.846,0,0,0,0.4,10.0,non_xdds
20250123,23,False,pre,306.8,-153.938,460.738,0,0,0,0.7,10.0,non_xdds
20250124,24,True,pre,2034.0,325.88500000000005,1708.115,1,1,1,0.7,10.0,xdds
20250125,25,False,pre,-851.4,235.426,-1086.826,0,0,0,0.2,10.0,non_xdds
20250126,26,False,pre,-582.0,207.21499999999997,-789.2149999999999,0,0,0,0.3,10.0,non_xdds
20250127,27,True,pre,-229.4,178.19000000000003,-407.59000000000003,0,0,0,0.6,10.0,xdds
20250128,28,False,pre,-251.8,-46.559,-205.241,0,0,0,0.3,10.0,non_xdds
20250129,29,False,pre,672.5,-101.07899999999998,773.579,0,0,0,0.8,10.0,non_xdds
20250130,30,False,pre,-89.1,159.63299999999998,-248.73299999999998,0,0,0,0.6,10.0,non_xdds
20250131,31,False,pre,19.5,116.75,-97.25,0,0,0,0.4,10.0,non_xdds
20250201,1,False,pre,-186.7,-290.33,103.63,0,0,0,0.3,10.0,non_xdds
20250202,2,False,pre,834.2,-238.52599999999995,1072.726,0,0,0,0.6,10.0,non_xdds
20250203,3,False,pre,161.8,350.001,-188.20099999999996,0,0,0,0.4,10.0,non_xdds
20250204,4,True,pre,-144.4,315.298,-459.698,0,0,0,0.5,10.0,xdds
20250205,5,False,pre,66.6,-255.28800000000004,321.88800000000003,0,0,1,0.5,10.0,non_xdds
20250206,6,False,pre,-143.2,-312.772,169.572,0,0,0,0.4,10.0,non_xdds
20250207,7,True,pre,757.4,216.48800000000003,540.9119999999999,0,0,0,0.6,10.0,xdds
20250208,8,False,pre,-145.8,-85.184,-60.616000000000014,0,0,0,0.3,10.0,non_xdds
20250209,9,False,pre,-44.3,-216.55000000000004,172.25000000000006,0,0,0,0.4,10.0,non_xdds
20250210,10,False,pre,364.6,-256.256,620.856,0,0,0,0.7,10.0,non_xdds
20250211,11,False,pre,-208.4,24.29300000000001,-232.693,0,0,0,0.3,10.0,non_xdds
20250212,12,False,pre,-47.9,99.05,-146.95,0,0,0,0.5,10.0,non_xdds
20250213,13,False,pre,1280.3,130.764,1149.536,0,1,1,0.7,10.0,non_xdds
20250214,14,True,pre,2364.8,159.09699999999998,2205.7030000000004,0,1,1,0.8,10.0,xdds
20250215,15,False,pre,900.1,174.96800000000002,725.1320000000001,0,0,0,0.7,10.0,non_xdds
20250216,16,False,pre,48.2,-229.85200000000003,278.052,0,0,0,0.5,10.0,non_xdds
20250217,17,True,pre,-95.8,279.633,-375.433,0,1,2,0.4,10.0,xdds
20250218,18,False,pre,206.8,9.142000000000008,197.65800000000002,0,0,0,0.5,10.0,non_xdds
20250219,19,False,pre,-438.0,-67.887,-370.113,0,0,0,0.3,10.0,non_xdds
20250220,20,False,pre,34.3,-84.29500000000002,118.59500000000001,0,0,0,0.4,10.0,non_xdds
20250221,21,False,pre,655.3,-129.77100000000002,785.0709999999999,0,1,1,0.7,10.0,non_xdds
20250222,22,False,pre,-82.5,-168.97099999999998,86.47099999999998,0,0,0,0.4,10.0,non_xdds
20250223,23,False,pre,-41.1,246.53900000000002,-287.639,0,0,0,0.5,10.0,non_xdds
20250224,24,True,pre,-974.3,52.446,-1026.7459999999999,0,0,0,0.4,10.0,xdds
20250225,25,False,pre,470.5,-175.22400000000005,645.724,0,0,0,0.3,10.0,non_xdds
20250226,26,False,pre,633.2,-21.67899999999999,654.879,0,0,0,0.5,10.0,non_xdds
20250227,27,True,pre,1119.7,191.61,928.09,0,0,1,0.6,10.0,xdds
20250228,28,False,pre,762.6,-10.423,773.023,0,0,0,0.8,10.0,non_xdds
20250301,1,False,pre,267.8,-367.094,634.894,0,0,1,0.5,10.0,non_xdds
20250302,2,False,pre,-70.5,-127.976,57.476,0,0,0,0.4,10.0,non_xdds
20250303,3,False,pre,774.9,146.48,628.42,0,0,0,0.5,10.0,non_xdds
20250304,4,True,pre,2763.8,236.215,2527.585,1,1,1,0.7,10.0,xdds
20250305,5,False,pre,1127.0,18.561000000000003,1108.439,0,0,1,0.7,10.0,non_xdds
20250306,6,False,pre,-33.7,-57.415000000000006,23.715000000000003,0,0,1,0.5,10.0,non_xdds
20250307,7,True,pre,-494.4,49.143999999999984,-543.544,0,0,0,0.2,10.0,xdds
20250308,8,False,pre,406.8,-132.56599999999997,539.366,0,0,0,0.5,10.0,non_xdds
20250309,9,False,pre,197.1,149.636,47.464,0,0,0,0.4,10.0,non_xdds
20250310,10,False,pre,381.1,-100.72999999999998,481.83,0,0,1,0.6,10.0,non_xdds
20250311,11,False,pre,273.9,78.46799999999999,195.432,0,0,1,0.4,10.0,non_xdds
20250312,12,False,pre,951.1,10.383999999999999,940.716,0,0,0,0.7,10.0,non_xdds
20250313,13,False,pre,1103.9,-51.995999999999995,1155.8960000000002,0,0,2,0.7,10.0,non_xdds
20250314,14,True,pre,292.9,93.83200000000002,199.06799999999996,0,0,0,0.5,10.0,xdds
20250315,15,False,pre,360.5,46.231000000000016,314.269,0,0,0,0.5,10.0,non_xdds
20250316,16,False,pre,-466.5,-78.185,-388.315,0,0,0,0.2,10.0,non_xdds
20250317,17,True,pre,1662.4,130.262,1532.1380000000001,1,1,1,0.4,10.0,xdds
20250318,18,False,pre,590.9,154.853,436.04699999999997,0,0,0,0.6,10.0,non_xdds
20250319,19,False,pre,400.8,-298.969,699.769,0,0,0,0.7,10.0,non_xdds
20250320,20,False,pre,288.1,-113.551,401.651,0,0,0,0.5,10.0,non_xdds
20250321,21,False,pre,613.1,-189.94999999999996,803.05,1,1,2,0.5,10.0,non_xdds
20250322,22,False,pre,-393.2,16.10800000000001,-409.308,0,0,0,0.5,10.0,non_xdds
20250323,23,False,pre,518.6,-119.13200000000002,637.7320000000001,0,0,0,0.6,10.0,non_xdds
20250324,24,True,pre,797.9,203.97400000000002,593.9259999999999,0,0,0,0.7,10.0,xdds
20250325,25,False,pre,-6.9,-121.195,114.29499999999999,0,0,0,0.4,10.0,non_xdds
20250326,26,False,pre,27.1,-320.915,348.01500000000004,0,0,0,0.6,10.0,non_xdds
20250327,27,True,pre,-391.7,308.589,-700.289,0,0,0,0.5,10.0,xdds
20250328,28,False,pre,669.9,143.678,526.222,0,0,0,0.7,10.0,non_xdds
20250329,29,False,pre,33.1,-71.241,104.34100000000001,0,0,0,0.4,10.0,non_xdds
20250330,30,False,pre,-242.8,-261.28700000000003,18.487000000000023,0,0,0,0.3,10.0,non_xdds
20250331,31,False,pre,604.7,98.73900000000003,505.961,0,0,0,0.5,10.0,non_xdds
20250401,1,False,pre,-307.6,-222.34799999999998,-85.25200000000004,0,0,0,0.3,10.0,non_xdds
20250402,2,False,pre,192.5,-245.35,437.85,0,0,0,0.6,10.0,non_xdds
20250403,3,False,pre,19.7,-64.149,83.849,0,0,0,0.4,10.0,non_xdds
20250404,4,True,pre,215.3,705.153,-489.853,0,0,0,0.7,10.0,xdds
20250405,5,False,pre,61.8,133.382,-71.58200000000001,0,0,0,0.5,10.0,non_xdds
20250406,6,False,pre,-263.9,-191.695,-72.20499999999998,0,0,0,0.4,10.0,non_xdds
20250407,7,True,pre,-488.9,24.62600000000002,-513.526,0,0,0,0.5,10.0,xdds
20250408,8,False,pre,-49.5,-275.67800000000005,226.17800000000005,0,0,0,0.4,10.0,non_xdds
20250409,9,False,pre,694.0,106.98,587.02,0,0,0,0.8,10.0,non_xdds
20250410,10,False,pre,128.6,-55.31,183.91,0,0,0,0.5,10.0,non_xdds
20250411,11,False,pre,143.7,361.608,-217.90800000000002,0,0,0,0.5,10.0,non_xdds
20250412,12,False,pre,208.6,-147.609,356.209,0,0,0,0.7,10.0,non_xdds
20250413,13,False,pre,228.9,-169.80900000000003,398.70900000000006,0,0,0,0.4,10.0,non_xdds
20250414,14,True,pre,1612.6,274.078,1338.522,0,0,1,0.6,10.0,xdds
20250415,15,False,pre,378.2,-61.235,439.435,0,0,1,0.6,10.0,non_xdds
20250416,16,False,pre,288.5,-38.400000000000006,326.9,0,0,0,0.5,10.0,non_xdds
20250417,17,True,pre,135.8,341.11600000000004,-205.31600000000003,0,0,0,0.6,10.0,xdds
20250418,18,False,pre,-387.9,-128.54600000000002,-259.3539999999999,0,0,0,0.4,10.0,non_xdds
20250419,19,False,pre,250.5,133.988,116.512,0,0,0,0.3,10.0,non_xdds
