hall,granularity,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
蒲田7,kakuban,day_of_week,diff,22,22,0,0.0
蒲田7,kakuban,day_of_week,hit104,22,22,0,0.0
蒲田7,kakuban,day_of_week,plus,22,22,0,0.0
蒲田7,kakuban,dd,diff,22,22,0,0.0
蒲田7,kakuban,dd,hit104,22,22,1,4.545454545454546
蒲田7,kakuban,dd,plus,22,22,1,4.545454545454546
蒲田7,kakuban,dd_bin,diff,22,22,0,0.0
蒲田7,kakuban,dd_bin,hit104,22,22,0,0.0
蒲田7,kakuban,dd_bin,plus,22,22,1,4.545454545454546
蒲田7,kakuban,is_x_day,diff,22,22,0,0.0
蒲田7,kakuban,is_x_day,hit104,22,22,0,0.0
蒲田7,kakuban,is_x_day,plus,22,22,0,0.0
