hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,17,dd,hit104,29,29,96,118.75,39.58333333333333,32.29166666666667
蒲田7,kakuban,17,dd,hit104,30,30,98,313.265306122449,44.89795918367347,38.775510204081634
蒲田7,kakuban,17,dd,hit104,31,31,52,205.76923076923077,40.38461538461539,34.61538461538461
蒲田7,kakuban,19,day_of_week,plus,月,0,100,-186.0,31.0,22.0
蒲田7,kakuban,19,day_of_week,plus,火,1,104,317.3076923076923,41.34615384615385,33.65384615384615
蒲田7,kakuban,19,day_of_week,plus,水,2,100,-40.0,28.999999999999996,22.0
蒲田7,kakuban,19,day_of_week,plus,木,3,103,-80.58252427184466,37.86407766990291,24.271844660194176
蒲田7,kakuban,19,day_of_week,plus,金,4,99,239.3939393939394,41.41414141414141,24.242424242424242
蒲田7,kakuban,19,day_of_week,plus,土,5,102,175.49019607843138,43.13725490196079,32.35294117647059
蒲田7,kakuban,19,day_of_week,plus,日,6,98,373.46938775510205,45.91836734693878,31.63265306122449
蒲田7,kakuban,19,dd_bin,plus,1-7,0,159,115.72327044025157,45.28301886792453,29.559748427672954
蒲田7,kakuban,19,dd_bin,plus,8-14,1,161,388.8198757763975,39.130434782608695,30.434782608695656
蒲田7,kakuban,19,dd_bin,plus,15-21,2,165,286.06060606060606,40.0,29.6969696969697
蒲田7,kakuban,19,dd_bin,plus,22-28,3,165,-265.45454545454544,30.909090909090907,20.606060606060606
蒲田7,kakuban,19,dd_bin,plus,29-31,4,56,-73.21428571428571,35.714285714285715,23.214285714285715
蒲田7,kakuban,19,dd,plus,1,1,24,-166.66666666666666,37.5,29.166666666666668
蒲田7,kakuban,19,dd,plus,2,2,24,350.0,45.83333333333333,37.5
蒲田7,kakuban,19,dd,plus,3,3,22,250.0,50.0,31.818181818181817
蒲田7,kakuban,19,dd,plus,4,4,21,-252.38095238095238,38.095238095238095,14.285714285714285
