hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
みとや,kakuban,4,9327,is_x_day,diff,kruskal,2.5715793651988337,0.10879905941687867,0.00016853398018218055,9327,2,0.0,
みとや,kakuban,4,9327,is_x_day,hit104,chi2,10.044806132716975,0.0015277808031031151,0.031142204620095714,9327,2,,
みとや,kakuban,4,9327,is_x_day,plus,chi2,28.299221043448433,1.0393780228232688e-07,0.05410365082128392,9327,2,,
みとや,kakuban,5,9338,day_of_week,diff,kruskal,14.949054993360432,0.020656674958225336,0.0009590670874890614,9338,7,0.0,
みとや,kakuban,5,9338,day_of_week,hit104,chi2,12.437971484856208,0.05288175022550845,0.02625724593150584,9338,7,,
みとや,kakuban,5,9338,day_of_week,plus,chi2,12.092403555356933,0.05993885792817209,0.025542755686423658,9338,7,,
みとや,kakuban,5,9338,dd,diff,kruskal,42.63008051328017,0.0631400029764682,0.0013570517366799366,9338,31,0.0,
みとや,kakuban,5,9338,dd,hit104,chi2,58.16556774366465,0.00152656994440358,0.05492003499149144,9338,31,,
みとや,kakuban,5,9338,dd,plus,chi2,69.86850088283981,5.055699221474757e-05,0.06534220341265251,9338,31,,
みとや,kakuban,5,9338,dd_bin,diff,kruskal,4.689555616962858,0.32065883444976734,7.388359766022266e-05,9338,5,0.0,
みとや,kakuban,5,9338,dd_bin,hit104,chi2,5.193838051851056,0.26798041673552586,0.011305534392265578,9338,5,,
みとや,kakuban,5,9338,dd_bin,plus,chi2,6.569693243940374,0.16045177245160935,0.01658825718242974,9338,5,,
みとや,kakuban,5,9338,is_x_day,diff,kruskal,5.647146802253874,0.017483797163131903,0.000497766366993774,9338,2,0.0,
みとや,kakuban,5,9338,is_x_day,hit104,chi2,29.939857765909213,4.456568944058485e-08,0.05567288350640988,9338,2,,
みとや,kakuban,5,9338,is_x_day,plus,chi2,33.88727372715319,5.839945287747245e-09,0.05934847342980017,9338,2,,
みとや,kakuban,6,9315,day_of_week,diff,kruskal,10.535824412822208,0.10382614973083891,0.0004873038690182862,9315,7,0.0,
みとや,kakuban,6,9315,day_of_week,hit104,chi2,5.971513962175225,0.4263886757016516,0.0,9315,7,,
みとや,kakuban,6,9315,day_of_week,plus,chi2,6.2233709951384855,0.3986389367864661,0.004890104364571764,9315,7,,
みとや,kakuban,6,9315,dd,diff,kruskal,26.70181468831568,0.6388818308902542,0.0,9315,31,0.0,
みとや,kakuban,6,9315,dd,hit104,chi2,40.972066219075096,0.08736820538907504,0.034317239103711816,9315,31,,
みとや,kakuban,6,9315,dd,plus,chi2,57.491883249388465,0.0018326059175863745,0.05432612000355233,9315,31,,
みとや,kakuban,6,9315,dd_bin,diff,kruskal,1.7689270998304474,0.7781621492794913,0.0,9315,5,0.0,
みとや,kakuban,6,9315,dd_bin,hit104,chi2,2.569135223410136,0.6323003032761296,0.0,9315,5,,
みとや,kakuban,6,9315,dd_bin,plus,chi2,6.082068794880039,0.19310258568011415,0.014949774038771233,9315,5,,
みとや,kakuban,6,9315,is_x_day,diff,kruskal,1.8364333652346032,0.17536955459190812,8.981352574193098e-05,9315,2,0.0,
みとや,kakuban,6,9315,is_x_day,hit104,chi2,14.6744889232331,0.00012776387388400656,0.03831649125093292,9315,2,,
みとや,kakuban,6,9315,is_x_day,plus,chi2,22.69065686045385,1.9029088105271654e-06,0.04825776040447829,9315,2,,
みとや,kakuban,7,9294,day_of_week,diff,kruskal,12.591097112988317,0.05000895696365322,0.0007097121904800599,9294,7,0.0,
みとや,kakuban,7,9294,day_of_week,hit104,chi2,4.309663739976471,0.6348484726544554,0.0,9294,7,,
みとや,kakuban,7,9294,day_of_week,plus,chi2,6.925524473371901,0.32778964508046743,0.009976184040844435,9294,7,,
みとや,kakuban,7,9294,dd,diff,kruskal,18.48418137196056,0.9501564607978455,0.0,9294,31,0.0,
みとや,kakuban,7,9294,dd,hit104,chi2,31.88526891505083,0.3728823138711594,0.014231036645928091,9294,31,,
みとや,kakuban,7,9294,dd,plus,chi2,35.74153185077772,0.2166611981338624,0.024849279186555617,9294,31,,
みとや,kakuban,7,9294,dd_bin,diff,kruskal,2.4030325336879272,0.6620793066366921,0.0,9294,5,0.0,
みとや,kakuban,7,9294,dd_bin,hit104,chi2,0.5536307813791335,0.968074347934696,0.0,9294,5,,
みとや,kakuban,7,9294,dd_bin,plus,chi2,1.3073759546093158,0.8601228545268493,0.0,9294,5,,
みとや,kakuban,7,9294,is_x_day,diff,kruskal,0.06696560084540379,0.7958072078056285,0.0,9294,2,0.0,
みとや,kakuban,7,9294,is_x_day,hit104,chi2,9.992534864423657,0.0015717609420992074,0.031107169855660987,9294,2,,
みとや,kakuban,7,9294,is_x_day,plus,chi2,12.82191395948196,0.000342583094954656,0.03566678422999865,9294,2,,
みとや,kakuban,8,9317,day_of_week,diff,kruskal,11.766283761666394,0.06739049508999347,0.0006193645286430068,9317,7,0.0,
みとや,kakuban,8,9317,day_of_week,hit104,chi2,2.9896709373376433,0.810142118204118,0.0,9317,7,,
みとや,kakuban,8,9317,day_of_week,plus,chi2,7.707191893040114,0.2603495435167387,0.01353457105010297,9317,7,,
みとや,kakuban,8,9317,dd,diff,kruskal,34.931728376212554,0.24513308337498005,0.0005310928684269388,9317,31,0.0,
みとや,kakuban,8,9317,dd,hit104,chi2,48.05463276591427,0.019577913188061447,0.044019069489416404,9317,31,,
みとや,kakuban,8,9317,dd,plus,chi2,69.5198525195257,5.6279316973924025e-05,0.0651291222603709,9317,31,,
みとや,kakuban,8,9317,dd_bin,diff,kruskal,8.153235310882092,0.086123546066023,0.00044600894661534494,9317,5,0.0,
みとや,kakuban,8,9317,dd_bin,hit104,chi2,13.094033196512061,0.01082535441041574,0.031243039469494506,9317,5,,
みとや,kakuban,8,9317,dd_bin,plus,chi2,12.22267781497482,0.015769960731102137,0.029708488761929143,9317,5,,
みとや,kakuban,8,9317,is_x_day,diff,kruskal,0.6085980497542769,0.4353161579783913,0.0,9317,2,0.0,
みとや,kakuban,8,9317,is_x_day,hit104,chi2,10.535404623883291,0.0011710924055874019,0.0319928095982226,9317,2,,
みとや,kakuban,8,9317,is_x_day,plus,chi2,23.43768058269078,1.2902633308756602e-06,0.04907645726941725,9317,2,,
みとや,kakuban,9,9307,day_of_week,diff,kruskal,3.541598193607104,0.7384272648371686,0.0,9307,7,0.0,
みとや,kakuban,9,9307,day_of_week,hit104,chi2,3.372570473150386,0.7608391424811881,0.0,9307,7,,
みとや,kakuban,9,9307,day_of_week,plus,chi2,8.348471250972894,0.21366866310963972,0.015883692802718896,9307,7,,
みとや,kakuban,9,9307,dd,diff,kruskal,27.698027290144104,0.586435262382885,0.0,9307,31,0.0,
みとや,kakuban,9,9307,dd,hit104,chi2,35.107866667437484,0.2387367197898122,0.02342076967469036,9307,31,,
みとや,kakuban,9,9307,dd,plus,chi2,40.42603455840396,0.09687290941216657,0.033466547080530894,9307,31,,
みとや,kakuban,9,9307,dd_bin,diff,kruskal,1.7822721285246876,0.7757241307836431,0.0,9307,5,0.0,
みとや,kakuban,9,9307,dd_bin,hit104,chi2,1.5103143523342146,0.824812852207561,0.0,9307,5,,
みとや,kakuban,9,9307,dd_bin,plus,chi2,2.460433409367582,0.6517345401673624,0.0,9307,5,,
みとや,kakuban,9,9307,is_x_day,diff,kruskal,0.027617456435928823,0.8680113583355562,0.0,9307,2,0.0,
みとや,kakuban,9,9307,is_x_day,hit104,chi2,6.396451651128511,0.011434868682228308,0.024080655217732186,9307,2,,
みとや,kakuban,9,9307,is_x_day,plus,chi2,13.121106492859003,0.0002919875340328103,0.03609006686936488,9307,2,,
みとや,kakuban,10,8804,day_of_week,diff,kruskal,13.574013897427172,0.0347740434870647,0.0008609769122913688,8804,7,0.0,
みとや,kakuban,10,8804,day_of_week,hit104,chi2,14.436956090160793,0.025118305997924122,0.030957080976247154,8804,7,,
みとや,kakuban,10,8804,day_of_week,plus,chi2,18.112031786524454,0.005958237024302614,0.03709205822655208,8804,7,,
みとや,kakuban,10,8804,dd,diff,kruskal,26.717194383499532,0.6380792001501335,0.0,8804,31,0.0,
みとや,kakuban,10,8804,dd,hit104,chi2,42.830607905175675,0.06064043711904484,0.03817249831462657,8804,31,,
