hall,granularity,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
蒲田7,section,day_of_week,diff,53,53,0,0.0
蒲田7,section,day_of_week,hit104,53,53,0,0.0
蒲田7,section,day_of_week,plus,53,53,0,0.0
蒲田7,section,dd,diff,53,53,0,0.0
蒲田7,section,dd,hit104,53,53,2,3.7735849056603774
蒲田7,section,dd,plus,53,53,2,3.7735849056603774
蒲田7,section,dd_bin,diff,53,53,0,0.0
蒲田7,section,dd_bin,hit104,53,53,0,0.0
蒲田7,section,dd_bin,plus,53,53,0,0.0
蒲田7,section,is_x_day,diff,53,53,0,0.0
蒲田7,section,is_x_day,hit104,53,53,0,0.0
蒲田7,section,is_x_day,plus,53,53,0,0.0
