hall,granularity,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
蒲田1,kakuban,day_of_week,diff,20,20,0,0.0
蒲田1,kakuban,day_of_week,hit104,20,20,0,0.0
蒲田1,kakuban,day_of_week,plus,20,20,0,0.0
蒲田1,kakuban,dd,diff,20,20,0,0.0
蒲田1,kakuban,dd,hit104,20,20,0,0.0
蒲田1,kakuban,dd,plus,20,20,0,0.0
蒲田1,kakuban,dd_bin,diff,20,20,0,0.0
蒲田1,kakuban,dd_bin,hit104,20,20,0,0.0
蒲田1,kakuban,dd_bin,plus,20,20,0,0.0
蒲田1,kakuban,is_x_day,diff,20,20,0,0.0
蒲田1,kakuban,is_x_day,hit104,20,20,0,0.0
蒲田1,kakuban,is_x_day,plus,20,20,0,0.0
