hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
みとや,section,734-744,dd,plus,1,1,205,-72.35121951219512,34.63414634146341,19.51219512195122
みとや,section,734-744,dd,plus,2,2,207,-113.6376811594203,31.88405797101449,19.32367149758454
みとや,section,734-744,dd,plus,3,3,197,-38.3756345177665,35.53299492385787,20.304568527918782
みとや,section,734-744,dd,plus,4,4,198,240.07575757575756,46.464646464646464,26.767676767676768
みとや,section,734-744,dd,plus,5,5,195,111.72307692307692,45.12820512820513,28.717948717948715
みとや,section,734-744,dd,plus,6,6,195,-198.65641025641025,31.28205128205128,17.435897435897434
みとや,section,734-744,dd,plus,7,7,198,253.91414141414143,42.42424242424242,31.313131313131315
みとや,section,734-744,dd,plus,8,8,193,35.52849740932643,43.523316062176164,23.316062176165804
みとや,section,734-744,dd,plus,9,9,192,71.359375,42.70833333333333,23.958333333333336
みとや,section,734-744,dd,plus,10,10,195,76.49230769230769,45.64102564102564,26.153846153846157
みとや,section,734-744,dd,plus,11,11,196,95.83163265306122,41.3265306122449,26.02040816326531
みとや,section,734-744,dd,plus,12,12,183,-17.316939890710383,36.0655737704918,20.21857923497268
みとや,section,734-744,dd,plus,13,13,197,-41.73096446700507,37.56345177664975,25.380710659898476
みとや,section,734-744,dd,plus,14,14,198,186.36868686868686,52.02020202020202,28.28282828282828
みとや,section,734-744,dd,plus,15,15,196,154.75510204081633,43.87755102040816,28.57142857142857
みとや,section,734-744,dd,plus,16,16,193,72.60621761658031,40.932642487046635,26.42487046632124
みとや,section,734-744,dd,plus,17,17,198,243.82323232323233,47.474747474747474,29.797979797979796
みとや,section,734-744,dd,plus,18,18,197,-138.91878172588832,30.96446700507614,20.812182741116754
みとや,section,734-744,dd,plus,19,19,196,45.01020408163265,37.755102040816325,26.53061224489796
みとや,section,734-744,dd,plus,20,20,196,-105.51530612244898,30.612244897959183,17.346938775510203
みとや,section,734-744,dd,plus,21,21,195,-91.87179487179488,31.28205128205128,17.435897435897434
みとや,section,734-744,dd,plus,22,22,196,-2.693877551020408,41.3265306122449,25.0
みとや,section,734-744,dd,plus,23,23,190,-61.93157894736842,38.421052631578945,21.052631578947366
みとや,section,734-744,dd,plus,24,24,198,499.5050505050505,57.07070707070707,33.83838383838384
みとや,section,734-744,dd,plus,25,25,193,71.37823834196891,39.37823834196891,26.42487046632124
みとや,section,734-744,dd,plus,26,26,193,-112.06217616580311,34.715025906735754,20.72538860103627
みとや,section,734-744,dd,plus,27,27,198,140.32828282828282,44.94949494949495,24.242424242424242
みとや,section,734-744,dd,plus,28,28,196,25.974489795918366,38.775510204081634,23.46938775510204
みとや,section,734-744,dd,plus,29,29,171,-71.72514619883042,35.08771929824561,21.052631578947366
みとや,section,734-744,dd,plus,30,30,165,362.91515151515154,48.484848484848484,32.72727272727273
みとや,section,734-744,dd,plus,31,31,98,-102.66326530612245,38.775510204081634,22.448979591836736
みとや,section,540-556,dd,plus,1,1,298,-77.69127516778524,33.557046979865774,30.536912751677853
みとや,section,540-556,dd,plus,2,2,298,82.85570469798658,36.577181208053695,31.879194630872483
みとや,section,540-556,dd,plus,3,3,266,-19.977443609022558,34.58646616541353,28.57142857142857
みとや,section,540-556,dd,plus,4,4,305,537.5475409836066,47.540983606557376,41.63934426229508
みとや,section,540-556,dd,plus,5,5,267,266.34831460674155,35.580524344569284,32.58426966292135
みとや,section,540-556,dd,plus,6,6,251,-265.4183266932271,32.669322709163346,26.294820717131472
みとや,section,540-556,dd,plus,7,7,300,316.5566666666667,43.0,34.66666666666667
みとや,section,540-556,dd,plus,8,8,271,489.4206642066421,38.74538745387454,33.579335793357934
みとや,section,540-556,dd,plus,9,9,252,202.60714285714286,42.46031746031746,36.11111111111111
みとや,section,540-556,dd,plus,10,10,257,382.87548638132296,43.57976653696498,38.52140077821012
みとや,section,540-556,dd,plus,11,11,293,-43.42662116040955,33.44709897610921,29.692832764505116
みとや,section,540-556,dd,plus,12,12,244,240.05327868852459,40.16393442622951,36.47540983606557
みとや,section,540-556,dd,plus,13,13,257,-126.13229571984436,31.906614785992215,26.07003891050584
みとや,section,540-556,dd,plus,14,14,305,314.6688524590164,45.24590163934426,38.68852459016394
みとや,section,540-556,dd,plus,15,15,276,188.94565217391303,39.85507246376812,35.14492753623188
みとや,section,540-556,dd,plus,16,16,260,-294.0576923076923,29.615384615384617,23.076923076923077
みとや,section,540-556,dd,plus,17,17,296,331.8344594594595,43.24324324324324,37.5
みとや,section,540-556,dd,plus,18,18,279,-81.41218637992831,31.54121863799283,28.31541218637993
みとや,section,540-556,dd,plus,19,19,270,-74.32962962962964,31.851851851851855,28.51851851851852
