hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
蒲田7,section,2230-2246,5916,dd,plus,chi2,121.09491317185558,6.684260034389875e-13,0.12409594897434117,5916,31,,
蒲田7,section,3144-3155,4255,dd,hit104,chi2,85.82305096403235,2.7816519961530576e-07,0.11454618236443098,4255,31,,
蒲田7,section,2230-2246,5916,dd,hit104,chi2,104.33643422712584,3.7907175179308025e-10,0.11210079127720417,5916,31,,
蒲田7,section,3156-3167,4250,dd,plus,chi2,83.40100643787537,6.33557741451627e-07,0.11209923665518769,4250,31,,
蒲田7,section,3144-3155,4255,dd,plus,chi2,71.69365722207831,2.8695121306366115e-05,0.09899187105940523,4255,31,,
蒲田7,section,3156-3167,4250,dd,hit104,chi2,69.95372792691529,4.924668806387785e-05,0.09696096374400545,4250,31,,
蒲田7,section,3265-3280,5726,dd,plus,chi2,82.77101427354013,7.834378479571296e-07,0.09600379878653612,5726,31,,
蒲田7,section,3265-3280,5726,is_x_day,plus,chi2,47.37120267511858,5.8739310283058725e-12,0.08999857293136602,5726,2,,
蒲田7,section,3310-3324,5330,dd,plus,chi2,71.95916335497748,2.6407400727768178e-05,0.08872814895519801,5330,31,,
蒲田7,section,3117-3130,5010,dd,plus,chi2,67.68957760904138,9.829413296216967e-05,0.08673624537091595,5010,31,,
蒲田7,section,3131-3143,4653,dd,plus,chi2,64.80202740508923,0.00023250935987087295,0.08648527846252792,4653,31,,
蒲田7,section,3265-3280,5726,dd,hit104,chi2,72.17010028666238,2.471757521662074e-05,0.08581981876179547,5726,31,,
蒲田7,section,3131-3143,4653,is_x_day,plus,chi2,33.15497266286563,8.509846842330353e-09,0.08313861353219301,4653,2,,
蒲田7,section,2129-2142,4721,dd,plus,chi2,59.37161866071737,0.00109624281364271,0.07887619569404306,4721,31,,
蒲田7,section,2187-2195,3177,dd,hit104,chi2,49.669362648464144,0.013419614683416283,0.07867751102495334,3177,31,,
蒲田7,section,3031-3042,4231,dd,plus,chi2,55.449330122595,0.003156474770119673,0.07755458589512579,4231,31,,
蒲田7,section,3131-3143,4653,dd,hit104,chi2,57.65497220437223,0.0017535755125289167,0.07709320977137937,4653,31,,
蒲田7,section,3168-3180,4608,dd,hit104,chi2,57.27376543488323,0.0019436027325338504,0.07693281129546962,4608,31,,
蒲田7,section,3281-3294,4985,dd,hit104,chi2,59.02727588038054,0.0012055688453503552,0.07630782914443136,4985,31,,
蒲田7,section,3117-3130,5010,is_x_day,plus,chi2,29.680690086790975,5.093972397071364e-08,0.07566896254371795,5010,2,,
蒲田7,section,2032-2040,3179,dd,hit104,chi2,48.17101159332042,0.019060175265760357,0.07559616944372277,3179,31,,
蒲田7,section,2187-2195,3177,dd,plus,chi2,48.01036912248451,0.01977815646404573,0.07528477644244082,3177,31,,
蒲田7,section,3031-3042,4231,dd,hit104,chi2,53.60414291498355,0.005087249802626262,0.07468935197938689,4231,31,,
蒲田7,section,3400-3401,688,day_of_week,plus,chi2,9.812991413671782,0.1327514932990401,0.07441441309140608,688,7,,
蒲田7,section,3168-3180,4608,dd,plus,chi2,55.42375020805307,0.003177721660535546,0.07427712494836929,4608,31,,
蒲田7,section,3295-3309,5325,is_x_day,plus,chi2,30.303209880853565,3.695138972686459e-08,0.07418860248656296,5325,2,,
蒲田7,section,2165-2171,2491,dd,plus,chi2,43.2306047622224,0.05590705263016617,0.07286053879178445,2491,31,,
蒲田7,section,3209-3217,3137,dd,plus,chi2,46.50770795255157,0.02777759054581147,0.07253197593500178,3137,31,,
蒲田7,section,2230-2246,5916,is_x_day,plus,chi2,31.37374557379055,2.1283960821884987e-08,0.07165897609852392,5916,2,,
蒲田7,section,2065-2076,4266,dd,plus,chi2,51.85558505115641,0.007894156337379696,0.07157342740883063,4266,31,,
