hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
みとや,kakuban,22,day_of_week,plus,月,0,73,-428.4931506849315,32.87671232876712,27.397260273972602
みとや,kakuban,22,day_of_week,plus,火,1,72,-146.22222222222223,36.11111111111111,33.33333333333333
みとや,kakuban,22,day_of_week,plus,水,2,75,-270.84,32.0,26.666666666666668
みとや,kakuban,22,day_of_week,plus,木,3,75,-422.38666666666666,22.666666666666664,18.666666666666668
みとや,kakuban,22,day_of_week,plus,金,4,74,-139.3918918918919,33.78378378378378,31.08108108108108
みとや,kakuban,22,day_of_week,plus,土,5,77,663.7532467532468,49.35064935064935,42.857142857142854
みとや,kakuban,22,day_of_week,plus,日,6,77,-311.8831168831169,35.064935064935064,32.467532467532465
みとや,kakuban,19,day_of_week,hit104,月,0,73,-169.12328767123287,31.506849315068493,28.767123287671232
みとや,kakuban,19,day_of_week,hit104,火,1,74,256.2027027027027,37.83783783783784,35.13513513513514
みとや,kakuban,19,day_of_week,hit104,水,2,71,-794.3661971830986,21.12676056338028,16.901408450704224
みとや,kakuban,19,day_of_week,hit104,木,3,70,-103.71428571428571,38.57142857142858,30.0
みとや,kakuban,19,day_of_week,hit104,金,4,69,202.1304347826087,40.57971014492754,39.130434782608695
みとや,kakuban,19,day_of_week,hit104,土,5,77,428.93506493506493,42.857142857142854,36.36363636363637
みとや,kakuban,19,day_of_week,hit104,日,6,76,125.82894736842105,34.21052631578947,26.31578947368421
みとや,kakuban,19,dd,plus,1,1,19,-698.6315789473684,15.789473684210526,15.789473684210526
みとや,kakuban,19,dd,plus,2,2,17,-1041.7058823529412,23.52941176470588,17.647058823529413
みとや,kakuban,19,dd,plus,3,3,16,899.4375,43.75,43.75
みとや,kakuban,19,dd,plus,4,4,18,1454.5555555555557,44.44444444444444,38.88888888888889
みとや,kakuban,19,dd,plus,5,5,16,203.5,43.75,37.5
みとや,kakuban,19,dd,plus,6,6,17,-114.52941176470588,41.17647058823529,41.17647058823529
みとや,kakuban,19,dd,plus,7,7,18,-1340.7222222222222,16.666666666666664,16.666666666666664
みとや,kakuban,19,dd,plus,8,8,16,-215.75,31.25,25.0
みとや,kakuban,19,dd,plus,9,9,14,435.85714285714283,35.714285714285715,21.428571428571427
みとや,kakuban,19,dd,plus,10,10,15,-802.4,13.333333333333334,13.333333333333334
みとや,kakuban,19,dd,plus,11,11,18,660.7777777777778,33.33333333333333,33.33333333333333
みとや,kakuban,19,dd,plus,12,12,16,1345.4375,25.0,25.0
みとや,kakuban,19,dd,plus,13,13,17,253.0,41.17647058823529,35.294117647058826
みとや,kakuban,19,dd,plus,14,14,18,741.3333333333334,55.55555555555556,44.44444444444444
みとや,kakuban,19,dd,plus,15,15,16,-640.0625,18.75,18.75
みとや,kakuban,19,dd,plus,16,16,16,124.75,50.0,37.5
みとや,kakuban,19,dd,plus,17,17,18,421.05555555555554,50.0,33.33333333333333
みとや,kakuban,19,dd,plus,18,18,17,-803.2941176470588,23.52941176470588,23.52941176470588
みとや,kakuban,19,dd,plus,19,19,16,-214.125,37.5,37.5
みとや,kakuban,19,dd,plus,20,20,15,429.2,60.0,60.0
みとや,kakuban,19,dd,plus,21,21,17,117.17647058823529,29.411764705882355,29.411764705882355
みとや,kakuban,19,dd,plus,22,22,18,-49.111111111111114,38.88888888888889,33.33333333333333
みとや,kakuban,19,dd,plus,23,23,18,-369.1111111111111,33.33333333333333,27.77777777777778
みとや,kakuban,19,dd,plus,24,24,18,278.8333333333333,33.33333333333333,33.33333333333333
みとや,kakuban,19,dd,plus,25,25,18,-574.3333333333334,38.88888888888889,16.666666666666664
みとや,kakuban,19,dd,plus,26,26,17,-743.5294117647059,29.411764705882355,23.52941176470588
みとや,kakuban,19,dd,plus,27,27,18,877.7222222222222,50.0,38.88888888888889
みとや,kakuban,19,dd,plus,28,28,18,237.5,50.0,44.44444444444444
みとや,kakuban,19,dd,plus,29,29,13,-25.384615384615383,38.46153846153847,30.76923076923077
みとや,kakuban,19,dd,plus,30,30,14,-861.4285714285714,14.285714285714285,14.285714285714285
みとや,kakuban,19,dd,plus,31,31,8,-229.25,25.0,25.0
みとや,kakuban,18,day_of_week,hit104,月,0,70,-346.1857142857143,22.857142857142858,20.0
みとや,kakuban,18,day_of_week,hit104,火,1,74,1.0,33.78378378378378,28.37837837837838
みとや,kakuban,18,day_of_week,hit104,水,2,74,445.3918918918919,40.54054054054054,39.189189189189186
みとや,kakuban,18,day_of_week,hit104,木,3,66,-389.1363636363636,33.33333333333333,27.27272727272727
みとや,kakuban,18,day_of_week,hit104,金,4,70,80.15714285714286,34.285714285714285,28.57142857142857
みとや,kakuban,18,day_of_week,hit104,土,5,77,314.05194805194805,40.25974025974026,37.66233766233766
みとや,kakuban,18,day_of_week,hit104,日,6,75,73.28,44.0,36.0
みとや,kakuban,12,dd,hit104,1,1,198,-196.07575757575756,30.303030303030305,22.22222222222222
みとや,kakuban,12,dd,hit104,2,2,193,34.38860103626943,38.860103626943,30.05181347150259
みとや,kakuban,12,dd,hit104,3,3,188,58.79255319148936,41.48936170212766,32.97872340425532
みとや,kakuban,12,dd,hit104,4,4,195,658.1743589743589,45.12820512820513,35.38461538461539
みとや,kakuban,12,dd,hit104,5,5,182,31.307692307692307,35.714285714285715,28.021978021978022
みとや,kakuban,12,dd,hit104,6,6,177,-482.045197740113,29.37853107344633,24.293785310734464
みとや,kakuban,12,dd,hit104,7,7,196,354.5,43.87755102040816,34.69387755102041
みとや,kakuban,12,dd,hit104,8,8,181,-81.23756906077348,37.569060773480665,27.624309392265197
みとや,kakuban,12,dd,hit104,9,9,182,-87.23076923076923,32.967032967032964,23.626373626373624
みとや,kakuban,12,dd,hit104,10,10,179,137.4804469273743,41.899441340782126,34.07821229050279
みとや,kakuban,12,dd,hit104,11,11,190,242.92105263157896,39.473684210526315,33.1578947368421
みとや,kakuban,12,dd,hit104,12,12,173,-269.46820809248555,31.79190751445087,28.901734104046245
みとや,kakuban,12,dd,hit104,13,13,189,-202.0952380952381,35.978835978835974,25.925925925925924
みとや,kakuban,12,dd,hit104,14,14,198,773.2272727272727,46.96969696969697,41.41414141414141
みとや,kakuban,12,dd,hit104,15,15,182,-136.97802197802199,38.46153846153847,28.57142857142857
みとや,kakuban,12,dd,hit104,16,16,180,146.99444444444444,39.44444444444444,29.444444444444446
みとや,kakuban,12,dd,hit104,17,17,196,147.64285714285714,39.795918367346935,31.122448979591837
みとや,kakuban,12,dd,hit104,18,18,185,42.69189189189189,37.83783783783784,28.64864864864865
みとや,kakuban,12,dd,hit104,19,19,182,-170.0879120879121,31.868131868131865,24.725274725274726
みとや,kakuban,12,dd,hit104,20,20,192,-298.2447916666667,31.770833333333332,24.479166666666664
みとや,kakuban,12,dd,hit104,21,21,188,124.50531914893617,39.361702127659576,30.851063829787233
みとや,kakuban,12,dd,hit104,22,22,185,-196.35135135135135,32.432432432432435,25.945945945945947
みとや,kakuban,12,dd,hit104,23,23,182,-68.78571428571429,32.967032967032964,25.82417582417583
みとや,kakuban,12,dd,hit104,24,24,198,272.6060606060606,39.8989898989899,33.33333333333333
みとや,kakuban,12,dd,hit104,25,25,180,-113.92777777777778,35.0,28.333333333333332
みとや,kakuban,12,dd,hit104,26,26,181,-231.50828729281767,28.7292817679558,22.099447513812155
みとや,kakuban,12,dd,hit104,27,27,196,159.34183673469389,40.30612244897959,34.69387755102041
みとや,kakuban,12,dd,hit104,28,28,187,27.754010695187166,33.155080213903744,26.737967914438503
みとや,kakuban,12,dd,hit104,29,29,163,-341.7852760736196,31.28834355828221,22.085889570552148
みとや,kakuban,12,dd,hit104,30,30,163,466.11042944785277,45.39877300613497,40.49079754601227
