hall,granularity,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
蒲田1,section,day_of_week,diff,30,30,0,0.0
蒲田1,section,day_of_week,hit104,30,30,0,0.0
蒲田1,section,day_of_week,plus,30,30,0,0.0
蒲田1,section,dd,diff,30,30,0,0.0
蒲田1,section,dd,hit104,30,30,1,3.3333333333333335
蒲田1,section,dd,plus,30,30,1,3.3333333333333335
蒲田1,section,dd_bin,diff,30,30,0,0.0
蒲田1,section,dd_bin,hit104,30,30,0,0.0
蒲田1,section,dd_bin,plus,30,30,0,0.0
蒲田1,section,is_x_day,diff,30,30,0,0.0
蒲田1,section,is_x_day,hit104,30,30,0,0.0
蒲田1,section,is_x_day,plus,30,30,0,0.0
