hall,granularity,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
みとや,section,day_of_week,diff,18,18,0,0.0
みとや,section,day_of_week,hit104,18,18,0,0.0
みとや,section,day_of_week,plus,18,18,0,0.0
みとや,section,dd,diff,18,18,0,0.0
みとや,section,dd,hit104,18,18,0,0.0
みとや,section,dd,plus,18,18,1,5.555555555555555
みとや,section,dd_bin,diff,18,18,0,0.0
みとや,section,dd_bin,hit104,18,18,0,0.0
みとや,section,dd_bin,plus,18,18,0,0.0
みとや,section,is_x_day,diff,18,18,0,0.0
みとや,section,is_x_day,hit104,18,18,0,0.0
みとや,section,is_x_day,plus,18,18,0,0.0
