variant,window,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_test_days
v6a_hit_an,90,all,170.484375,119.45594879518072,51.028426204819276,38.75,99.96611285317398,0.875,1.671875,4.375,1.2495,1.1937187500000002,1.2495,256
v6a_hit_an,90,event,230.6865671641791,149.68755619492896,80.99901096925014,41.343283582089555,100.9795891022297,0.8507462686567164,1.6865671641791045,4.626865671641791,1.2148656716417914,1.2042089552238808,1.3214328358208955,67
v6a_hit_an,90,non_event,149.14285714285714,108.73892394976733,40.40393319308982,37.83068783068783,99.60683820403784,0.8835978835978836,1.6666666666666667,4.285714285714286,1.2617777777777779,1.1900000000000002,1.224,189
v8_dynamic,90,all,146.5390625,121.25905967620481,25.28000282379518,38.9921875,100.05974503554003,0.8984375,1.73828125,4.203125,1.2829687500000002,1.2411328125,1.2004125,256
v8_dynamic,90,event,166.17910447761193,154.54504585506203,11.634058622549901,40.62686567164179,100.55876682082884,0.9402985074626866,1.8059701492537314,4.253731343283582,1.3427462686567166,1.2894626865671643,1.2148656716417912,67
v8_dynamic,90,non_event,139.57671957671957,109.45926563396442,30.117453942755148,38.41269841269841,99.88284313281859,0.8835978835978836,1.7142857142857142,4.185185185185185,1.2617777777777779,1.2240000000000002,1.1952888888888888,189
v9a_blend_07,90,all,150.4765625,120.96256118222891,29.514001317771083,38.7578125,99.90852687659896,0.84375,1.6640625,4.359375,1.2048750000000001,1.1881406250000002,1.2450375,256
v9a_blend_07,90,event,194.29850746268656,152.42762093148713,41.870886531199424,40.95522388059702,100.6942392599169,0.835820895522388,1.7313432835820894,4.537313432835821,1.1935522388059703,1.236179104477612,1.2958567164179104,67
v9a_blend_07,90,non_event,134.94179894179894,109.80828074201568,25.13351819978326,37.97883597883598,99.62999391531694,0.8465608465608465,1.6402116402116402,4.296296296296297,1.208888888888889,1.1711111111111112,1.2270222222222222,189
v9b_blend_05,90,all,166.71875,119.73950489457832,46.97924510542168,38.9453125,100.03705127532672,0.875,1.7265625,4.375,1.2495,1.232765625,1.2495,256
v9b_blend_05,90,event,163.2537313432836,154.7653299766229,8.488401366660671,40.23880597014925,100.4391814699099,0.8507462686567164,1.7611940298507462,4.388059701492537,1.2148656716417914,1.257492537313433,1.2532298507462687,67
v9b_blend_05,90,non_event,167.94708994708995,107.32294256390642,60.624147383183534,38.48677248677249,99.89449718518345,0.8835978835978836,1.7142857142857142,4.37037037037037,1.2617777777777779,1.2240000000000002,1.2481777777777778,189
v9c_percentile,90,all,200.25,117.21456137048193,83.03543862951807,39.5390625,99.27794968341632,0.51953125,1.15234375,3.22265625,0.7418906250000001,0.8227734375000001,0.920390625,256
v9c_percentile,90,event,225.07462686567163,150.11014206078045,74.96448480489121,40.71641791044776,99.97673953501629,0.5671641791044776,1.1940298507462686,3.1343283582089554,0.8099104477611941,0.8525373134328359,0.8951641791044777,67
v9c_percentile,90,non_event,191.44973544973544,105.55316504111686,85.8965704086186,39.12169312169312,99.03023052967454,0.5026455026455027,1.1375661375661377,3.253968253968254,0.717777777777778,0.8122222222222223,0.9293333333333333,189
