island,section,last_digit,xday_mean,global_mean,deviation,n_xday_records,n_global_records
AT島,557-573,0,255.6078431372549,157.04747474747475,98.56036838978014,204,990
AT島,557-573,1,225.07389162561577,72.5337361530715,152.54015547254426,203,993
AT島,557-573,2,502.921568627451,182.86027944111777,320.0612891863332,204,1002
AT島,557-573,3,378.1507537688442,174.45904954499494,203.69170422384926,199,989
AT島,557-573,4,336.37254901960785,148.72357723577235,187.6489717838355,102,492
AT島,557-573,5,448.1530612244898,103.72895277207392,344.4241084524159,98,487
AT島,557-573,6,987.843137254902,355.63453815261045,632.2085991022916,102,498
AT島,557-573,7,1.1435643564356435,-2.725470763131814,3.8690351195674575,202,1009
AT島,557-573,8,242.82843137254903,110.20456802383316,132.62386334871587,204,1007
AT島,557-573,9,252.73267326732673,45.54582074521652,207.1868525221102,202,993
AT島,574-590,0,-39.34803921568628,-95.35588235294118,56.0078431372549,204,1020
AT島,574-590,1,752.0882352941177,109.89194499017681,642.1962903039408,102,509
AT島,574-590,2,1428.5882352941176,181.75442043222003,1246.8338148618975,102,509
AT島,574-590,3,593.8039215686274,-81.40236686390533,675.2062884325327,102,507
AT島,574-590,4,700.0147058823529,96.49462365591398,603.520082226439,204,1023
AT島,574-590,5,790.0588235294117,196.06967615309128,593.9891473763205,204,1019
AT島,574-590,6,304.1078431372549,-46.74828599412341,350.85612913137834,204,1021
AT島,574-590,7,432.69607843137254,158.33498023715416,274.36109819421836,204,1012
AT島,574-590,8,318.94607843137254,47.448412698412696,271.49766573295983,204,1008
AT島,574-590,9,-263.55392156862746,-32.384086444007856,-231.1698351246196,204,1018
AT島,591-607,0,629.9117647058823,293.00388349514566,336.90788121073666,102,515
AT島,591-607,1,352.8955223880597,7.562252964426878,345.3332694236328,201,1012
AT島,591-607,2,207.07462686567163,78.762,128.31262686567163,201,1000
AT島,591-607,3,343.8480392156863,47.983300589390964,295.8647386262953,204,1018
AT島,591-607,4,688.860696517413,188.0924623115578,500.76823420585515,201,995
AT島,591-607,5,571.0245098039215,-49.448579823702254,620.4730896276238,204,1021
AT島,591-607,6,629.1911764705883,192.9171597633136,436.27401670727465,204,1014
AT島,591-607,7,467.5980392156863,84.18093385214007,383.4171053635462,204,1028
AT島,591-607,8,369.24,150.96245059288538,218.27754940711463,100,506
AT島,591-607,9,773.9117647058823,300.6861598440546,473.2256048618277,102,513
AT島,608-623,0,-277.328431372549,-90.90891283055828,-186.41951854199073,204,1021
AT島,608-623,1,362.83168316831683,86.98294884653961,275.8487343217772,202,997
AT島,608-623,2,233.52216748768473,-5.792168674698795,239.3143361623835,203,996
AT島,608-623,3,294.7389162561576,-15.3996003996004,310.138516655758,203,1001
AT島,608-623,4,521.4901960784314,21.921722113502934,499.56847396492844,102,511
AT島,608-623,5,-287.5,-118.65853658536585,-168.84146341463415,102,492
AT島,608-623,6,-485.8627450980392,-224.81159420289856,-261.05115089514067,102,483
AT島,608-623,7,-354.08910891089107,-125.93456032719837,-228.1545485836927,101,489
AT島,608-623,8,265.11330049261085,-133.4037886340977,398.5170891267086,203,1003
AT島,608-623,9,344.96078431372547,26.285854616895875,318.6749296968296,204,1018
AT島,624-640,0,61.65196078431372,-162.1976401179941,223.84960090230783,204,1017
AT島,624-640,1,-112.90196078431373,-127.29191321499013,14.389952430676402,102,507
AT島,624-640,2,-611.5196078431372,-254.3208661417323,-357.19874170140497,102,508
AT島,624-640,3,-237.2843137254902,-128.70669291338584,-108.57762081210436,102,508
AT島,624-640,4,136.75124378109453,-128.81522842639595,265.5664722074905,201,985
AT島,624-640,5,-134.29850746268656,-255.44353182751541,121.14502436482886,201,974
AT島,624-640,6,-46.80295566502463,-238.3211752786221,191.51821961359747,203,987
AT島,624-640,7,429.6650246305419,-46.52,476.1850246305419,203,1000
AT島,624-640,8,98.08333333333333,-30.53211009174312,128.61544342507645,204,981
AT島,624-640,9,74.30882352941177,-109.54091816367266,183.8497416930844,204,1002
ジャグラー島,641-657,0,61.8235294117647,18.5747572815534,43.24877213021131,102,515
ジャグラー島,641-657,1,314.3872549019608,246.33787731256086,68.04937758939991,204,1027
ジャグラー島,641-657,2,7.617647058823529,145.9378640776699,-138.32021701884636,204,1030
ジャグラー島,641-657,3,8.799019607843137,63.5,-54.700980392156865,204,1030
ジャグラー島,641-657,4,103.74019607843137,31.509708737864077,72.2304873405673,204,1030
ジャグラー島,641-657,5,233.66176470588235,-13.003883495145631,246.66564820102798,204,1030
ジャグラー島,641-657,6,205.90686274509804,-5.238834951456311,211.14569769655435,204,1030
ジャグラー島,641-657,7,112.05392156862744,-23.65242718446602,135.70634875309347,204,1030
ジャグラー島,641-657,8,386.8137254901961,45.02718446601942,341.78654102417664,102,515
ジャグラー島,641-657,9,31.11764705882353,-67.03300970873786,98.1506567675614,102,515
ジャグラー島,658-674,0,241.39408866995075,53.758553274682306,187.63553539526845,203,1023
ジャグラー島,658-674,1,103.0,4.371844660194175,98.62815533980583,204,1030
ジャグラー島,658-674,2,292.80882352941177,128.4126213592233,164.39620217018847,204,1030
ジャグラー島,658-674,3,342.37745098039215,176.11165048543688,166.26580049495527,204,1030
ジャグラー島,658-674,4,425.55882352941177,310.54174757281555,115.01707595659622,204,1030
ジャグラー島,658-674,5,190.73529411764707,29.434951456310678,161.3003426613364,102,515
ジャグラー島,658-674,6,145.63725490196077,54.2873786407767,91.34987626118408,102,515
ジャグラー島,658-674,7,351.84158415841586,37.95890410958904,313.88268004882684,101,511
ジャグラー島,658-674,8,96.16666666666667,-43.68252427184466,139.84919093851133,204,1030
ジャグラー島,658-674,9,85.25490196078431,-12.153398058252428,97.40830001903674,204,1030
ジャグラー島,675-691,0,5.21078431372549,-55.17281553398058,60.38359984770607,204,1030
ジャグラー島,675-691,1,50.245098039215684,-15.292233009708738,65.53733104892441,204,1030
ジャグラー島,675-691,2,139.64705882352942,39.219844357976655,100.42721446555277,102,514
ジャグラー島,675-691,3,-8.764705882352942,-29.518446601941747,20.753740719588805,102,515
ジャグラー島,675-691,4,121.22549019607843,-21.299029126213593,142.524519322292,102,515
ジャグラー島,675-691,5,172.34803921568627,131.6757281553398,40.67231106034646,204,1030
ジャグラー島,675-691,6,287.6421568627451,69.90291262135922,217.73924424138585,204,1030
ジャグラー島,675-691,7,301.0837438423645,21.6689453125,279.4147985298645,203,1024
ジャグラー島,675-691,8,91.05882352941177,-18.135922330097088,109.19474585950886,204,1030
ジャグラー島,675-691,9,373.1813725490196,93.8621359223301,279.31923662668953,204,1030
バラエティ島,692-700,0,-104.5,-183.8452380952381,79.3452380952381,102,504
バラエティ島,692-700,2,-336.2772277227723,-285.60707269155205,-50.67015503122025,101,509
バラエティ島,692-700,3,-166.31683168316832,-247.32251521298176,81.00568352981344,101,493
バラエティ島,692-700,4,157.5,-90.5010060362173,248.0010060362173,102,497
バラエティ島,692-700,5,56.83838383838384,-48.91038696537678,105.74877080376062,99,491
バラエティ島,692-700,6,-103.86868686868686,-96.05636743215031,-7.812319436536555,99,479
バラエティ島,692-700,7,408.24,62.31198347107438,345.92801652892564,100,484
バラエティ島,692-700,8,-317.1212121212121,-239.72670807453417,-77.39450404667795,99,483
バラエティ島,692-700,9,106.95918367346938,-102.27615062761507,209.23533430108444,98,478
バラエティ島,701-711,0,173.90196078431373,-81.56699029126213,255.46895107557586,102,515
バラエティ島,701-711,1,-82.69607843137256,-224.73391812865498,142.03783969728244,204,1026
バラエティ島,701-711,2,-23.147058823529413,-127.90569744597249,104.75863862244307,102,509
バラエティ島,701-711,3,-258.8137254901961,-135.6449704142012,-123.16875507599488,102,507
バラエティ島,701-711,4,45.411764705882355,-40.734375,86.14613970588235,102,512
バラエティ島,701-711,5,-92.2156862745098,-138.6998050682261,46.484118793716306,102,513
バラエティ島,701-711,6,-275.0,-141.24271844660194,-133.75728155339806,102,515
バラエティ島,701-711,7,39.72549019607843,19.99611650485437,19.729373691224062,102,515
バラエティ島,701-711,8,186.26470588235293,-152.60038986354775,338.8650957459007,102,513
バラエティ島,701-711,9,352.2647058823529,-68.87743190661479,421.1421377889677,102,514
バラエティ島,712-722,0,73.11764705882354,-6.900970873786408,80.01861793260994,102,515
バラエティ島,712-722,1,398.2549019607843,54.37864077669903,343.87626118408525,102,515
バラエティ島,712-722,2,77.6029411764706,16.45145631067961,61.151484865790984,204,1030
バラエティ島,712-722,3,97.26470588235294,46.300970873786405,50.96373500856654,102,515
バラエティ島,712-722,4,8.784313725490197,14.790291262135922,-6.005977536645725,102,515
バラエティ島,712-722,5,-158.49019607843138,14.675728155339806,-173.1659242337712,102,515
バラエティ島,712-722,6,-37.450980392156865,36.97281553398058,-74.42379592613744,102,515
バラエティ島,712-722,7,27.637254901960784,74.39223300970873,-46.754978107747945,102,515
バラエティ島,712-722,8,145.8235294117647,80.64077669902913,65.18275271273556,102,515
バラエティ島,712-722,9,-76.49019607843137,40.02718446601942,-116.51738054445079,102,515
バラエティ島,723-733,0,53.166666666666664,-45.49708737864078,98.66375404530744,102,515
バラエティ島,723-733,1,280.37254901960785,107.70291262135922,172.66963639824863,102,515
バラエティ島,723-733,2,467.7843137254902,227.1864077669903,240.59790595849992,102,515
バラエティ島,723-733,3,111.71078431372548,70.39029126213592,41.320493051589565,204,1030
バラエティ島,723-733,4,134.69607843137254,24.12621359223301,110.56986483913953,102,515
バラエティ島,723-733,5,414.2156862745098,85.87184466019417,328.3438416143156,102,515
バラエティ島,723-733,6,127.88235294117646,50.667961165048546,77.21439177612791,102,515
バラエティ島,723-733,7,484.8529411764706,70.22135922330096,414.63158195316964,102,515
バラエティ島,723-733,8,287.95098039215685,26.65953307392996,261.2914473182269,102,514
バラエティ島,723-733,9,306.3627450980392,25.988349514563108,280.37439558347614,102,515
バラエティ島,734-744,0,151.05882352941177,-39.55922330097087,190.61804683038264,102,515
バラエティ島,734-744,1,383.61764705882354,71.49514563106796,312.1225014277556,102,515
バラエティ島,734-744,2,254.73529411764707,85.45136186770428,169.28393224994278,102,514
バラエティ島,734-744,3,297.9117647058824,91.49320388349514,206.41856082238724,102,515
バラエティ島,734-744,4,163.44117647058823,63.17669902912621,100.26447744146202,204,1030
バラエティ島,734-744,5,294.0980392156863,114.86407766990291,179.2339615457834,102,515
バラエティ島,734-744,6,324.2647058823529,53.37087378640777,270.8938320959452,102,515
バラエティ島,734-744,7,517.9705882352941,111.4504854368932,406.52010279840096,102,515
バラエティ島,734-744,8,365.37254901960785,58.49514563106796,306.8774033885399,102,515
バラエティ島,734-744,9,171.97058823529412,-30.848543689320387,202.8191319246145,102,515
バラエティ島,745-755,0,279.2020202020202,6.771134020618557,272.43088618140166,99,485
バラエティ島,745-755,1,-68.66336633663366,-95.51696606786427,26.853599731230616,101,501
バラエティ島,745-755,2,281.2352941176471,107.90962671905697,173.3256673985901,102,509
バラエティ島,745-755,3,-703.156862745098,-30.376218323586745,-672.7806444215113,102,513
バラエティ島,745-755,4,108.86138613861387,-109.12252964426878,217.98391578288266,101,506
バラエティ島,745-755,5,119.61764705882354,-102.82048780487806,222.43813486370158,204,1025
バラエティ島,745-755,6,153.59803921568627,150.219801980198,3.378237235488257,102,505
バラエティ島,745-755,7,-71.0990099009901,0.758893280632411,-71.8579031816225,101,506
バラエティ島,745-755,8,364.8921568627451,-60.088235294117645,424.9803921568627,102,510
バラエティ島,745-755,9,93.40196078431373,-60.306451612903224,153.70841239721696,102,496
