island,section,last_digit,xday_mean,global_mean,deviation,n_xday_records,n_global_records
AT島,501-522,0,624.4679802955665,104.17564870259481,520.2923315929717,203,1002
AT島,501-522,1,520.0751633986928,40.72007848266841,479.35508491602434,306,1529
AT島,501-522,2,745.9019607843137,-23.576094056172437,769.4780548404862,306,1531
AT島,501-522,3,115.02450980392157,88.82381889763779,26.200690906283782,204,1016
AT島,501-522,4,545.6519607843137,167.10344827586206,378.5485125084516,204,1015
AT島,501-522,5,29.76847290640394,21.41906653426018,8.349406372143761,203,1007
AT島,501-522,6,160.02475247524754,145.2082494969819,14.816502978265646,202,994
AT島,501-522,7,203.83251231527095,-72.48597194388778,276.3184842591587,203,998
AT島,501-522,8,357.05392156862746,-27.229083665338646,384.2830052339661,204,1004
AT島,501-522,9,220.82266009852216,-105.22487562189055,326.0475357204127,203,1005
AT島,523-539,0,-279.578431372549,-235.16463414634146,-44.41379722620755,102,492
AT島,523-539,1,360.7352941176471,-177.70362903225808,538.4389231499051,102,496
AT島,523-539,2,92.2843137254902,-82.76024590163935,175.04455962712956,102,488
AT島,523-539,3,-168.44607843137254,-242.5030181086519,74.05693967727936,204,994
AT島,523-539,4,101.50246305418719,-136.67722165474976,238.17968470893695,203,979
AT島,523-539,5,-172.55940594059405,-146.70408163265307,-25.855324307940975,202,980
AT島,523-539,6,4.054455445544554,-59.17110655737705,63.225562002921606,202,976
AT島,523-539,7,293.11764705882354,-154.7138523761375,447.8314994349611,204,989
AT島,523-539,8,158.07,-62.78600823045267,220.85600823045266,200,972
AT島,523-539,9,199.72277227722773,-171.8085742771685,371.53134655439624,202,1003
AT島,540-556,0,709.4926108374384,152.03174603174602,557.4608648056924,203,1008
AT島,540-556,1,453.275,120.01630988786953,333.25869011213047,200,981
AT島,540-556,2,167.99014778325125,160.40464177598386,7.585506007267384,203,991
AT島,540-556,3,712.6633663366337,140.59390862944161,572.069457707192,202,985
AT島,540-556,4,37.17326732673267,211.0678824721378,-173.8946151454051,202,987
AT島,540-556,5,295.37254901960785,-48.559760956175296,343.93230997578314,204,1004
AT島,540-556,6,112.85858585858585,18.263479145473042,94.59510671311281,198,983
AT島,540-556,7,545.2549019607843,298.6123260437376,246.6425759170467,102,503
AT島,540-556,8,602.41,48.27439024390244,554.1356097560976,100,492
AT島,540-556,9,441.47058823529414,4.691532258064516,436.77905597722963,102,496
