island,section,last_digit,dd_group,group_mean,global_mean,deviation_group,n_records
AT島,501-522,0,4-group,471.38235294117646,104.17564870259481,367.20670423858166,102
AT島,501-522,0,7-group,779.0693069306931,104.17564870259481,674.8936582280983,101
AT島,501-522,1,4-group,508.078431372549,40.72007848266841,467.3583528898806,153
AT島,501-522,1,7-group,532.0718954248366,40.72007848266841,491.35181694216817,153
AT島,501-522,2,4-group,897.3529411764706,-23.576094056172437,920.9290352326431,153
AT島,501-522,2,7-group,594.4509803921569,-23.576094056172437,618.0270744483294,153
AT島,501-522,3,4-group,37.205882352941174,88.82381889763779,-51.61793654469662,102
AT島,501-522,3,7-group,192.84313725490196,88.82381889763779,104.01931835726417,102
AT島,501-522,4,4-group,155.0392156862745,167.10344827586206,-12.064232589587562,102
AT島,501-522,4,7-group,936.2647058823529,167.10344827586206,769.1612576064908,102
AT島,501-522,5,4-group,-503.51960784313724,21.41906653426018,-524.9386743773974,102
AT島,501-522,5,7-group,568.3366336633663,21.41906653426018,546.9175671291061,101
AT島,501-522,6,4-group,-66.43564356435644,145.2082494969819,-211.64389306133833,101
AT島,501-522,6,7-group,386.48514851485146,145.2082494969819,241.27689901786957,101
AT島,501-522,7,4-group,-57.88235294117647,-72.48597194388778,14.603619002711305,102
AT島,501-522,7,7-group,468.13861386138615,-72.48597194388778,540.6245858052739,101
AT島,501-522,8,4-group,64.16666666666667,-27.229083665338646,91.39575033200532,102
AT島,501-522,8,7-group,649.9411764705883,-27.229083665338646,677.1702601359269,102
AT島,501-522,9,4-group,421.2352941176471,-105.22487562189055,526.4601697395376,102
AT島,501-522,9,7-group,18.425742574257427,-105.22487562189055,123.65061819614797,101
AT島,523-539,0,4-group,159.5686274509804,-235.16463414634146,394.73326159732187,51
AT島,523-539,0,7-group,-718.7254901960785,-235.16463414634146,-483.560856049737,51
AT島,523-539,1,4-group,459.96078431372547,-177.70362903225808,637.6644133459836,51
AT島,523-539,1,7-group,261.5098039215686,-177.70362903225808,439.21343295382667,51
AT島,523-539,2,4-group,246.88235294117646,-82.76024590163935,329.6425988428158,51
AT島,523-539,2,7-group,-62.31372549019608,-82.76024590163935,20.446520411443274,51
AT島,523-539,3,4-group,-219.64705882352942,-242.5030181086519,22.85595928512248,102
AT島,523-539,3,7-group,-117.24509803921569,-242.5030181086519,125.25792006943621,102
AT島,523-539,4,4-group,480.0686274509804,-136.67722165474976,616.7458491057301,102
AT島,523-539,4,7-group,-280.81188118811883,-136.67722165474976,-144.13465953336907,101
AT島,523-539,5,4-group,-474.20588235294116,-146.70408163265307,-327.5018007202881,102
AT島,523-539,5,7-group,135.12,-146.70408163265307,281.8240816326531,100
AT島,523-539,6,4-group,-42.71568627450981,-59.17110655737705,16.455420282867244,102
AT島,523-539,6,7-group,51.76,-59.17110655737705,110.93110655737705,100
AT島,523-539,7,4-group,222.04901960784315,-154.7138523761375,376.76287198398063,102
AT島,523-539,7,7-group,364.1862745098039,-154.7138523761375,518.9001268859414,102
AT島,523-539,8,4-group,386.0,-62.78600823045267,448.7860082304527,101
AT島,523-539,8,7-group,-74.46464646464646,-62.78600823045267,-11.67863823419379,99
AT島,523-539,9,4-group,-9.862745098039216,-171.8085742771685,161.94582917912928,102
AT島,523-539,9,7-group,413.5,-171.8085742771685,585.3085742771685,100
AT島,540-556,0,4-group,801.7254901960785,152.03174603174602,649.6937441643324,102
AT島,540-556,0,7-group,616.3465346534654,152.03174603174602,464.31478862171934,101
AT島,540-556,1,4-group,481.21,120.01630988786953,361.19369011213047,100
AT島,540-556,1,7-group,425.34,120.01630988786953,305.32369011213046,100
AT島,540-556,2,4-group,349.2647058823529,160.40464177598386,188.86006410636907,102
AT島,540-556,2,7-group,-15.07920792079208,160.40464177598386,-175.48384969677593,101
AT島,540-556,3,4-group,597.6039603960396,140.59390862944161,457.010051766598,101
AT島,540-556,3,7-group,827.7227722772277,140.59390862944161,687.1288636477861,101
AT島,540-556,4,4-group,53.411764705882355,211.0678824721378,-157.65611776625545,102
AT島,540-556,4,7-group,20.61,211.0678824721378,-190.45788247213778,100
AT島,540-556,5,4-group,616.0294117647059,-48.559760956175296,664.5891727208812,102
AT島,540-556,5,7-group,-25.284313725490197,-48.559760956175296,23.2754472306851,102
AT島,540-556,6,4-group,-77.97979797979798,18.263479145473042,-96.24327712527102,99
AT島,540-556,6,7-group,303.6969696969697,18.263479145473042,285.4334905514967,99
AT島,540-556,7,4-group,333.84313725490193,298.6123260437376,35.23081121116434,51
AT島,540-556,7,7-group,756.6666666666666,298.6123260437376,458.05434062292903,51
AT島,540-556,8,4-group,377.88,48.27439024390244,329.6056097560976,50
AT島,540-556,8,7-group,826.94,48.27439024390244,778.6656097560976,50
AT島,540-556,9,4-group,738.5098039215686,4.691532258064516,733.8182716635041,51
AT島,540-556,9,7-group,144.4313725490196,4.691532258064516,139.7398402909551,51
AT島,557-573,0,4-group,515.8039215686274,157.04747474747475,358.7564468211526,102
AT島,557-573,0,7-group,-4.588235294117647,157.04747474747475,-161.6357100415924,102
AT島,557-573,1,4-group,37.294117647058826,72.5337361530715,-35.239618506012675,102
AT島,557-573,1,7-group,414.71287128712873,72.5337361530715,342.1791351340572,101
AT島,557-573,2,4-group,160.7058823529412,182.86027944111777,-22.15439708817658,102
AT島,557-573,2,7-group,845.1372549019608,182.86027944111777,662.276975460843,102
AT島,557-573,3,4-group,636.2323232323232,174.45904954499494,461.77327368732824,99
