island,section,last_digit,dd_group,group_mean,global_mean,deviation_group,n_records
AT島,557-573,3,7-group,122.65,174.45904954499494,-51.809049544994934,100
AT島,557-573,4,4-group,886.7843137254902,148.72357723577235,738.0607364897178,51
AT島,557-573,4,7-group,-214.0392156862745,148.72357723577235,-362.76279292204686,51
AT島,557-573,5,4-group,-83.12244897959184,103.72895277207392,-186.85140175166578,49
AT島,557-573,5,7-group,979.4285714285714,103.72895277207392,875.6996186564975,49
AT島,557-573,6,4-group,1546.1764705882354,355.63453815261045,1190.5419324356249,51
AT島,557-573,6,7-group,429.5098039215686,355.63453815261045,73.87526576895817,51
AT島,557-573,7,4-group,288.2277227722772,-2.725470763131814,290.953193535409,101
AT島,557-573,7,7-group,-285.94059405940595,-2.725470763131814,-283.21512329627416,101
AT島,557-573,8,4-group,545.4901960784314,110.20456802383316,435.2856280545982,102
AT島,557-573,8,7-group,-59.833333333333336,110.20456802383316,-170.0379013571665,102
AT島,557-573,9,4-group,481.980198019802,45.54582074521652,436.4343772745855,101
AT島,557-573,9,7-group,23.485148514851485,45.54582074521652,-22.060672230365032,101
AT島,574-590,0,4-group,-206.19607843137254,-95.35588235294118,-110.84019607843136,102
AT島,574-590,0,7-group,127.5,-95.35588235294118,222.8558823529412,102
AT島,574-590,1,4-group,1582.6274509803923,109.89194499017681,1472.7355059902154,51
AT島,574-590,1,7-group,-78.45098039215686,109.89194499017681,-188.34292538233368,51
AT島,574-590,2,4-group,1557.4901960784314,181.75442043222003,1375.7357756462113,51
AT島,574-590,2,7-group,1299.686274509804,181.75442043222003,1117.931854077584,51
AT島,574-590,3,4-group,800.3921568627451,-81.40236686390533,881.7945237266504,51
AT島,574-590,3,7-group,387.2156862745098,-81.40236686390533,468.6180531384151,51
AT島,574-590,4,4-group,1749.1666666666667,96.49462365591398,1652.6720430107528,102
AT島,574-590,4,7-group,-349.1372549019608,96.49462365591398,-445.63187855787476,102
AT島,574-590,5,4-group,894.1666666666666,196.06967615309128,698.0969905135753,102
AT島,574-590,5,7-group,685.9509803921569,196.06967615309128,489.8813042390656,102
AT島,574-590,6,4-group,293.8235294117647,-46.74828599412341,340.5718154058881,102
AT島,574-590,6,7-group,314.3921568627451,-46.74828599412341,361.1404428568685,102
AT島,574-590,7,4-group,280.96078431372547,158.33498023715416,122.62580407657131,102
AT島,574-590,7,7-group,584.4313725490196,158.33498023715416,426.09639231186543,102
AT島,574-590,8,4-group,579.9901960784314,47.448412698412696,532.5417833800187,102
AT島,574-590,8,7-group,57.90196078431372,47.448412698412696,10.453548085901026,102
AT島,574-590,9,4-group,-438.4901960784314,-32.384086444007856,-406.10610963442355,102
AT島,574-590,9,7-group,-88.61764705882354,-32.384086444007856,-56.23356061481568,102
AT島,591-607,0,4-group,1532.2745098039215,293.00388349514566,1239.270626308776,51
AT島,591-607,0,7-group,-272.45098039215685,293.00388349514566,-565.4548638873025,51
AT島,591-607,1,4-group,584.7029702970297,7.562252964426878,577.1407173326028,101
AT島,591-607,1,7-group,118.77,7.562252964426878,111.20774703557312,100
AT島,591-607,2,4-group,280.38613861386136,78.762,201.62413861386136,101
AT島,591-607,2,7-group,133.03,78.762,54.268,100
AT島,591-607,3,4-group,404.9117647058824,47.983300589390964,356.9284641164914,102
AT島,591-607,3,7-group,282.7843137254902,47.983300589390964,234.80101313609924,102
AT島,591-607,4,4-group,816.7128712871287,188.0924623115578,628.6204089755709,101
AT島,591-607,4,7-group,559.73,188.0924623115578,371.6375376884422,100
AT島,591-607,5,4-group,507.12745098039215,-49.448579823702254,556.5760308040944,102
AT島,591-607,5,7-group,634.9215686274509,-49.448579823702254,684.3701484511532,102
AT島,591-607,6,4-group,662.2450980392157,192.9171597633136,469.32793827590206,102
AT島,591-607,6,7-group,596.1372549019608,192.9171597633136,403.22009513864714,102
AT島,591-607,7,4-group,697.5686274509804,84.18093385214007,613.3876935988403,102
AT島,591-607,7,7-group,237.62745098039215,84.18093385214007,153.44651712825208,102
AT島,591-607,8,4-group,525.5,150.96245059288538,374.5375494071146,50
AT島,591-607,8,7-group,212.98,150.96245059288538,62.017549407114615,50
AT島,591-607,9,4-group,558.3725490196078,300.6861598440546,257.68638917555324,51
AT島,591-607,9,7-group,989.4509803921569,300.6861598440546,688.7648205481023,51
AT島,608-623,0,4-group,-99.1078431372549,-90.90891283055828,-8.198930306696624,102
AT島,608-623,0,7-group,-455.54901960784315,-90.90891283055828,-364.64010677728487,102
AT島,608-623,1,4-group,146.00980392156862,86.98294884653961,59.026855075029005,102
AT島,608-623,1,7-group,583.99,86.98294884653961,497.0070511534604,100
AT島,608-623,2,4-group,452.0882352941176,-5.792168674698795,457.88040396881644,102
AT島,608-623,2,7-group,12.792079207920793,-5.792168674698795,18.584247882619586,101
AT島,608-623,3,4-group,610.4019607843137,-15.3996003996004,625.8015611839141,102
AT島,608-623,3,7-group,-24.04950495049505,-15.3996003996004,-8.649904550894648,101
AT島,608-623,4,4-group,242.2549019607843,21.921722113502934,220.33317984728137,51
AT島,608-623,4,7-group,800.7254901960785,21.921722113502934,778.8037680825755,51
AT島,608-623,5,4-group,-72.58823529411765,-118.65853658536585,46.0703012912482,51
AT島,608-623,5,7-group,-502.4117647058824,-118.65853658536585,-383.7532281205165,51
AT島,608-623,6,4-group,-903.4509803921569,-224.81159420289856,-678.6393861892584,51
AT島,608-623,6,7-group,-68.27450980392157,-224.81159420289856,156.537084398977,51
AT島,608-623,7,4-group,-552.0392156862745,-125.93456032719837,-426.1046553590761,51
AT島,608-623,7,7-group,-152.18,-125.93456032719837,-26.245439672801638,50
AT島,608-623,8,4-group,10.215686274509803,-133.4037886340977,143.61947490860751,102
AT島,608-623,8,7-group,522.5346534653465,-133.4037886340977,655.9384420994443,101
AT島,608-623,9,4-group,495.7843137254902,26.285854616895875,469.4984591085944,102
AT島,608-623,9,7-group,194.13725490196077,26.285854616895875,167.8514002850649,102
AT島,624-640,0,4-group,-30.41176470588235,-162.1976401179941,131.78587541211175,102
AT島,624-640,0,7-group,153.7156862745098,-162.1976401179941,315.9133263925039,102
AT島,624-640,1,4-group,-178.68627450980392,-127.29191321499013,-51.39436129481379,51
AT島,624-640,1,7-group,-47.11764705882353,-127.29191321499013,80.1742661561666,51
AT島,624-640,2,4-group,-870.9607843137255,-254.3208661417323,-616.6399181719933,51
AT島,624-640,2,7-group,-352.078431372549,-254.3208661417323,-97.75756523081671,51
AT島,624-640,3,4-group,-57.94117647058823,-128.70669291338584,70.7655164427976,51
AT島,624-640,3,7-group,-416.62745098039215,-128.70669291338584,-287.9207580670063,51
AT島,624-640,4,4-group,-290.08,-128.81522842639595,-161.26477157360404,100
AT島,624-640,4,7-group,559.3564356435644,-128.81522842639595,688.1716640699603,101
AT島,624-640,5,4-group,-5.96078431372549,-255.44353182751541,249.48274751378992,102
AT島,624-640,5,7-group,-266.52525252525254,-255.44353182751541,-11.081720697737126,99
AT島,624-640,6,4-group,18.568627450980394,-238.3211752786221,256.8898027296025,102
AT島,624-640,6,7-group,-112.82178217821782,-238.3211752786221,125.49939310040428,101
AT島,624-640,7,4-group,519.1960784313726,-46.52,565.7160784313726,102
AT島,624-640,7,7-group,339.2475247524753,-46.52,385.76752475247525,101
AT島,624-640,8,4-group,206.4313725490196,-30.53211009174312,236.96348264076272,102
AT島,624-640,8,7-group,-10.264705882352942,-30.53211009174312,20.26740420939018,102
AT島,624-640,9,4-group,-27.49019607843137,-109.54091816367266,82.05072208524129,102
AT島,624-640,9,7-group,176.1078431372549,-109.54091816367266,285.64876130092756,102
ジャグラー島,641-657,0,4-group,-91.09803921568627,18.5747572815534,-109.67279649723967,51
ジャグラー島,641-657,0,7-group,214.7450980392157,18.5747572815534,196.1703407576623,51
ジャグラー島,641-657,1,4-group,158.6078431372549,246.33787731256086,-87.73003417530597,102
ジャグラー島,641-657,1,7-group,470.1666666666667,246.33787731256086,223.82878935410582,102
ジャグラー島,641-657,2,4-group,87.17647058823529,145.9378640776699,-58.76139348943461,102
ジャグラー島,641-657,2,7-group,-71.94117647058823,145.9378640776699,-217.87904054825813,102
ジャグラー島,641-657,3,4-group,34.31372549019608,63.5,-29.186274509803923,102
ジャグラー島,641-657,3,7-group,-16.715686274509803,63.5,-80.2156862745098,102
ジャグラー島,641-657,4,4-group,157.97058823529412,31.509708737864077,126.46087949743004,102
ジャグラー島,641-657,4,7-group,49.509803921568626,31.509708737864077,18.00009518370455,102
ジャグラー島,641-657,5,4-group,285.2156862745098,-13.003883495145631,298.21956976965544,102
ジャグラー島,641-657,5,7-group,182.1078431372549,-13.003883495145631,195.11172663240052,102
ジャグラー島,641-657,6,4-group,245.9607843137255,-5.238834951456311,251.1996192651818,102
ジャグラー島,641-657,6,7-group,165.85294117647058,-5.238834951456311,171.0917761279269,102
ジャグラー島,641-657,7,4-group,22.029411764705884,-23.65242718446602,45.681838949171905,102
ジャグラー島,641-657,7,7-group,202.07843137254903,-23.65242718446602,225.73085855701504,102
ジャグラー島,641-657,8,4-group,97.68627450980392,45.02718446601942,52.6590900437845,51
ジャグラー島,641-657,8,7-group,675.9411764705883,45.02718446601942,630.9139920045689,51
ジャグラー島,641-657,9,4-group,-158.15686274509804,-67.03300970873786,-91.12385303636017,51
ジャグラー島,641-657,9,7-group,220.3921568627451,-67.03300970873786,287.425166571483,51
ジャグラー島,658-674,0,4-group,369.33663366336634,53.758553274682306,315.57808038868404,101
ジャグラー島,658-674,0,7-group,114.70588235294117,53.758553274682306,60.94732907825887,102
ジャグラー島,658-674,1,4-group,241.83333333333334,4.371844660194175,237.46148867313917,102
ジャグラー島,658-674,1,7-group,-35.833333333333336,4.371844660194175,-40.20517799352751,102
ジャグラー島,658-674,2,4-group,500.6862745098039,128.4126213592233,372.2736531505806,102
ジャグラー島,658-674,2,7-group,84.93137254901961,128.4126213592233,-43.48124881020368,102
ジャグラー島,658-674,3,4-group,428.03921568627453,176.11165048543688,251.92756520083765,102
ジャグラー島,658-674,3,7-group,256.7156862745098,176.11165048543688,80.6040357890729,102
ジャグラー島,658-674,4,4-group,471.0980392156863,310.54174757281555,160.55629164287075,102
ジャグラー島,658-674,4,7-group,380.01960784313724,310.54174757281555,69.47786027032168,102
ジャグラー島,658-674,5,4-group,165.72549019607843,29.434951456310678,136.29053873976775,51
ジャグラー島,658-674,5,7-group,215.7450980392157,29.434951456310678,186.31014658290502,51
ジャグラー島,658-674,6,4-group,134.58823529411765,54.2873786407767,80.30085665334096,51
ジャグラー島,658-674,6,7-group,156.68627450980392,54.2873786407767,102.39889586902723,51
ジャグラー島,658-674,7,4-group,625.7450980392157,37.95890410958904,587.7861939296266,51
ジャグラー島,658-674,7,7-group,72.46,37.95890410958904,34.50109589041095,50
ジャグラー島,658-674,8,4-group,266.078431372549,-43.68252427184466,309.7609556443937,102
ジャグラー島,658-674,8,7-group,-73.74509803921569,-43.68252427184466,-30.062573767371028,102
ジャグラー島,658-674,9,4-group,-52.48039215686274,-12.153398058252428,-40.326994098610314,102
ジャグラー島,658-674,9,7-group,222.99019607843138,-12.153398058252428,235.14359413668382,102
ジャグラー島,675-691,0,4-group,-79.02941176470588,-55.17281553398058,-23.8565962307253,102
ジャグラー島,675-691,0,7-group,89.45098039215686,-55.17281553398058,144.62379592613746,102
ジャグラー島,675-691,1,4-group,60.0,-15.292233009708738,75.29223300970874,102
ジャグラー島,675-691,1,7-group,40.490196078431374,-15.292233009708738,55.78242908814011,102
ジャグラー島,675-691,2,4-group,165.2941176470588,39.219844357976655,126.07427328908216,51
ジャグラー島,675-691,2,7-group,114.0,39.219844357976655,74.78015564202335,51
ジャグラー島,675-691,3,4-group,-260.52941176470586,-29.518446601941747,-231.0109651627641,51
ジャグラー島,675-691,3,7-group,243.0,-29.518446601941747,272.5184466019417,51
ジャグラー島,675-691,4,4-group,260.19607843137254,-21.299029126213593,281.49510755758615,51
ジャグラー島,675-691,4,7-group,-17.745098039215687,-21.299029126213593,3.553931086997906,51
ジャグラー島,675-691,5,4-group,264.1078431372549,131.6757281553398,132.4321149819151,102
ジャグラー島,675-691,5,7-group,80.58823529411765,131.6757281553398,-51.08749286122216,102
ジャグラー島,675-691,6,4-group,418.70588235294116,69.90291262135922,348.8029697315819,102
ジャグラー島,675-691,6,7-group,156.57843137254903,69.90291262135922,86.67551875118981,102
ジャグラー島,675-691,7,4-group,216.87128712871288,21.6689453125,195.20234181621288,101
ジャグラー島,675-691,7,7-group,384.47058823529414,21.6689453125,362.80164292279414,102
ジャグラー島,675-691,8,4-group,137.64705882352942,-18.135922330097088,155.7829811536265,102
ジャグラー島,675-691,8,7-group,44.470588235294116,-18.135922330097088,62.606510565391204,102
ジャグラー島,675-691,9,4-group,306.61764705882354,93.8621359223301,212.75551113649345,102
ジャグラー島,675-691,9,7-group,439.7450980392157,93.8621359223301,345.8829621168856,102
バラエティ島,692-700,0,4-group,-247.92156862745097,-183.8452380952381,-64.07633053221286,51
バラエティ島,692-700,0,7-group,38.92156862745098,-183.8452380952381,222.76680672268907,51
バラエティ島,692-700,2,4-group,-141.1764705882353,-285.60707269155205,144.43060210331674,51
バラエティ島,692-700,2,7-group,-535.28,-285.60707269155205,-249.67292730844792,50
バラエティ島,692-700,3,4-group,-12.823529411764707,-247.32251521298176,234.49898580121706,51
バラエティ島,692-700,3,7-group,-322.88,-247.32251521298176,-75.55748478701824,50
バラエティ島,692-700,4,4-group,-53.705882352941174,-90.5010060362173,36.79512368327613,51
バラエティ島,692-700,4,7-group,368.70588235294116,-90.5010060362173,459.20688838915845,51
バラエティ島,692-700,5,4-group,111.61224489795919,-48.91038696537678,160.52263186333596,49
バラエティ島,692-700,5,7-group,3.16,-48.91038696537678,52.070386965376784,50
バラエティ島,692-700,6,4-group,-372.94117647058823,-96.05636743215031,-276.88480903843794,51
バラエティ島,692-700,6,7-group,182.02083333333334,-96.05636743215031,278.07720076548367,48
バラエティ島,692-700,7,4-group,542.2745098039215,62.31198347107438,479.9625263328472,51
バラエティ島,692-700,7,7-group,268.734693877551,62.31198347107438,206.42271040647665,49
バラエティ島,692-700,8,4-group,-216.0,-239.72670807453417,23.726708074534173,50
バラエティ島,692-700,8,7-group,-420.3061224489796,-239.72670807453417,-180.5794143744454,49
バラエティ島,692-700,9,4-group,293.66,-102.27615062761507,395.9361506276151,50
バラエティ島,692-700,9,7-group,-87.52083333333333,-102.27615062761507,14.755317294281738,48
バラエティ島,701-711,0,4-group,-266.19607843137254,-81.56699029126213,-184.6290881401104,51
バラエティ島,701-711,0,7-group,614.0,-81.56699029126213,695.5669902912621,51
バラエティ島,701-711,1,4-group,-114.83333333333333,-224.73391812865498,109.90058479532165,102
バラエティ島,701-711,1,7-group,-50.55882352941177,-224.73391812865498,174.1750945992432,102
バラエティ島,701-711,2,4-group,-193.13725490196077,-127.90569744597249,-65.23155745598828,51
バラエティ島,701-711,2,7-group,146.84313725490196,-127.90569744597249,274.74883470087445,51
バラエティ島,701-711,3,4-group,-332.84313725490193,-135.6449704142012,-197.19816684070074,51
バラエティ島,701-711,3,7-group,-184.7843137254902,-135.6449704142012,-49.139343311289,51
バラエティ島,701-711,4,4-group,183.5686274509804,-40.734375,224.3030024509804,51
バラエティ島,701-711,4,7-group,-92.74509803921569,-40.734375,-52.01072303921569,51
バラエティ島,701-711,5,4-group,-241.31372549019608,-138.6998050682261,-102.61392042196996,51
バラエティ島,701-711,5,7-group,56.88235294117647,-138.6998050682261,195.58215800940258,51
バラエティ島,701-711,6,4-group,-31.50980392156863,-141.24271844660194,109.73291452503331,51
バラエティ島,701-711,6,7-group,-518.4901960784314,-141.24271844660194,-377.24747763182944,51
バラエティ島,701-711,7,4-group,103.68627450980392,19.99611650485437,83.69015800494955,51
バラエティ島,701-711,7,7-group,-24.235294117647058,19.99611650485437,-44.23141062250143,51
バラエティ島,701-711,8,4-group,309.7450980392157,-152.60038986354775,462.34548790276347,51
バラエティ島,701-711,8,7-group,62.78431372549019,-152.60038986354775,215.38470358903794,51
バラエティ島,701-711,9,4-group,438.37254901960785,-68.87743190661479,507.24998092622263,51
バラエティ島,701-711,9,7-group,266.15686274509807,-68.87743190661479,335.03429465171286,51
バラエティ島,712-722,0,4-group,188.19607843137254,-6.900970873786408,195.09704930515895,51
バラエティ島,712-722,0,7-group,-41.96078431372549,-6.900970873786408,-35.059813439939084,51
バラエティ島,712-722,1,4-group,464.03921568627453,54.37864077669903,409.66057490957553,51
バラエティ島,712-722,1,7-group,332.47058823529414,54.37864077669903,278.0919474585951,51
バラエティ島,712-722,2,4-group,286.6862745098039,16.45145631067961,270.23481819912433,102
バラエティ島,712-722,2,7-group,-131.48039215686273,16.45145631067961,-147.93184846754235,102
バラエティ島,712-722,3,4-group,116.03921568627452,46.300970873786405,69.73824481248812,51
バラエティ島,712-722,3,7-group,78.49019607843137,46.300970873786405,32.18922520464496,51
バラエティ島,712-722,4,4-group,80.98039215686275,14.790291262135922,66.19010089472683,51
バラエティ島,712-722,4,7-group,-63.411764705882355,14.790291262135922,-78.20205596801827,51
バラエティ島,712-722,5,4-group,-224.7843137254902,14.675728155339806,-239.46004188083,51
バラエティ島,712-722,5,7-group,-92.19607843137256,14.675728155339806,-106.87180658671237,51
バラエティ島,712-722,6,4-group,124.47058823529412,36.97281553398058,87.49777270131354,51
バラエティ島,712-722,6,7-group,-199.37254901960785,36.97281553398058,-236.3453645535884,51
バラエティ島,712-722,7,4-group,220.0392156862745,74.39223300970873,145.64698267656576,51
バラエティ島,712-722,7,7-group,-164.76470588235293,74.39223300970873,-239.15693889206165,51
バラエティ島,712-722,8,4-group,275.94117647058823,80.64077669902913,195.3003997715591,51
バラエティ島,712-722,8,7-group,15.705882352941176,80.64077669902913,-64.93489434608796,51
バラエティ島,712-722,9,4-group,-19.235294117647058,40.02718446601942,-59.26247858366648,51
バラエティ島,712-722,9,7-group,-133.7450980392157,40.02718446601942,-173.77228250523513,51
バラエティ島,723-733,0,4-group,-52.23529411764706,-45.49708737864078,-6.73820673900628,51
バラエティ島,723-733,0,7-group,158.5686274509804,-45.49708737864078,204.06571482962116,51
バラエティ島,723-733,1,4-group,251.33333333333334,107.70291262135922,143.63042071197412,51
バラエティ島,723-733,1,7-group,309.4117647058824,107.70291262135922,201.70885208452316,51
バラエティ島,723-733,2,4-group,504.27450980392155,227.1864077669903,277.0881020369312,51
バラエティ島,723-733,2,7-group,431.29411764705884,227.1864077669903,204.10770988006854,51
バラエティ島,723-733,3,4-group,136.19607843137254,70.39029126213592,65.80578716923662,102
バラエティ島,723-733,3,7-group,87.22549019607843,70.39029126213592,16.835198933942507,102
バラエティ島,723-733,4,4-group,173.52941176470588,24.12621359223301,149.40319817247288,51
バラエティ島,723-733,4,7-group,95.86274509803921,24.12621359223301,71.7365315058062,51
バラエティ島,723-733,5,4-group,401.72549019607845,85.87184466019417,315.8536455358843,51
バラエティ島,723-733,5,7-group,426.70588235294116,85.87184466019417,340.83403769274696,51
バラエティ島,723-733,6,4-group,380.7450980392157,50.667961165048546,330.07713687416714,51
バラエティ島,723-733,6,7-group,-124.98039215686275,50.667961165048546,-175.6483533219113,51
バラエティ島,723-733,7,4-group,614.1176470588235,70.22135922330096,543.8962878355226,51
バラエティ島,723-733,7,7-group,355.5882352941176,70.22135922330096,285.36687607081666,51
バラエティ島,723-733,8,4-group,399.921568627451,26.65953307392996,373.26203555352106,51
バラエティ島,723-733,8,7-group,175.98039215686273,26.65953307392996,149.32085908293277,51
バラエティ島,723-733,9,4-group,668.7450980392157,25.988349514563108,642.7567485246526,51
バラエティ島,723-733,9,7-group,-56.01960784313726,25.988349514563108,-82.00795735770036,51
バラエティ島,734-744,0,4-group,300.37254901960785,-39.55922330097087,339.9317723205787,51
バラエティ島,734-744,0,7-group,1.7450980392156863,-39.55922330097087,41.304321340186554,51
バラエティ島,734-744,1,4-group,571.0588235294117,71.49514563106796,499.56367789834377,51
バラエティ島,734-744,1,7-group,196.1764705882353,71.49514563106796,124.68132495716735,51
バラエティ島,734-744,2,4-group,471.80392156862746,85.45136186770428,386.35255970092317,51
バラエティ島,734-744,2,7-group,37.666666666666664,85.45136186770428,-47.784695201037614,51
バラエティ島,734-744,3,4-group,487.72549019607845,91.49320388349514,396.2322863125833,51
バラエティ島,734-744,3,7-group,108.09803921568627,91.49320388349514,16.60483533219113,51
バラエティ島,734-744,4,4-group,157.81372549019608,63.17669902912621,94.63702646106987,102
バラエティ島,734-744,4,7-group,169.0686274509804,63.17669902912621,105.89192842185417,102
バラエティ島,734-744,5,4-group,127.56862745098039,114.86407766990291,12.704549781077475,51
バラエティ島,734-744,5,7-group,460.62745098039215,114.86407766990291,345.7633733104892,51
バラエティ島,734-744,6,4-group,404.921568627451,53.37087378640777,351.5506948410432,51
バラエティ島,734-744,6,7-group,243.6078431372549,53.37087378640777,190.23696935084712,51
バラエティ島,734-744,7,4-group,595.4509803921569,111.4504854368932,484.0004949552637,51
バラエティ島,734-744,7,7-group,440.4901960784314,111.4504854368932,329.0397106415382,51
バラエティ島,734-744,8,4-group,134.11764705882354,58.49514563106796,75.62250142775557,51
バラエティ島,734-744,8,7-group,596.6274509803922,58.49514563106796,538.1323053493242,51
バラエティ島,734-744,9,4-group,170.37254901960785,-30.848543689320387,201.22109270892824,51
バラエティ島,734-744,9,7-group,173.5686274509804,-30.848543689320387,204.41717114030078,51
バラエティ島,745-755,0,4-group,252.26,6.771134020618557,245.48886597938144,50
バラエティ島,745-755,0,7-group,306.6938775510204,6.771134020618557,299.9227435304019,49
バラエティ島,745-755,1,4-group,-315.62745098039215,-95.51696606786427,-220.11048491252788,51
バラエティ島,745-755,1,7-group,183.24,-95.51696606786427,278.75696606786425,50
バラエティ島,745-755,2,4-group,749.5098039215686,107.90962671905697,641.6001772025116,51
バラエティ島,745-755,2,7-group,-187.0392156862745,107.90962671905697,-294.94884240533145,51
バラエティ島,745-755,3,4-group,-851.7450980392157,-30.376218323586745,-821.368879715629,51
バラエティ島,745-755,3,7-group,-554.5686274509804,-30.376218323586745,-524.1924091273937,51
バラエティ島,745-755,4,4-group,303.47058823529414,-109.12252964426878,412.5931178795629,51
バラエティ島,745-755,4,7-group,-89.64,-109.12252964426878,19.48252964426878,50
バラエティ島,745-755,5,4-group,150.36274509803923,-102.82048780487806,253.18323290291727,102
バラエティ島,745-755,5,7-group,88.87254901960785,-102.82048780487806,191.6930368244859,102
