island,section,last_digit,dd,dd_mean,global_mean,deviation_dd,n_records
AT島,501-522,0,1,375.6764705882353,104.17564870259481,271.5008218856405,34
AT島,501-522,0,2,-226.7058823529412,104.17564870259481,-330.881531055536,34
AT島,501-522,0,3,-22.352941176470587,104.17564870259481,-126.52858987906541,34
AT島,501-522,0,4,-69.26470588235294,104.17564870259481,-173.44035458494776,34
AT島,501-522,0,5,96.83333333333333,104.17564870259481,-7.342315369261485,36
AT島,501-522,0,6,-195.93939393939394,104.17564870259481,-300.11504264198874,33
AT島,501-522,0,7,517.8823529411765,104.17564870259481,413.70670423858166,34
AT島,501-522,0,8,-171.5151515151515,104.17564870259481,-275.6908002177463,33
AT島,501-522,0,9,-689.939393939394,104.17564870259481,-794.1150426419888,33
AT島,501-522,0,10,358.0,104.17564870259481,253.8243512974052,33
AT島,501-522,0,11,80.8529411764706,104.17564870259481,-23.32270752612422,34
AT島,501-522,0,12,-201.6875,104.17564870259481,-305.8631487025948,32
AT島,501-522,0,13,-464.125,104.17564870259481,-568.3006487025948,32
AT島,501-522,0,14,-24.323529411764707,104.17564870259481,-128.49917811435952,34
AT島,501-522,0,15,316.4193548387097,104.17564870259481,212.2437061361149,31
AT島,501-522,0,16,258.21875,104.17564870259481,154.0431012974052,32
AT島,501-522,0,17,1247.5757575757575,104.17564870259481,1143.4001088731627,33
AT島,501-522,0,18,231.6,104.17564870259481,127.42435129740518,30
AT島,501-522,0,19,-580.53125,104.17564870259481,-684.7068987025948,32
AT島,501-522,0,20,353.125,104.17564870259481,248.9493512974052,32
AT島,501-522,0,21,-109.3225806451613,104.17564870259481,-213.4982293477561,31
AT島,501-522,0,22,-158.0,104.17564870259481,-262.1756487025948,34
AT島,501-522,0,23,-289.4848484848485,104.17564870259481,-393.6604971874433,33
AT島,501-522,0,24,1507.735294117647,104.17564870259481,1403.5596454150523,34
AT島,501-522,0,25,218.96969696969697,104.17564870259481,114.79404826710216,33
AT島,501-522,0,26,-540.8823529411765,104.17564870259481,-645.0580016437713,34
AT島,501-522,0,27,585.5294117647059,104.17564870259481,481.35376306211106,34
AT島,501-522,0,28,-183.0,104.17564870259481,-287.1756487025948,33
AT島,501-522,0,29,-117.66666666666667,104.17564870259481,-221.84231536926148,30
AT島,501-522,0,30,379.85714285714283,104.17564870259481,275.68149415454803,28
AT島,501-522,0,31,1229.5,104.17564870259481,1125.3243512974052,18
AT島,501-522,1,1,-98.12,40.72007848266841,-138.84007848266842,50
AT島,501-522,1,2,-75.96078431372548,40.72007848266841,-116.6808627963939,51
AT島,501-522,1,3,12.96078431372549,40.72007848266841,-27.759294168942922,51
AT島,501-522,1,4,312.6666666666667,40.72007848266841,271.9465881839983,51
AT島,501-522,1,5,452.3703703703704,40.72007848266841,411.650291887702,54
AT島,501-522,1,6,-94.66,40.72007848266841,-135.3800784826684,50
AT島,501-522,1,7,759.4117647058823,40.72007848266841,718.6916862232139,51
AT島,501-522,1,8,-254.92156862745097,40.72007848266841,-295.6416471101194,51
AT島,501-522,1,9,-681.2857142857143,40.72007848266841,-722.0057927683828,49
AT島,501-522,1,10,122.02,40.72007848266841,81.29992151733158,50
AT島,501-522,1,11,-299.3137254901961,40.72007848266841,-340.03380397286446,51
AT島,501-522,1,12,-522.36,40.72007848266841,-563.0800784826685,50
AT島,501-522,1,13,402.6470588235294,40.72007848266841,361.92698034086095,51
AT島,501-522,1,14,1002.3333333333334,40.72007848266841,961.6132548506649,51
AT島,501-522,1,15,-71.94,40.72007848266841,-112.66007848266841,50
AT島,501-522,1,16,-346.82,40.72007848266841,-387.5400784826684,50
AT島,501-522,1,17,671.6078431372549,40.72007848266841,630.8877646545865,51
AT島,501-522,1,18,-28.15686274509804,40.72007848266841,-68.87694122776645,51
AT島,501-522,1,19,386.4313725490196,40.72007848266841,345.71129406635123,51
AT島,501-522,1,20,-312.27450980392155,40.72007848266841,-352.99458828659,51
AT島,501-522,1,21,169.36,40.72007848266841,128.6399215173316,50
AT島,501-522,1,22,108.38,40.72007848266841,67.65992151733158,50
AT島,501-522,1,23,-406.7843137254902,40.72007848266841,-447.5043922081586,51
AT島,501-522,1,24,209.23529411764707,40.72007848266841,168.51521563497866,51
AT島,501-522,1,25,-225.38,40.72007848266841,-266.10007848266844,50
AT島,501-522,1,26,-298.7647058823529,40.72007848266841,-339.48478436502137,51
AT島,501-522,1,27,165.19607843137254,40.72007848266841,124.47599994870413,51
AT島,501-522,1,28,-13.44,40.72007848266841,-54.16007848266841,50
AT島,501-522,1,29,-112.70731707317073,40.72007848266841,-153.42739555583915,41
AT島,501-522,1,30,560.0714285714286,40.72007848266841,519.3513500887601,42
AT島,501-522,1,31,-503.7037037037037,40.72007848266841,-544.4237821863721,27
AT島,501-522,2,1,-827.64,-23.576094056172437,-804.0639059438275,50
AT島,501-522,2,2,-664.3529411764706,-23.576094056172437,-640.7768471202982,51
AT島,501-522,2,3,-208.9607843137255,-23.576094056172437,-185.38469025755307,51
AT島,501-522,2,4,1313.921568627451,-23.576094056172437,1337.4976626836235,51
AT島,501-522,2,5,411.77777777777777,-23.576094056172437,435.3538718339502,54
AT島,501-522,2,6,-141.81632653061226,-23.576094056172437,-118.24023247443982,49
AT島,501-522,2,7,516.4117647058823,-23.576094056172437,539.9878587620548,51
AT島,501-522,2,8,308.9,-23.576094056172437,332.4760940561724,50
AT島,501-522,2,9,-209.86274509803923,-23.576094056172437,-186.28665104186678,51
AT島,501-522,2,10,-611.6530612244898,-23.576094056172437,-588.0769671683173,49
AT島,501-522,2,11,-384.27450980392155,-23.576094056172437,-360.6984157477491,51
AT島,501-522,2,12,-509.5686274509804,-23.576094056172437,-485.99253339480794,51
AT島,501-522,2,13,-242.78,-23.576094056172437,-219.20390594382758,50
AT島,501-522,2,14,353.70588235294116,-23.576094056172437,377.2819764091136,51
AT島,501-522,2,15,-967.5,-23.576094056172437,-943.9239059438275,50
AT島,501-522,2,16,-239.16,-23.576094056172437,-215.58390594382757,50
AT島,501-522,2,17,765.4901960784314,-23.576094056172437,789.0662901346038,51
AT島,501-522,2,18,-105.68,-23.576094056172437,-82.10390594382757,50
AT島,501-522,2,19,140.86,-23.576094056172437,164.43609405617246,50
AT島,501-522,2,20,-505.66,-23.576094056172437,-482.0839059438276,50
AT島,501-522,2,21,172.90196078431373,-23.576094056172437,196.47805484048615,51
AT島,501-522,2,22,-83.76,-23.576094056172437,-60.18390594382757,50
AT島,501-522,2,23,-413.84313725490193,-23.576094056172437,-390.2670431987295,51
AT島,501-522,2,24,1024.4313725490197,-23.576094056172437,1048.0074666051921,51
AT島,501-522,2,25,-121.47058823529412,-23.576094056172437,-97.89449417912168,51
AT島,501-522,2,26,-132.62745098039215,-23.576094056172437,-109.05135692421972,51
AT島,501-522,2,27,501.45098039215685,-23.576094056172437,525.0270744483292,51
AT島,501-522,2,28,24.64,-23.576094056172437,48.21609405617244,50
AT島,501-522,2,29,-309.77777777777777,-23.576094056172437,-286.2016837216053,45
AT島,501-522,2,30,608.952380952381,-23.576094056172437,632.5284750085534,42
AT島,501-522,2,31,-382.55555555555554,-23.576094056172437,-358.9794614993831,27
AT島,501-522,3,1,121.15151515151516,88.82381889763779,32.32769625387736,33
AT島,501-522,3,2,-377.6060606060606,88.82381889763779,-466.42987950369843,33
AT島,501-522,3,3,458.54545454545456,88.82381889763779,369.72163564781675,33
AT島,501-522,3,4,-224.26470588235293,88.82381889763779,-313.08852477999073,34
AT島,501-522,3,5,296.80555555555554,88.82381889763779,207.98173665791774,36
AT島,501-522,3,6,-0.18181818181818182,88.82381889763779,-89.00563707945598,33
AT島,501-522,3,7,-153.08823529411765,88.82381889763779,-241.91205419175543,34
AT島,501-522,3,8,-663.4242424242424,88.82381889763779,-752.2480613218802,33
AT島,501-522,3,9,-188.76470588235293,88.82381889763779,-277.58852477999073,34
AT島,501-522,3,10,267.52941176470586,88.82381889763779,178.70559286706805,34
AT島,501-522,3,11,650.25,88.82381889763779,561.4261811023622,32
AT島,501-522,3,12,-766.3529411764706,88.82381889763779,-855.1767600741084,34
AT島,501-522,3,13,1574.0,88.82381889763779,1485.1761811023623,32
AT島,501-522,3,14,-125.11764705882354,88.82381889763779,-213.94146595646134,34
AT島,501-522,3,15,0.29411764705882354,88.82381889763779,-88.52970125057897,34
AT島,501-522,3,16,326.47058823529414,88.82381889763779,237.64676933765634,34
AT島,501-522,3,17,576.4117647058823,88.82381889763779,487.5879458082445,34
AT島,501-522,3,18,-105.5,88.82381889763779,-194.3238188976378,34
AT島,501-522,3,19,1030.0882352941176,88.82381889763779,941.2644163964798,34
AT島,501-522,3,20,190.3235294117647,88.82381889763779,101.4997105141269,34
AT島,501-522,3,21,97.8529411764706,88.82381889763779,9.029122278832801,34
AT島,501-522,3,22,-74.36363636363636,88.82381889763779,-163.18745526127415,33
AT島,501-522,3,23,179.8181818181818,88.82381889763779,90.99436292054402,33
AT島,501-522,3,24,461.0,88.82381889763779,372.1761811023622,34
AT島,501-522,3,25,-686.8484848484849,88.82381889763779,-775.6723037461227,33
AT島,501-522,3,26,-55.55882352941177,88.82381889763779,-144.38264242704957,34
AT島,501-522,3,27,155.2058823529412,88.82381889763779,66.3820634553034,34
AT島,501-522,3,28,-449.1764705882353,88.82381889763779,-538.000289485873,34
AT島,501-522,3,29,-387.0689655172414,88.82381889763779,-475.8927844148792,29
AT島,501-522,3,30,1077.9642857142858,88.82381889763779,989.140466816648,28
AT島,501-522,3,31,-672.2352941176471,88.82381889763779,-761.0591130152849,17
AT島,501-522,4,1,-845.0294117647059,167.10344827586206,-1012.132860040568,34
AT島,501-522,4,2,-231.85294117647058,167.10344827586206,-398.95638945233264,34
AT島,501-522,4,3,215.0,167.10344827586206,47.896551724137936,34
AT島,501-522,4,4,-190.2058823529412,167.10344827586206,-357.30933062880325,34
AT島,501-522,4,5,950.5833333333334,167.10344827586206,783.4798850574713,36
AT島,501-522,4,6,414.6875,167.10344827586206,247.58405172413794,32
AT島,501-522,4,7,207.91176470588235,167.10344827586206,40.808316430020284,34
AT島,501-522,4,8,-247.24242424242425,167.10344827586206,-414.34587251828634,33
AT島,501-522,4,9,-569.9411764705883,167.10344827586206,-737.0446247464504,34
AT島,501-522,4,10,31.38235294117647,167.10344827586206,-135.7210953346856,34
AT島,501-522,4,11,314.20588235294116,167.10344827586206,147.1024340770791,34
AT島,501-522,4,12,-76.66666666666667,167.10344827586206,-243.77011494252872,33
AT島,501-522,4,13,-213.24242424242425,167.10344827586206,-380.34587251828634,33
AT島,501-522,4,14,441.20588235294116,167.10344827586206,274.1024340770791,34
AT島,501-522,4,15,-328.27272727272725,167.10344827586206,-495.37617554858934,33
AT島,501-522,4,16,238.05882352941177,167.10344827586206,70.9553752535497,34
AT島,501-522,4,17,852.2058823529412,167.10344827586206,685.1024340770791,34
AT島,501-522,4,18,489.030303030303,167.10344827586206,321.9268547544409,33
AT島,501-522,4,19,377.8181818181818,167.10344827586206,210.71473354231975,33
AT島,501-522,4,20,-514.6470588235294,167.10344827586206,-681.7505070993915,34
AT島,501-522,4,21,-388.57575757575756,167.10344827586206,-555.6792058516196,33
AT島,501-522,4,22,587.1212121212121,167.10344827586206,420.01776384535003,33
AT島,501-522,4,23,148.03030303030303,167.10344827586206,-19.073145245559033,33
AT島,501-522,4,24,214.11764705882354,167.10344827586206,47.01419878296147,34
