island,last_digit,n_pairs,continuation_rate,recovery_rate,baseline_diff
AT島,0,101,0.24,0.1875,-0.06
AT島,1,101,0.2777777777777778,0.4583333333333333,-0.0222222222222222
AT島,2,101,0.5128205128205128,0.20833333333333334,0.21282051282051279
AT島,3,101,0.25806451612903225,0.35294117647058826,-0.04193548387096774
AT島,4,101,0.24324324324324326,0.48,-0.05675675675675673
AT島,5,101,0.4,0.2702702702702703,0.10000000000000003
AT島,6,101,0.2692307692307692,0.28125,-0.03076923076923077
AT島,7,101,0.3333333333333333,0.28125,0.033333333333333326
AT島,8,101,0.2413793103448276,0.26666666666666666,-0.05862068965517239
AT島,9,101,0.24,0.21212121212121213,-0.06
ジャグラー島,0,101,0.3448275862068966,0.2727272727272727,0.044827586206896586
ジャグラー島,1,101,0.2647058823529412,0.3225806451612903,-0.03529411764705881
ジャグラー島,2,101,0.2,0.14814814814814814,-0.09999999999999998
ジャグラー島,3,101,0.32142857142857145,0.3,0.021428571428571463
ジャグラー島,4,101,0.4166666666666667,0.28,0.1166666666666667
ジャグラー島,5,101,0.3,0.2,0.0
ジャグラー島,6,101,0.42424242424242425,0.21428571428571427,0.12424242424242427
ジャグラー島,7,101,0.3870967741935484,0.34285714285714286,0.08709677419354839
ジャグラー島,8,101,0.3103448275862069,0.19230769230769232,0.010344827586206917
ジャグラー島,9,101,0.32142857142857145,0.25,0.021428571428571463
バラエティ島,0,101,0.3333333333333333,0.3333333333333333,0.033333333333333326
バラエティ島,1,101,0.23333333333333334,0.4827586206896552,-0.06666666666666665
バラエティ島,2,101,0.2727272727272727,0.3333333333333333,-0.027272727272727282
バラエティ島,3,101,0.15789473684210525,0.125,-0.14210526315789473
バラエティ島,4,101,0.25925925925925924,0.19047619047619047,-0.040740740740740744
バラエティ島,5,101,0.35294117647058826,0.23333333333333334,0.05294117647058827
バラエティ島,6,101,0.48148148148148145,0.25,0.18148148148148147
バラエティ島,7,101,0.34146341463414637,0.48,0.04146341463414638
バラエティ島,8,101,0.34285714285714286,0.3333333333333333,0.04285714285714287
バラエティ島,9,101,0.2222222222222222,0.4,-0.07777777777777778
