island,last_digit,dd_group_transition,n_pairs,mean_gap_days,continuation_rate
AT島,0,inter,101,4.02970297029703,0.24
AT島,1,inter,101,4.02970297029703,0.2777777777777778
AT島,2,inter,101,4.02970297029703,0.5128205128205128
AT島,3,inter,101,4.02970297029703,0.25806451612903225
AT島,4,inter,101,4.02970297029703,0.24324324324324326
AT島,5,inter,101,4.02970297029703,0.4
AT島,6,inter,101,4.02970297029703,0.2692307692307692
AT島,7,inter,101,4.02970297029703,0.3333333333333333
AT島,8,inter,101,4.02970297029703,0.2413793103448276
AT島,9,inter,101,4.02970297029703,0.24
ジャグラー島,0,inter,101,4.02970297029703,0.3448275862068966
ジャグラー島,1,inter,101,4.02970297029703,0.2647058823529412
ジャグラー島,2,inter,101,4.02970297029703,0.2
ジャグラー島,3,inter,101,4.02970297029703,0.32142857142857145
ジャグラー島,4,inter,101,4.02970297029703,0.4166666666666667
ジャグラー島,5,inter,101,4.02970297029703,0.3
ジャグラー島,6,inter,101,4.02970297029703,0.42424242424242425
ジャグラー島,7,inter,101,4.02970297029703,0.3870967741935484
ジャグラー島,8,inter,101,4.02970297029703,0.3103448275862069
ジャグラー島,9,inter,101,4.02970297029703,0.32142857142857145
バラエティ島,0,inter,101,4.02970297029703,0.3333333333333333
バラエティ島,1,inter,101,4.02970297029703,0.23333333333333334
バラエティ島,2,inter,101,4.02970297029703,0.2727272727272727
バラエティ島,3,inter,101,4.02970297029703,0.15789473684210525
バラエティ島,4,inter,101,4.02970297029703,0.25925925925925924
バラエティ島,5,inter,101,4.02970297029703,0.35294117647058826
バラエティ島,6,inter,101,4.02970297029703,0.48148148148148145
バラエティ島,7,inter,101,4.02970297029703,0.34146341463414637
バラエティ島,8,inter,101,4.02970297029703,0.34285714285714286
バラエティ島,9,inter,101,4.02970297029703,0.2222222222222222
