claim_id,hall,metric,unit,n_baseline_days,n_recent_days,recent_from,baseline,baseline_ci_lo,baseline_ci_hi,recent,recent_ci_lo,recent_ci_hi,delta,delta_ci_lo,delta_ci_hi,detect_limit,status
mitoya_jug_corner1,みとや大森町店,payout,pp,450,175,20260327,2.94,2.6554,3.1951,1.1752,0.5723,1.8472,-1.7648,-2.4169,-1.0351,0.6909,WEAKENED
mitoya_jug_corner1,みとや大森町店,rb_rate,回/1000G,450,175,20260327,0.3711,0.3375,0.4026,0.0791,0.0038,0.1589,-0.292,-0.373,-0.2061,0.0835,WEAKENED
mitoya_jug_corner1,みとや大森町店,bonus_rate,回/1000G,450,175,20260327,0.5633,0.5192,0.6024,0.1991,0.0908,0.3212,-0.3642,-0.4797,-0.2332,0.1233,WEAKENED
k7_jug_kakuban1,マルハンメガシティ2000-蒲田7,payout,pp,262,173,20260327,0.089,-0.2016,0.4281,-0.111,-0.4756,0.222,-0.2,-0.7115,0.2333,0.4724,NO_BASELINE
k7_jug_kakuban1,マルハンメガシティ2000-蒲田7,rb_rate,回/1000G,262,173,20260327,-0.0408,-0.0703,-0.0098,-0.0755,-0.1192,-0.0214,-0.0347,-0.0878,0.028,0.0579,UNDERPOWERED
k7_jug_kakuban1,マルハンメガシティ2000-蒲田7,bonus_rate,回/1000G,262,173,20260327,0.0341,-0.0095,0.0855,-0.0175,-0.0755,0.0413,-0.0517,-0.1326,0.0207,0.0766,NO_BASELINE
k7_at_kakuban1,マルハンメガシティ2000-蒲田7,payout,pp,262,173,20260327,-1.2326,-1.8431,-0.4721,-0.9079,-1.8414,0.0545,0.3247,-0.8983,1.4265,1.1624,UNDERPOWERED
rakuen_bt_edge1,楽園蒲田店,payout,pp,448,180,20260327,1.3746,0.9846,1.7884,0.644,0.1906,1.1497,-0.7306,-1.3439,-0.0956,0.6241,WEAKENED
rakuen_bt_edge1,楽園蒲田店,rb_rate,回/1000G,448,180,20260327,0.0536,0.0305,0.0826,0.0512,0.0259,0.0846,-0.0023,-0.0412,0.0388,0.04,UNDERPOWERED
rakuen_bt_edge1,楽園蒲田店,bonus_rate,回/1000G,448,180,20260327,0.1839,0.1345,0.2389,0.1444,0.1064,0.2008,-0.0395,-0.1038,0.0376,0.0707,ALIVE
