metric,spearman_rho,p_value,d0_section_hit_rate,d9_section_hit_rate,delta_pp
section_avg_hit_104_rate,0.20411709725465613,1.3226480780105903e-30,0.2828607173462479,0.38159895030048235,0.09873823295423445
section_avg_avg_payout,0.1502364736586793,3.676823900932644e-17,0.3266735675899663,0.3641012227899877,0.03742765520002139
section_avg_avg_diff,0.02041467146629539,0.2550647217024774,0.3361489111418183,0.3610945369385884,0.02494562579677012
section_avg_winsorized_diff,0.0004315906955803796,0.9808055430008764,0.3352116469999958,0.35906464471577015,0.02385299771577437
section_avg_positive_rate,-0.03871274990267538,0.030861825953327763,0.3303931790526267,0.34297447566961664,0.012581296616989923
section_avg_median_diff,-0.07670109812460267,1.8521422055351986e-05,0.3406522231210145,0.33529735245280035,-0.005354870668214162
section_avg_median_payout,-0.08729033751818344,1.0864106983133848e-06,0.3483793760723021,0.34010788019217336,-0.008271495880128765
