metric,spearman_rho,p_value,d0_hit104,d9_hit104,delta_pp
hit_104_rate,0.041751268590831066,2.2013913473431194e-15,0.2896760021965953,0.3718522663682149,0.0821762641716196
avg_payout,0.02876294551972856,4.723079495781841e-08,0.33814147018030516,0.3765260821309656,0.03838461195066045
avg_diff,0.013137518012521582,0.012627378415832814,0.339251040221914,0.359322974472808,0.020071934250893986
winsorized_diff,0.01077483290555174,0.04080233338208753,0.339251040221914,0.3595224875069406,0.02027144728502661
positive_rate,0.0034338881387362486,0.5144755663513422,0.33076287524098047,0.3427453173050042,0.011982442064023713
median_diff,-0.01067971229581797,0.04261396222952155,0.32818446384598166,0.3449672795263322,0.01678281568035056
median_payout,-0.014749941232683531,0.00510625731067219,0.3416389811738649,0.3444351928948099,0.002796211720945019
