strategy,top_k_sec,top_n_machine,total_n,hit_104_rate,baseline,lift
section_avg_hit_104_rate × hit_104_rate,5,5,1481,0.40445644834571237,0.40445644834571237,1.0
section_avg_avg_payout × avg_payout,5,5,1481,0.37474679270763,0.40445644834571237,0.9265442404006679
section_avg_avg_diff × avg_diff,5,5,1474,0.3548168249660787,0.40445644834571237,0.8772683101415067
