scope,n_pairs,hit_at_2_rate,loss_mean,loss_p50,loss_p90,loss_p95,rank2_rescue_on_miss1,rank3_rescue_on_miss12,critical_miss_rate,catastrophic_rate,catastrophic_on_critical_rate,hit_at_2_rate_delta,hit_at_2_rate_direction,loss_mean_delta,loss_mean_direction,rank2_rescue_on_miss1_delta,rank2_rescue_on_miss1_direction,critical_miss_rate_delta,critical_miss_rate_direction,catastrophic_rate_delta,catastrophic_rate_direction
current_overall,435.0,0.9885057471264368,1066.896551724138,0.0,2260.0000000000023,7500.0,0.7916666666666666,0.0,0.011494252873563218,0.02528735632183908,0.0,,,,,,,,,,
baseline_overall,435.0,0.9908045977011494,746.6666666666666,0.0,1260.0000000000023,3919.999999999982,0.8518518518518519,0.0,0.009195402298850575,0.016091954022988506,0.5,,,,,,,,,,
overall_delta,,,,,,,,,,,,-0.0022988505747125743,worsened,320.2298850574713,worsened,-0.06018518518518523,worsened,0.0022988505747126436,worsened,0.009195402298850575,worsened
