condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,6,0.6666666666666666,0.0,0.03508771929824561,3200.0,9850.0
anomaly_direction,normal,378,18,0.8333333333333334,0.0,0.007936507936507936,650.0,7250.0
difficulty_failure,hit_day,420,19,1.0,,0.0,0.0,2100.0
difficulty_failure,miss_day,15,5,0.0,0.0,0.3333333333333333,9700.0,10300.0
pred_span_quartile,Q1,108,17,0.7647058823529411,0.0,0.037037037037037035,2100.0,8200.0
pred_span_quartile,Q2,108,7,0.8571428571428571,0.0,0.009259259259259259,0.0,5800.0
pred_span_quartile,Q3,109,0,,,0.0,,
pred_span_quartile,Q4,110,0,,,0.0,,
weekday,fri_sat,126,7,0.7142857142857143,0.0,0.015873015873015872,2100.0,5400.0
weekday,mon_thu,186,9,0.8888888888888888,0.0,0.005376344086021506,0.0,0.0
weekday,sunday,63,4,0.75,0.0,0.015873015873015872,5500.0,11425.0
weekday,wednesday,60,4,0.75,0.0,0.016666666666666666,5150.0,8725.0
