experiment,target_label,source_latest_date,target_date,test_period_enabled,ceiling_status,ceiling_dir
top2_refit,is_top_2,2026-05-26,2026-05-27,True,ok,
t1_rank1,is_rank_1,2026-05-26,2026-05-27,True,ok,ml\last_digit\exploratory\kamata7_only\target_auto_explore_20260527_refresh\t1_rank1\run_xgb_ranker_ndcg_ceiling_effect
t2_top3,is_top_3,2026-05-26,2026-05-27,True,ok,ml\last_digit\exploratory\kamata7_only\target_auto_explore_20260527_refresh\t2_top3\run_xgb_ranker_ndcg_ceiling_effect
worst1,is_worst_1,2026-05-26,2026-05-27,True,skipped_worst_target,
