scope,n_pairs,hit_at_2_rate,loss_mean,loss_p50,loss_p90,loss_p95,rank2_rescue_on_miss1,rank3_rescue_on_miss12,critical_miss_rate,catastrophic_rate,catastrophic_on_critical_rate,hit_at_2_rate_delta,hit_at_2_rate_direction,loss_mean_delta,loss_mean_direction,rank2_rescue_on_miss1_delta,rank2_rescue_on_miss1_direction,critical_miss_rate_delta,critical_miss_rate_direction,catastrophic_rate_delta,catastrophic_rate_direction
current_overall,435.0,0.9770114942528736,599.080459770115,0.0,1560.0000000000023,3700.0,0.6206896551724138,0.0,0.02528735632183908,0.0022988505747126436,0.0,,,,,,,,,,
baseline_overall,435.0,0.9908045977011494,746.6666666666666,0.0,1260.0000000000023,3919.999999999982,0.8518518518518519,0.0,0.009195402298850575,0.016091954022988506,0.5,,,,,,,,,,
overall_delta,,,,,,,,,,,,-0.013793103448275779,worsened,-147.58620689655163,improved,-0.23116219667943805,worsened,0.016091954022988506,worsened,-0.013793103448275862,improved
