hall,machine_name,median_machine_count,n_days,cluster_id,count_group,centroid
蒲田7,アズールレーン THE ANIMATION,8.0,320,0,S,4.761904761904769
蒲田7,スマート沖スロ ニューキングハナハナV,8.0,91,0,S,4.761904761904769
蒲田7,スーパーリオエース2,8.0,41,0,S,4.761904761904769
蒲田7,ソードアート・オンライン,8.0,348,0,S,4.761904761904769
蒲田7,バイオハザード5,8.0,154,0,S,4.761904761904769
蒲田7,ヱヴァンゲリヲン ～約束の扉～,8.0,307,0,S,4.761904761904769
蒲田7,吉宗,8.0,237,0,S,4.761904761904769
蒲田7,新ハナビ,8.0,348,0,S,4.761904761904769
蒲田7,痛いのは嫌なので防御力に極振りしたいと思います。,8.0,348,0,S,4.761904761904769
蒲田7,範馬刃牙,8.0,82,0,S,4.761904761904769
蒲田7,革命機ヴァルヴレイヴ,8.0,312,0,S,4.761904761904769
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,9.0,348,0,S,4.761904761904769
蒲田7,わたしの幸せな結婚,9.0,63,0,S,4.761904761904769
蒲田7,ジャグラーガールズ,9.0,348,0,S,4.761904761904769
蒲田7,ダーリン・イン・ザ・フランキス,10.0,181,0,S,4.761904761904769
蒲田7,ディスクアップ ULTRAREMIX,10.0,348,0,S,4.761904761904769
蒲田7,デビル メイ クライ5 スタイリッシュトライブ,10.0,167,0,S,4.761904761904769
蒲田7,ハッピージャグラーVIII,10.0,348,0,S,4.761904761904769
蒲田7,転生したら剣でした,10.0,64,0,S,4.761904761904769
蒲田7,いざ！番長,12.0,348,2,M,17.636363636363637
蒲田7,スマスロ炎炎ノ消防隊2,12.0,139,2,M,17.636363636363637
蒲田7,ソードアート・オンラインII,12.0,14,2,M,17.636363636363637
蒲田7,スーパーブラックジャック,13.0,348,2,M,17.636363636363637
蒲田7,戦国乙女4 戦乱に閃く炯眼の軍師,14.0,348,2,M,17.636363636363637
蒲田7,機動戦士ガンダムユニコーン 覚醒DRIVE,14.0,48,2,M,17.636363636363637
蒲田7,沖ドキ!ゴージャス 30Φ,14.0,167,2,M,17.636363636363637
蒲田7,化物語,15.0,194,2,M,17.636363636363637
蒲田7,真打 吉宗,15.0,76,2,M,17.636363636363637
蒲田7,キングハナハナ-30,16.0,348,2,M,17.636363636363637
蒲田7,バイオハザード RE:3,16.0,41,2,M,17.636363636363637
蒲田7,モンスターハンターライズ,16.0,348,2,M,17.636363636363637
蒲田7,ゴッドイーター リザレクション,17.0,348,2,M,17.636363636363637
蒲田7,新鬼武者3,17.0,256,2,M,17.636363636363637
蒲田7,鉄拳6,18.0,126,2,M,17.636363636363637
蒲田7,沖ドキ!DUO アンコール,21.0,181,2,M,17.636363636363637
蒲田7,ゴーゴージャグラー3,23.0,348,2,M,17.636363636363637
蒲田7,ファンキージャグラー2,24.0,348,2,M,17.636363636363637
蒲田7,戦国乙女5 業火を穿つ宿焔の双刃,24.0,14,2,M,17.636363636363637
蒲田7,東京リベンジャーズ,24.0,285,2,M,17.636363636363637
蒲田7,ミリオンゴッド‐神々の軌跡‐,25.0,62,2,M,17.636363636363637
蒲田7,北斗の拳 転生の章2,26.0,167,2,M,17.636363636363637
蒲田7,からくりサーカス,28.0,348,1,L,38.18181818181819
蒲田7,かぐや様は告らせたい,30.0,348,1,L,38.18181818181819
蒲田7,革命機ヴァルヴレイヴ2,30.0,228,1,L,38.18181818181819
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,34.0,111,1,L,38.18181818181819
蒲田7,ネオアイムジャグラーEX,37.0,285,1,L,38.18181818181819
蒲田7,アイムジャグラーEX-TP,38.0,181,1,L,38.18181818181819
蒲田7,スマスロ北斗の拳,41.0,348,1,L,38.18181818181819
蒲田7,東京喰種,41.0,348,1,L,38.18181818181819
蒲田7,マギアレコード 魔法少女まどか☆マギカ外伝,42.0,348,1,L,38.18181818181819
蒲田7,モンキーターンV,42.0,348,1,L,38.18181818181819
蒲田7,マイジャグラーV,57.0,348,1,L,38.18181818181819
