hall,machine_name,median_machine_count,n_days,cluster_id,count_group,centroid
蒲田7,とある魔術の禁書目録,1.0,105,0,S,4.761904761904769
蒲田7,マジカルハロウィン8,1.0,339,0,S,4.761904761904769
蒲田7,戦国†恋姫,1.0,195,0,S,4.761904761904769
蒲田7,防空少女ラブキューレ2～極限の共鳴～,1.0,148,0,S,4.761904761904769
蒲田7,麻雀格闘倶楽部 覚醒,1.0,78,0,S,4.761904761904769
蒲田7,この素晴らしい世界に祝福を！,2.0,348,0,S,4.761904761904769
蒲田7,アクダマドライブ,2.0,62,0,S,4.761904761904769
蒲田7,グランベルム,2.0,271,0,S,4.761904761904769
蒲田7,スマスロ ドルアーガの塔,2.0,41,0,S,4.761904761904769
蒲田7,ディスクアップ2,2.0,348,0,S,4.761904761904769
蒲田7,ドッチ,2.0,62,0,S,4.761904761904769
蒲田7,バイオハザード RE:2,2.0,92,0,S,4.761904761904769
蒲田7,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2.0,348,0,S,4.761904761904769
蒲田7,バンドリ！,2.0,348,0,S,4.761904761904769
蒲田7,バーニングエクスプレス,2.0,55,0,S,4.761904761904769
蒲田7,ラブ嬢3～Wご指名はいかがですか?～,2.0,63,0,S,4.761904761904769
蒲田7,ルパン三世 大航海者の秘宝,2.0,15,0,S,4.761904761904769
蒲田7,回胴黙示録カイジ 狂宴,2.0,63,0,S,4.761904761904769
蒲田7,押忍!番長ZERO,2.0,92,0,S,4.761904761904769
蒲田7,真・一騎当千,2.0,153,0,S,4.761904761904769
蒲田7,銀河英雄伝説 Die Neue These,2.0,83,0,S,4.761904761904769
蒲田7,A‐SLOT+ 異世界かるてっと,3.0,76,0,S,4.761904761904769
蒲田7,ガールズ&パンツァー 最終章,3.0,347,0,S,4.761904761904769
蒲田7,クランキークレスト,3.0,154,0,S,4.761904761904769
蒲田7,シャーマンキング,3.0,348,0,S,4.761904761904769
蒲田7,ゾンビランドサガ,3.0,348,0,S,4.761904761904769
蒲田7,ハイパーラッシュ,3.0,120,0,S,4.761904761904769
蒲田7,バベル,3.0,12,0,S,4.761904761904769
蒲田7,プリズムナナ,3.0,194,0,S,4.761904761904769
蒲田7,マジカルハロウィン ボーナストリガー,3.0,103,0,S,4.761904761904769
蒲田7,不二子BT,3.0,181,0,S,4.761904761904769
蒲田7,攻殻機動隊,3.0,139,0,S,4.761904761904769
蒲田7,翔べ！ハーレムエース,3.0,77,0,S,4.761904761904769
蒲田7,SHAKE BONUS TRIGGER,4.0,244,0,S,4.761904761904769
蒲田7,アレックス ブライト,4.0,348,0,S,4.761904761904769
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,4.0,243,0,S,4.761904761904769
蒲田7,スマスロ サンダーV,4.0,111,0,S,4.761904761904769
蒲田7,スマスロ炎炎ノ消防隊,4.0,272,0,S,4.761904761904769
蒲田7,タクトオーパス デスティニー,4.0,41,0,S,4.761904761904769
蒲田7,バーサスリヴァイズ,4.0,348,0,S,4.761904761904769
蒲田7,マタドールIII,4.0,35,0,S,4.761904761904769
蒲田7,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,4.0,348,0,S,4.761904761904769
蒲田7,押忍！番長4,4.0,92,0,S,4.761904761904769
蒲田7,絶対衝激IV,4.0,47,0,S,4.761904761904769
蒲田7,荒野のコトブキ飛行隊,4.0,30,0,S,4.761904761904769
蒲田7,麻雀物語,4.0,104,0,S,4.761904761904769
蒲田7,BIRDIE WING ‐Golf Girls' Story‐,5.0,14,0,S,4.761904761904769
蒲田7,とある科学の超電磁砲2,5.0,187,0,S,4.761904761904769
蒲田7,ウルトラミラクルジャグラー,5.0,348,0,S,4.761904761904769
蒲田7,スマスロ ハナビ,5.0,139,0,S,4.761904761904769
蒲田7,ネオプラネット,5.0,77,0,S,4.761904761904769
蒲田7,ヨルムンガンド,5.0,68,0,S,4.761904761904769
蒲田7,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,5.0,348,0,S,4.761904761904769
蒲田7,虚構推理,5.0,76,0,S,4.761904761904769
蒲田7,スマスロ秘宝伝,6.0,119,0,S,4.761904761904769
蒲田7,ミスタージャグラー,6.0,348,0,S,4.761904761904769
蒲田7,七つの魔剣が支配する,6.0,348,0,S,4.761904761904769
蒲田7,主役は銭形5,6.0,194,0,S,4.761904761904769
蒲田7,咲‐Saki‐ 頂上決戦,6.0,126,0,S,4.761904761904769
蒲田7,無職転生 ～異世界行ったら本気だす～,6.0,181,0,S,4.761904761904769
蒲田7,甲鉄城のカバネリ,6.0,348,0,S,4.761904761904769
蒲田7,うみねこのなく頃に2,7.0,139,0,S,4.761904761904769
蒲田7,ゴブリンスレイヤーII,7.0,76,0,S,4.761904761904769
蒲田7,ハイビリターン‐30,7.0,28,0,S,4.761904761904769
蒲田7,ビッグドリーム THE GOLDEN PUSHER,7.0,41,0,S,4.761904761904769
