rank,last_digit,combined_score
1,7,3.3000000000000003
2,9,2.7
3,5,2.6
4,4,2.4000000000000004
5,3,2.1
6,6,2.0
7,0,1.8000000000000003
8,8,1.8
9,1,1.7000000000000002
10,2,1.6
