rank,last_digit,combined_score
1,4,2.7
2,5,2.3
3,2,2.1999999999999997
4,9,1.7
5,8,1.6
6,7,1.3
7,1,1.3
8,0,1.2999999999999998
9,3,1.1
10,6,1.0
