rank,last_digit,combined_score
1,6,2.0
2,7,1.9
3,5,1.8
4,1,1.8
5,2,1.8
6,8,1.7999999999999998
7,4,1.7999999999999998
8,0,1.7999999999999998
9,9,1.0
10,3,0.8
