month,expert,precision,recall,f1,hit_at_2,hit_at_3,n_days
2026-05,2F_N,0.75,0.75,0.75,1.0,1.0,2
2026-05,3F_A,0.5,0.5,0.5,1.0,1.0,2
2026-05,3F_N,1.0,1.0,1.0,1.0,1.0,2
