component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2545,0.185,0.3984,0.0078,0.02,0.5134,0.2582,0.3235,0.2211
c2,0.2545,1.0,0.0358,0.0817,-0.02,-0.0009,0.1301,0.063,0.0865,0.0838
c3,0.185,0.0358,1.0,0.0824,0.0046,0.0085,0.0993,0.0432,0.0678,0.0346
c4,0.3984,0.0817,0.0824,1.0,0.0033,0.0176,0.2085,0.1074,0.1411,0.0783
c5,0.0078,-0.02,0.0046,0.0033,1.0,-0.0117,0.0591,-0.0539,0.0512,-0.0554
c6,0.02,-0.0009,0.0085,0.0176,-0.0117,1.0,0.0067,0.0063,-0.0032,0.0151
hist_diff,0.5134,0.1301,0.0993,0.2085,0.0591,0.0067,1.0,0.6203,0.5879,0.5458
hist_payout,0.2582,0.063,0.0432,0.1074,-0.0539,0.0063,0.6203,1.0,0.468,0.7079
hist_winrate,0.3235,0.0865,0.0678,0.1411,0.0512,-0.0032,0.5879,0.468,1.0,0.5284
hist_hit_an,0.2211,0.0838,0.0346,0.0783,-0.0554,0.0151,0.5458,0.7079,0.5284,1.0
