index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,test_date,variant,window,event_type
0,2F_L_N,136.0,173.0421686746988,34.0,95.84233358348055,-37.042168674698786,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,2025-10-06,v6a_hit_an,90,non_event
1,2F_R_N,310.0,159.93975903614458,38.0,99.70856971300445,150.06024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,2025-10-06,v6a_hit_an,90,non_event
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633304,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,2025-10-06,v6a_hit_an,90,non_event
4,3F_R_A,-84.0,189.60843373493975,40.0,94.62180733105679,-273.60843373493975,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
5,3F_R_N,-234.0,200.90361445783134,36.0,92.89089015795176,-434.90361445783134,0.0,0.0,0.0,0.0,4.0,1.1424,2025-10-06,v6a_hit_an,90,non_event
0,2F_L_N,216.0,167.01807228915663,38.0,97.11720074716546,48.981927710843365,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,2025-10-06,v8_dynamic,90,non_event
1,2F_R_N,430.0,150.90361445783134,44.0,102.00250706436093,279.09638554216866,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,2025-10-06,v8_dynamic,90,non_event
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v8_dynamic,90,non_event
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633304,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,2025-10-06,v8_dynamic,90,non_event
4,3F_R_A,84.0,176.9578313253012,46.0,95.7349111213846,-92.95783132530121,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v8_dynamic,90,non_event
5,3F_R_N,-32.0,185.69277108433735,38.0,94.82703910993419,-217.69277108433735,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,2025-10-06,v8_dynamic,90,non_event
0,2F_L_N,564.0,148.34337349397592,42.0,103.3461884096375,415.65662650602405,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,2025-10-07,v6a_hit_an,90,event
1,2F_R_N,-550.0,232.2289156626506,38.0,96.36242850294762,-782.2289156626506,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v6a_hit_an,90,event
2,3F_L_A,160.0,178.76506024096386,46.0,98.7985250331877,-18.765060240963862,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,v6a_hit_an,90,event
3,3F_L_N,-138.0,201.20481927710844,38.0,100.33105732889214,-339.2048192771084,0.0,0.0,1.0,0.7140000000000001,7.0,1.9992,2025-10-07,v6a_hit_an,90,event
4,3F_R_A,568.0,148.0421686746988,60.0,101.16943010347293,419.9578313253012,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v6a_hit_an,90,event
5,3F_R_N,-206.0,206.32530120481928,30.0,98.84449435373,-412.3253012048193,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,2025-10-07,v6a_hit_an,90,event
0,2F_L_N,654.0,141.56626506024097,44.0,104.0201706909965,512.433734939759,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,2025-10-07,v8_dynamic,90,event
1,2F_R_N,-250.0,209.63855421686748,42.0,98.27131915546497,-459.6385542168675,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v8_dynamic,90,event
2,3F_L_A,58.0,186.44578313253012,44.0,98.27816010934042,-128.44578313253012,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,v8_dynamic,90,event
3,3F_L_N,-32.0,193.22289156626505,38.0,101.35350719283127,-225.22289156626505,0.0,0.0,1.0,0.7140000000000001,7.0,1.9992,2025-10-07,v8_dynamic,90,event
