date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,payout_rate,hit_104,kakuban_raw,kakuban_group_label,kakuban_group,kakuban_edge,hist_metric,hist_n,hist_diff,trail_7d_hit,trail_7d_diff,trail_14d_hit,trail_14d_diff,trail_diff_7d,debut_date,debut_days,pre_existing,debut_phase_label,debut_phase,debut_score,kakuban_score,trail_7d_score,trail_14d_score,momentum,momentum_score,kakuban_raw_rank_score,debut_rank_score,trail_rank_score,momentum_rank_score,target_date,section_rank,section_score,section_hist_coverage,section_selected
20260428,2024,モンキーターンV,4,0,2696,-200,2026-04-28,2F,2023-2031,2023,2031,2,8,9,small,R,2,8,N,97.52720079129574,False,8,K5-9,4,0,0.4489795918367347,49,1022.4489795918367,0.5,1500.0,0.45454545454545453,1163.6363636363637,1500.0,2025-07-08,294,True,pre_existing,5,0.0,0.75,0.5,0.45454545454545453,0.05102040816326531,0.625,0.4,0.6,0.5,0.4,2026-04-28,1,0.4465164154601845,1.0,True
20260428,2025,モンキーターンV,5,0,3068,8000,2026-04-28,2F,2023-2031,2023,2031,3,7,9,small,R,3,7,N,186.9187309865276,True,7,K5-9,4,0,0.4594594594594595,37,881.081081081081,0.75,2775.0,0.75,2475.0,2775.0,2025-07-08,294,True,pre_existing,5,0.0,0.5,0.75,0.75,0.2905405405405405,0.9791666666666666,0.7,0.6,0.2,0.2,2026-04-28,1,0.4465164154601845,1.0,True
20260428,2028,モンキーターンV,8,0,1556,-1200,2026-04-28,2F,2023-2031,2023,2031,6,4,9,small,L,6,4,N,74.293059125964,False,4,K3-4,3,0,0.37777777777777777,45,902.2222222222222,0.2,120.0,0.1111111111111111,-477.77777777777777,120.0,2025-07-08,294,True,pre_existing,5,0.0,0.25,0.2,0.1111111111111111,-0.17777777777777776,0.1875,1.0,0.6,1.0,1.0,2026-04-28,1,0.4465164154601845,1.0,True
20260428,2029,モンキーターンV,9,0,3827,5200,2026-04-28,2F,2023-2031,2023,2031,7,3,9,small,L,7,3,N,145.29222193188747,True,3,K3-4,3,0,0.425531914893617,47,882.9787234042553,0.25,1600.0,0.2222222222222222,0.0,1600.0,2025-07-08,294,True,pre_existing,5,0.0,0.5,0.25,0.2222222222222222,-0.17553191489361702,0.22916666666666666,0.7,0.6,0.8,0.8,2026-04-28,1,0.4465164154601845,1.0,True
20260428,2031,モンキーターンV,1,0,1671,-1000,2026-04-28,2F,2023-2031,2023,2031,9,1,9,small,L,9,1,N,80.05186515060842,False,1,K1,1,1,0.5208333333333334,48,900.0,0.5,650.0,0.5714285714285714,585.7142857142857,650.0,2025-07-08,294,True,pre_existing,5,0.0,1.0,0.5,0.5714285714285714,-0.02083333333333337,0.5104166666666666,0.2,0.6,0.5,0.6,2026-04-28,1,0.4465164154601845,1.0,True
20260428,2130,甲鉄城のカバネリ,0,0,2769,800,2026-04-28,2F,2129-2142,2129,2142,2,13,14,medium,L,2,2,N,109.63043216564343,True,2,K2,2,0,0.5238095238095238,42,1057.142857142857,0.6,1520.0,0.625,1562.5,1520.0,2025-07-08,294,True,pre_existing,5,0.0,0.8461538461538461,0.6,0.625,0.07619047619047614,0.6666666666666666,0.2,0.55,0.1,0.2,2026-04-28,4,0.39543286500967756,1.0,True
20260428,2132,甲鉄城のカバネリ,2,0,1917,-300,2026-04-28,2F,2129-2142,2129,2142,4,11,14,medium,L,4,4,N,94.78351591027648,False,4,K3-4,3,0,0.43478260869565216,46,519.5652173913044,0.4,-300.0,0.2727272727272727,-254.54545454545453,-300.0,2025-07-08,294,True,pre_existing,5,0.0,0.5384615384615384,0.4,0.2727272727272727,-0.03478260869565214,0.4375,0.45,0.55,0.4,0.5,2026-04-28,4,0.39543286500967756,1.0,True
20260428,2134,甲鉄城のカバネリ,4,0,3130,2900,2026-04-28,2F,2129-2142,2129,2142,6,9,14,medium,L,6,6,N,130.8839190628328,True,6,K5-9,4,0,0.5306122448979592,49,497.9591836734694,0.42857142857142855,228.57142857142858,0.46153846153846156,-76.92307692307692,228.57142857142858,2025-08-04,267,True,pre_existing,5,0.0,0.23076923076923073,0.42857142857142855,0.46153846153846156,-0.10204081632653067,0.375,0.75,0.55,0.25,0.7,2026-04-28,4,0.39543286500967756,1.0,True
20260428,2135,痛いのは嫌なので防御力に極振りしたいと思います。,5,0,5899,5500,2026-04-28,2F,2129-2142,2129,2142,7,8,14,medium,L,7,7,N,131.0787139063118,True,7,K5-9,4,0,0.3584905660377358,53,232.0754716981132,0.2,0.0,0.3333333333333333,175.0,0.0,2025-07-08,294,True,pre_existing,5,0.0,0.07692307692307687,0.2,0.3333333333333333,-0.1584905660377358,0.2708333333333333,0.95,0.55,0.9,0.9,2026-04-28,4,0.39543286500967756,1.0,True
20260428,2136,痛いのは嫌なので防御力に極振りしたいと思います。,6,0,4313,3400,2026-04-28,2F,2129-2142,2129,2142,8,7,14,medium,R,8,8,N,126.27714661102094,True,8,K5-9,4,0,0.38,50,464.0,0.3333333333333333,166.66666666666666,0.25,-33.333333333333336,166.66666666666666,2025-07-08,294,True,pre_existing,5,0.0,0.07692307692307687,0.3333333333333333,0.25,-0.04666666666666669,0.4166666666666667,0.95,0.55,0.6,0.6,2026-04-28,4,0.39543286500967756,1.0,True
