target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_rank_1,0.027777777777777776,1.0,0.05405405405405406,0.0,0.0,0.0,0.0,36,0.0136986301369863,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.017241379310344827,0.5,0.03333333333333333,0.0,0.0,0.0,1.0,58,0.0273972602739726,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.0410958904109589,1.0,0.07894736842105263,1.0,1.0,1.0,1.0,73,0.0410958904109589,2026-04-21,2026-04,Tuesday,0,0.0,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.07042253521126761,1.0,0.13157894736842107,0.0,0.0,1.0,1.0,71,0.0684931506849315,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.014084507042253521,1.0,0.02777777777777778,0.0,0.0,0.0,0.0,71,0.0136986301369863,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.058823529411764705,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,34,0.0273972602739726,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.05263157894736842,0.6666666666666666,0.09756097560975609,0.0,0.0,0.0,0.0,38,0.0410958904109589,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.0684931506849315,1.0,0.1282051282051282,0.0,0.0,0.0,0.0,73,0.0684931506849315,2026-04-22,2026-04,Wednesday,0,0.0,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.037037037037037035,1.0,0.07142857142857142,1.0,1.0,1.0,1.0,27,0.0136986301369863,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.06451612903225806,1.0,0.12121212121212122,1.0,1.0,1.0,1.0,31,0.0273972602739726,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.046511627906976744,0.6666666666666666,0.08695652173913045,0.0,0.0,1.0,1.0,43,0.0410958904109589,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.09302325581395349,0.8,0.16666666666666666,1.0,1.0,1.0,1.0,43,0.0684931506849315,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.02127659574468085,1.0,0.04166666666666667,0.0,0.0,0.0,0.0,47,0.0136986301369863,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.043478260869565216,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,46,0.0273972602739726,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.058823529411764705,1.0,0.1111111111111111,0.0,1.0,1.0,1.0,51,0.0410958904109589,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.125,0.6,0.20689655172413793,0.0,0.0,1.0,1.0,24,0.0684931506849315,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.0136986301369863,1.0,0.027027027027027025,0.0,0.0,0.0,0.0,73,0.0136986301369863,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0273972602739726,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,15,0.0410958904109589,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.1111111111111111,0.6,0.18750000000000003,0.0,0.0,0.0,1.0,27,0.0684931506849315,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0136986301369863,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,0.0,48,0.0273972602739726,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.06060606060606061,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,1.0,33,0.0410958904109589,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.044444444444444446,0.4,0.07999999999999999,0.0,0.0,0.0,0.0,45,0.0684931506849315,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
