target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_top_3,0.05454545454545454,1.0,0.10344827586206896,1.0,1.0,1.0,1.0,55,0.041666666666666664,2026-04-27,2026-04,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.1,0.6,0.17142857142857143,0.0,0.0,1.0,1.0,30,0.06944444444444445,2026-04-27,2026-04,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.01639344262295082,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,61,0.013888888888888888,2026-04-28,2026-04,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.02702702702702703,0.5,0.05128205128205129,0.0,0.0,0.0,1.0,37,0.027777777777777776,2026-04-28,2026-04,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.0392156862745098,0.6666666666666666,0.07407407407407407,0.0,0.0,0.0,1.0,51,0.041666666666666664,2026-04-28,2026-04,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08571428571428572,0.6,0.15,0.0,0.0,0.0,0.0,35,0.06944444444444445,2026-04-28,2026-04,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.07692307692307693,1.0,0.14285714285714288,0.0,0.0,0.0,0.0,13,0.013888888888888888,2026-04-29,2026-04,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.02702702702702703,0.5,0.05128205128205129,0.0,0.0,0.0,0.0,37,0.027777777777777776,2026-04-29,2026-04,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,1.0,72,0.041666666666666664,2026-04-29,2026-04,Wednesday,0,0.0,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0,1.0,1.0,72,0.06944444444444445,2026-04-29,2026-04,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.027777777777777776,1.0,0.05405405405405406,0.0,0.0,0.0,0.0,36,0.013888888888888888,2026-04-30,2026-04,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.027777777777777776,1.0,0.05405405405405406,0.0,0.0,0.0,0.0,72,0.027777777777777776,2026-04-30,2026-04,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.046153846153846156,1.0,0.08823529411764706,0.0,0.0,0.0,0.0,65,0.041666666666666664,2026-04-30,2026-04,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.0847457627118644,1.0,0.15625,0.0,0.0,0.0,1.0,59,0.06944444444444445,2026-04-30,2026-04,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
