target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_top_5,0.16666666666666666,0.2,0.1818181818181818,1.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-13,2026-05,Wednesday,0,0.15602122247219086,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.013888888888888888,2026-05-14,2026-05,Thursday,1,0.09057953208684921,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.027777777777777776,2026-05-14,2026-05,Thursday,1,0.09963285177946091,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.25,0.3333333333333333,0.28571428571428575,1.0,1.0,1.0,1.0,4,0.041666666666666664,2026-05-14,2026-05,Thursday,1,0.11105236411094666,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.16666666666666666,0.2,0.1818181818181818,0.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-14,2026-05,Thursday,1,0.14136195182800293,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.013888888888888888,2026-05-15,2026-05,Friday,0,0.0793030709028244,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.2,0.5,0.28571428571428575,0.0,1.0,1.0,1.0,5,0.027777777777777776,2026-05-15,2026-05,Friday,0,0.0966750979423523,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.041666666666666664,2026-05-15,2026-05,Friday,0,0.11054541915655136,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.06944444444444445,2026-05-15,2026-05,Friday,0,0.1547684222459793,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-16,2026-05,Saturday,0,0.08416687697172165,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-16,2026-05,Saturday,0,0.09088060259819031,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.041666666666666664,2026-05-16,2026-05,Saturday,0,0.1110624447464943,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-05-16,2026-05,Saturday,0,0.15584082901477814,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.013888888888888888,2026-05-17,2026-05,Sunday,0,0.08206772059202194,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-17,2026-05,Sunday,0,0.10081524401903152,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.125,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,8,0.041666666666666664,2026-05-17,2026-05,Sunday,0,0.1096075177192688,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.125,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,8,0.06944444444444445,2026-05-17,2026-05,Sunday,0,0.14440372586250305,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.013888888888888888,2026-05-18,2026-05,Monday,0,0.08239137381315231,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.027777777777777776,2026-05-18,2026-05,Monday,0,0.09299025684595108,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.041666666666666664,2026-05-18,2026-05,Monday,0,0.11133918911218643,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.16666666666666666,0.2,0.1818181818181818,0.0,0.0,0.0,1.0,6,0.06944444444444445,2026-05-18,2026-05,Monday,0,0.15476177632808685,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.013888888888888888,2026-05-19,2026-05,Tuesday,0,0.08440601080656052,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.027777777777777776,2026-05-19,2026-05,Tuesday,0,0.09623103588819504,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.25,0.3333333333333333,0.28571428571428575,1.0,1.0,1.0,1.0,4,0.041666666666666664,2026-05-19,2026-05,Tuesday,0,0.1113869920372963,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.2222222222222222,0.4,0.2857142857142857,0.0,0.0,0.0,1.0,9,0.06944444444444445,2026-05-19,2026-05,Tuesday,0,0.15294241905212402,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-20,2026-05,Wednesday,0,0.07912077754735947,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-20,2026-05,Wednesday,0,0.09745634347200394,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-20,2026-05,Wednesday,0,0.11564338207244873,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-20,2026-05,Wednesday,0,0.15357299149036407,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
