month,target,is_thursday,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,n_days,backend_used,segment_mode,segment_models_used,segment_prediction_rows
2026-04,is_rank_1,0,0.016811615566037736,0.5,0.032086894586894586,0.0,0.125,0.125,0.125,27.375,0.01376997716894977,72.625,72.625,0.0,1.0,0.0,8,cpu,global,0.0,0.0
2026-04,is_rank_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.013793759512937594,72.5,72.5,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-04,is_top_2,0,0.04293968485665094,0.625,0.07362357308514804,0.0,0.125,0.25,0.25,37.875,0.02753995433789954,72.625,72.625,0.0,1.0,0.0,8,cpu,global,0.0,0.0
2026-04,is_top_2,1,0.04311039484286865,1.0,0.08222222222222221,0.0,0.0,0.0,0.0,53.5,0.02758751902587519,72.5,72.5,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-04,is_top_3,0,0.04279775146213502,0.7916666666666666,0.08051274250856111,0.0,0.0,0.125,0.125,52.875,0.041309931506849314,72.625,72.625,0.0,1.0,0.0,8,cpu,global,0.0,0.0
2026-04,is_top_3,1,0.05084033613445378,0.6666666666666666,0.0910958904109589,0.0,0.0,0.0,0.5,43.5,0.04138127853881278,72.5,72.5,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-04,is_top_5,0,0.05946018403210184,0.75,0.10831383864145652,0.125,0.25,0.375,0.375,56.0,0.06884988584474885,72.625,72.625,0.0,1.0,0.0,8,cpu,global,0.0,0.0
2026-04,is_top_5,1,0.07148692810457516,1.0,0.13342821561999646,0.0,0.5,0.5,0.5,70.0,0.06896879756468798,72.5,72.5,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-05,is_rank_1,0,0.0064897337112030905,0.4444444444444444,0.01279229042301457,0.0,0.0,0.0,0.0,34.0,0.013934277414669571,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,global,0.0,0.0
2026-05,is_rank_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,72.0,72.0,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-05,is_top_2,0,0.03185960829022413,0.7222222222222222,0.05976549251702967,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,46.05555555555556,0.027868554829339143,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,global,0.0,0.0
2026-05,is_top_2,1,0.03464755077658303,0.75,0.06573275862068965,0.0,0.0,0.5,0.5,44.5,0.027777777777777776,72.0,72.0,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-05,is_top_3,0,0.03095855799467982,0.5185185185185186,0.056402017287761765,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,37.666666666666664,0.041802832244008714,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,global,0.0,0.0
2026-05,is_top_3,1,0.02830188679245283,0.5,0.053571428571428575,0.0,0.0,0.0,0.0,30.5,0.041666666666666664,72.0,72.0,0.0,1.0,0.0,2,cpu,global,0.0,0.0
2026-05,is_top_5,0,0.07647309291023278,0.7777777777777778,0.13019113164502444,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.2777777777777778,52.666666666666664,0.06967138707334786,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,global,0.0,0.0
2026-05,is_top_5,1,0.06944444444444445,1.0,0.12987012987012989,1.0,1.0,1.0,1.0,72.0,0.06944444444444445,72.0,72.0,0.0,1.0,0.0,2,cpu,global,0.0,0.0
