candidate,feature_count,tune_score,tune_mean_hit_at_3,tune_mean_f1
all,72,0.1809654432605483,0.23333333333333334,0.10241360815137082
top30_plus_forced,40,0.1798826898368677,0.23333333333333334,0.09970672459216928
top30,30,0.16015457710875497,0.2,0.10038644277188746
top20,20,0.15800962462153456,0.2,0.09502406155383644
top40,40,0.14151734636198793,0.16666666666666666,0.10379336590496988
