target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,skip_rate
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.013888888888888888,2026-04-30,2026-04,Thursday,1,0.8147339379595396,72,0.0
is_top_2,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,4,0.027777777777777776,2026-04-30,2026-04,Thursday,1,0.8175681309850323,72,0.0
is_top_3,0.375,1.0,0.5454545454545454,1.0,1.0,1.0,1.0,8,0.041666666666666664,2026-04-30,2026-04,Thursday,1,0.8040068827919735,72,0.0
is_top_5,0.36363636363636365,0.8,0.5000000000000001,1.0,1.0,1.0,1.0,11,0.06944444444444445,2026-04-30,2026-04,Thursday,1,0.7832547674686676,72,0.0
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-01,2026-05,Friday,0,0.8222978163957717,72,0.0
is_top_2,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,1.0,3,0.027777777777777776,2026-05-01,2026-05,Friday,0,0.7933738306352585,72,0.0
is_top_3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,1.0,5,0.041666666666666664,2026-05-01,2026-05,Friday,0,0.8151270069939132,72,0.0
is_top_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.06944444444444445,2026-05-01,2026-05,Friday,0,0.7919620589020984,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-02,2026-05,Saturday,0,0.8162409354345658,72,0.0
is_top_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.027777777777777776,2026-05-02,2026-05,Saturday,0,0.8287989109620206,72,0.0
is_top_3,0.75,1.0,0.8571428571428571,0.0,1.0,1.0,1.0,4,0.041666666666666664,2026-05-02,2026-05,Saturday,0,0.8225844229028979,72,0.0
is_top_5,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-02,2026-05,Saturday,0,0.8227561865472502,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-03,2026-05,Sunday,0,0.8203593188434725,72,0.0
is_top_2,0.5,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,4,0.027777777777777776,2026-05-03,2026-05,Sunday,0,0.8152490903292289,72,0.0
is_top_3,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,4,0.041666666666666664,2026-05-03,2026-05,Sunday,0,0.8258987648142098,72,0.0
is_top_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.06944444444444445,2026-05-03,2026-05,Sunday,0,0.7762898174527572,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-04,2026-05,Monday,0,0.8309166524396646,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-04,2026-05,Monday,0,0.8150126443818254,72,0.0
is_top_3,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1,0.041666666666666664,2026-05-04,2026-05,Monday,0,0.8270262053007164,72,0.0
is_top_5,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-04,2026-05,Monday,0,0.8022886947415602,72,0.0
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-05,2026-05,Tuesday,0,0.7891783734946143,72,0.0
is_top_2,0.3333333333333333,0.5,0.4,1.0,1.0,1.0,1.0,3,0.027777777777777776,2026-05-05,2026-05,Tuesday,0,0.8391669706780451,72,0.0
is_top_3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,1.0,5,0.041666666666666664,2026-05-05,2026-05,Tuesday,0,0.8073268678726822,72,0.0
is_top_5,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-05,2026-05,Tuesday,0,0.8156119524701569,72,0.0
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-06,2026-05,Wednesday,0,0.8041494062262179,72,0.0
is_top_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.027777777777777776,2026-05-06,2026-05,Wednesday,0,0.815314195440742,72,0.0
is_top_3,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1,0.041666666666666664,2026-05-06,2026-05,Wednesday,0,0.8185467759615126,72,0.0
is_top_5,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,4,0.06944444444444445,2026-05-06,2026-05,Wednesday,0,0.7901371330983857,72,0.0
is_rank_1,0.5,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,2,0.013888888888888888,2026-05-07,2026-05,Thursday,1,0.7834689042560216,72,0.0
is_top_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.027777777777777776,2026-05-07,2026-05,Thursday,1,0.8321831619200262,72,0.0
is_top_3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,1.0,5,0.041666666666666664,2026-05-07,2026-05,Thursday,1,0.7948805231525088,72,0.0
is_top_5,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-07,2026-05,Thursday,1,0.8085088664406834,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-08,2026-05,Friday,0,0.8137141419005854,72,0.0
is_top_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.027777777777777776,2026-05-08,2026-05,Friday,0,0.807083108205391,72,0.0
is_top_3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,3,0.041666666666666664,2026-05-08,2026-05,Friday,0,0.8353922221214625,72,0.0
is_top_5,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,4,0.06944444444444445,2026-05-08,2026-05,Friday,0,0.8038287141645871,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-09,2026-05,Saturday,0,0.818523776641294,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-09,2026-05,Saturday,0,0.8183279198752138,72,0.0
is_top_3,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,2,0.041666666666666664,2026-05-09,2026-05,Saturday,0,0.8217588314642327,72,0.0
is_top_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.06944444444444445,2026-05-09,2026-05,Saturday,0,0.79312380296665,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-10,2026-05,Sunday,0,0.7909186719161966,72,0.0
is_top_2,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,4,0.027777777777777776,2026-05-10,2026-05,Sunday,0,0.808869566214474,72,0.0
is_top_3,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,6,0.041666666666666664,2026-05-10,2026-05,Sunday,0,0.8221345802787328,72,0.0
is_top_5,0.7142857142857143,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,7,0.06944444444444445,2026-05-10,2026-05,Sunday,0,0.7924993186094315,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-11,2026-05,Monday,0,0.8200638454497158,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-11,2026-05,Monday,0,0.8332299578184544,72,0.0
is_top_3,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,2,0.041666666666666664,2026-05-11,2026-05,Monday,0,0.803762932586967,72,0.0
is_top_5,0.6,0.6,0.6,1.0,1.0,1.0,1.0,5,0.06944444444444445,2026-05-11,2026-05,Monday,0,0.796219854225175,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-12,2026-05,Tuesday,0,0.8049173263678555,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-12,2026-05,Tuesday,0,0.8301452516858933,72,0.0
is_top_3,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1,0.041666666666666664,2026-05-12,2026-05,Tuesday,0,0.8240276639696003,72,0.0
is_top_5,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,4,0.06944444444444445,2026-05-12,2026-05,Tuesday,0,0.8032349207620371,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-13,2026-05,Wednesday,0,0.8335766727022236,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-13,2026-05,Wednesday,0,0.805034200133299,72,0.0
is_top_3,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,2,0.041666666666666664,2026-05-13,2026-05,Wednesday,0,0.832333098770112,72,0.0
is_top_5,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-13,2026-05,Wednesday,0,0.8219738323889187,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-14,2026-05,Thursday,1,0.8432509628646717,72,0.0
is_top_2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1,0.027777777777777776,2026-05-14,2026-05,Thursday,1,0.8156541263117792,72,0.0
is_top_3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,3,0.041666666666666664,2026-05-14,2026-05,Thursday,1,0.8159406010507324,72,0.0
is_top_5,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,5,0.06944444444444445,2026-05-14,2026-05,Thursday,1,0.81449905909275,72,0.0
is_rank_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-15,2026-05,Friday,0,0.8172390919267913,72,0.0
is_top_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.027777777777777776,2026-05-15,2026-05,Friday,0,0.8122603699826862,72,0.0
is_top_3,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,2,0.041666666666666664,2026-05-15,2026-05,Friday,0,0.8039037393082963,72,0.0
is_top_5,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-15,2026-05,Friday,0,0.8057214071478439,72,0.0
is_rank_1,0.5,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,2,0.013888888888888888,2026-05-16,2026-05,Saturday,0,0.81247227867631,72,0.0
is_top_2,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,1.0,3,0.027777777777777776,2026-05-16,2026-05,Saturday,0,0.8355701661041978,72,0.0
is_top_3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,1.0,5,0.041666666666666664,2026-05-16,2026-05,Saturday,0,0.8093179200062932,72,0.0
is_top_5,0.6666666666666666,0.8,0.7272727272727272,1.0,1.0,1.0,1.0,6,0.06944444444444445,2026-05-16,2026-05,Saturday,0,0.8297382114383585,72,0.0
is_rank_1,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,2,0.013888888888888888,2026-05-17,2026-05,Sunday,0,0.7982341357323525,72,0.0
is_top_2,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,6,0.027777777777777776,2026-05-17,2026-05,Sunday,0,0.8115045973937993,72,0.0
is_top_3,0.42857142857142855,1.0,0.6,1.0,1.0,1.0,1.0,7,0.041666666666666664,2026-05-17,2026-05,Sunday,0,0.8124773511163171,72,0.0
is_top_5,0.5,0.8,0.6153846153846154,1.0,1.0,1.0,1.0,8,0.06944444444444445,2026-05-17,2026-05,Sunday,0,0.8235324215758492,72,0.0
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.013888888888888888,2026-05-18,2026-05,Monday,0,0.8098635301625304,72,0.0
is_top_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.027777777777777776,2026-05-18,2026-05,Monday,0,0.8264421125712277,72,0.0
is_top_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.041666666666666664,2026-05-18,2026-05,Monday,0,0.8168544056914645,72,0.0
is_top_5,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-18,2026-05,Monday,0,0.7904928470830538,72,0.0
is_rank_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.013888888888888888,2026-05-19,2026-05,Tuesday,0,0.7700809391634744,72,0.0
is_top_2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2,0.027777777777777776,2026-05-19,2026-05,Tuesday,0,0.8362627686417515,72,0.0
is_top_3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,3,0.041666666666666664,2026-05-19,2026-05,Tuesday,0,0.8290077251262111,72,0.0
