feature,importance_top2,importance_top3,importance_top5,mean_importance
days_since_last_top2,0.2072882457418962,0.17547500636447205,0.11970637348858253,0.16748987519831693
days_since_last_rank1,0.15349129235374578,0.1040103911191479,0.07760904672949344,0.11170357673412905
days_since_last_count_decrease,0.06901866102474882,0.0826170337475704,0.09950528997828,0.08371366158353306
rolling_std_diff_14d,0.07972176413223821,0.07266159822138012,0.07155945186881495,0.0746476047408111
rolling_avg_diff_14d,0.06385571767979395,0.05959361122065172,0.07604299119248736,0.06649744003097767
days_since_first_seen,0.03201748846860466,0.07575699986652222,0.08829535018183304,0.06535661283898664
rolling_avg_diff_28d,0.03526727265441145,0.07950051015813475,0.06826239633036872,0.061010059714304975
rolling_std_diff_7d,0.04480226861413025,0.0467715506316278,0.03485680371174384,0.04214354098583397
rolling_avg_games_7d,0.021681714005036608,0.051209919360191994,0.03810333350843297,0.03699832229122053
days_since_last_top3,0.07453660796045264,0.008660864147537608,0.02779624419845639,0.03699790543548221
rolling_avg_games_28d,0.03559487802220506,0.0004171056087762565,0.05217365330162078,0.029395212310867364
lag_14_total_games,0.01010088176186361,0.03370331542640521,0.02605151593711133,0.02328523770846005
days_since_last_top5,0.02246991629669105,0.018577680934082713,0.028803282676202035,0.0232836266356586
rolling_avg_games_14d,0.008834873038191275,0.010081212839445533,0.042245398485535775,0.020387161454390863
lag_7_total_games,0.02466087251159791,0.02335128140739751,0.01062601555974329,0.019546056492912904
lag_21_total_games,0.010080993410363568,0.03206300022988821,0.012493560224019257,0.01821251795475701
rolling_avg_diff_7d,0.023888524715857118,0.027498789219199023,0.002823604099127826,0.018070306011394654
lag_3_avg_diff_coins,0.01559604495818012,0.021851028387231918,0.007782335479461865,0.015076469608291301
days_since_last_count_increase,0.017407855182437308,0.008803090801458593,0.0184770529940896,0.014895999659328502
same_weekday_rolling_rank_sum_3,0.0029408290332338487,0.00166080030280575,0.028980806512603763,0.011194145282881119
lag_1_total_games,0.011467006070363193,0.010247679989434435,0.0010751880534819304,0.00759662470442652
lag_21_avg_diff_coins,0.0025838033641555815,0.01722420634727961,0.0006116533756751792,0.006806554362370123
lag_14_avg_diff_coins,0.009149141285532411,0.003878417444830684,0.005913252240710451,0.006313603657024515
diff_delta_1_vs_14,0.0028800690560171534,0.007240477767616519,0.003999203363289995,0.004706583395641222
day_of_month,0.0006706911715758923,0.0029557250711978126,0.008057291170631763,0.0038945691378018225
lag_1_avg_diff_coins,0.006269072229515273,0.003362060322785956,0.0019140488774205954,0.0038483938099072752
lag_7_avg_diff_coins,0.0010904690334727714,0.0032585690707824634,0.003514987222160693,0.002621341775471976
atype_is_n,0.0008208500466551326,0.0021020374851461725,0.0045312337978123665,0.0024847071098712237
diff_delta_1_vs_7,0.005178603196042045,0.00010349125200348687,0.0016009383447399355,0.0022943442642618223
count_delta_14d,0.0006534307819573455,0.0016362547446094212,0.004063902097641327,0.002117862541402698
is_a_type,0.0007389626153583366,0.0017663257431968337,0.003701853085987847,0.0020690471481810057
atype_is_a,0.0007389626153583366,0.0017663257431968337,0.003701853085987847,0.0020690471481810057
count_delta_7d,0.0006269468447321992,0.0014159587936238714,0.0030314450376386155,0.001691450225331562
machine_count,0.0006898945297679422,0.0008320267047734654,0.0027010253788107034,0.0014076488711173704
day_of_week,3.892795213429596e-05,0.0008929415190611014,0.0032697964117949017,0.0014005552943300997
bt_flag,0.00047482721755350856,0.0011368258796675068,0.0023307803650853354,0.0013141444874354502
floor_is_2f,0.0002040864496927902,0.0008208051992887531,0.0022534389288232366,0.00109277685926826
count_delta_7d_bin,0.0003402749999847111,0.0007593923449285712,0.0016675263041522224,0.0009223978830218349
count_delta_3d,0.0005083306527062641,0.000817231842286645,0.0012471993752259753,0.0008575872900729616
days_since_first_seen_bin,0.0004213204368111478,0.00016477063065788554,0.001776183327752243,0.0007874247984070922
floor_is_3f,0.00012219901839170643,0.00048509345732632777,0.0014240582169694493,0.0006771168975624944
jug_flag,0.00022399385012239966,0.0005230563793132974,0.0011270194303817848,0.0006246898866058273
event_group,3.781751006171049e-05,0.0002475527951517799,0.0009109544962396864,0.0003987749338177256
count_delta_1d,0.00013978468605389523,0.0003729943659399062,0.0003498396325726295,0.0002875395615221437
count_delta_1d_bin,0.00013978468605389523,0.0003729943659399062,0.0003498396325726295,0.0002875395615221437
is_event_day,2.252743090070844e-05,0.00015195064479144382,0.00042823077828231797,0.0002009029513248234
hana_flag,4.01415476814499e-05,0.00010644348421321028,0.0002440532905220579,0.00013021277413890605
prior_top5_rate,4.621397629895353e-05,0.00012043704629223678,0.00021094613534091984,0.00012586571931070338
month_progress,1.586638702761767e-05,8.133630328216878e-05,0.00022530286795375906,0.00010750185275451515
oki_flag,5.663494093717144e-05,8.118222937180745e-05,0.00015963116066762745,9.914944365886878e-05
rolling_std_efficiency_14d,3.061393531218768e-05,9.526414480401703e-05,0.00015556774895494332,9.381527635704935e-05
same_weekday_top5_rate,3.4223245121686194e-05,9.802517163824994e-05,0.00013158469190758894,8.794436955584168e-05
