month,target,is_thursday,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,skip_rate,n_days
2026-04,is_rank_1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.013888888888888888,0.0,1
2026-04,is_top_2,1,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,4.0,0.027777777777777776,0.0,1
2026-04,is_top_3,1,0.375,1.0,0.5454545454545454,1.0,1.0,1.0,1.0,8.0,0.041666666666666664,0.0,1
2026-04,is_top_5,1,0.36363636363636365,0.8,0.5000000000000001,1.0,1.0,1.0,1.0,11.0,0.06944444444444445,0.0,1
2026-05,is_rank_1,0,0.3333333333333333,0.3888888888888889,0.35185185185185186,0.7222222222222222,1.0,1.0,1.0,0.6111111111111112,0.013888888888888888,0.0,18
2026-05,is_rank_1,1,0.75,1.0,0.8333333333333333,0.5,1.0,1.0,1.0,1.5,0.013888888888888888,0.0,2
2026-05,is_top_2,0,0.6388888888888888,0.6111111111111112,0.574074074074074,0.8888888888888888,0.8888888888888888,1.0,1.0,1.9444444444444444,0.027777777777777776,0.0,18
2026-05,is_top_2,1,1.0,0.75,0.8333333333333333,1.0,1.0,1.0,1.0,1.5,0.027777777777777776,0.0,2
2026-05,is_top_3,0,0.7534391534391535,0.7037037037037037,0.6702380952380952,0.8888888888888888,1.0,1.0,1.0,3.0555555555555554,0.041666666666666664,0.0,18
2026-05,is_top_3,1,0.6333333333333333,0.8333333333333333,0.7083333333333333,1.0,1.0,1.0,1.0,4.0,0.041666666666666664,0.0,2
2026-05,is_top_5,0,0.8785714285714286,0.8,0.8187839937839938,1.0,1.0,1.0,1.0,4.777777777777778,0.06944444444444445,0.0,18
2026-05,is_top_5,1,0.8166666666666667,0.9,0.8545454545454546,1.0,1.0,1.0,1.0,5.5,0.06944444444444445,0.0,2
