month,target,is_thursday,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,n_days,backend_used,segment_mode,segment_models_used,segment_prediction_rows
2026-04,is_rank_1,0,0.01299552234244147,0.5,0.02529367184539598,0.0,0.0,0.0,0.125,34.625,0.01376997716894977,72.625,72.625,0.0,1.0,0.0,8,cpu,floor_type4,4.0,72.625
2026-04,is_rank_1,1,0.011363636363636364,0.5,0.022222222222222223,0.0,0.0,0.0,0.0,50.0,0.013793759512937594,72.5,72.5,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.5
2026-04,is_top_2,0,0.026472109913005942,0.5625,0.05004423508533848,0.0,0.0,0.125,0.25,38.25,0.02753995433789954,72.625,72.625,0.0,1.0,0.0,8,cpu,floor_type4,4.0,72.625
2026-04,is_top_2,1,0.03221714865550482,0.75,0.06114942528735631,0.0,0.0,0.0,0.0,50.0,0.02758751902587519,72.5,72.5,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.5
2026-04,is_top_3,0,0.03821770275472783,0.5833333333333333,0.07098249695119023,0.0,0.0,0.125,0.375,40.625,0.041309931506849314,72.625,72.625,0.0,1.0,0.0,8,cpu,floor_type4,4.0,72.625
2026-04,is_top_3,1,0.05658536585365853,0.6666666666666666,0.10389610389610389,0.0,0.0,0.0,0.0,33.0,0.04138127853881278,72.5,72.5,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.5
2026-04,is_top_5,0,0.07676237911962301,0.75,0.13387773782820953,0.125,0.125,0.25,0.375,51.0,0.06884988584474885,72.625,72.625,0.0,1.0,0.0,8,cpu,floor_type4,4.0,72.625
2026-04,is_top_5,1,0.06457296849087894,0.9,0.12049062049062051,0.0,0.5,0.5,0.5,69.5,0.06896879756468798,72.5,72.5,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.5
2026-05,is_rank_1,0,0.010743027481641498,0.5555555555555556,0.021066393903151216,0.0,0.0,0.0,0.0,43.5,0.013934277414669571,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,floor_type4,4.0,71.77777777777777
2026-05,is_rank_1,1,0.007936507936507936,0.5,0.015625,0.0,0.0,0.0,0.0,56.0,0.013888888888888888,72.0,72.0,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.0
2026-05,is_top_2,0,0.03501821869105642,0.7222222222222222,0.06646012431201681,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.2222222222222222,42.888888888888886,0.027868554829339143,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,floor_type4,4.0,71.77777777777777
2026-05,is_top_2,1,0.041700404858299595,0.75,0.07746979388770435,0.0,0.0,0.0,0.0,42.0,0.027777777777777776,72.0,72.0,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.0
2026-05,is_top_3,0,0.031124678860107953,0.3888888888888889,0.05434288074634095,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,34.44444444444444,0.041802832244008714,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,floor_type4,4.0,71.77777777777777
2026-05,is_top_3,1,0.045454545454545456,0.5,0.08255319148936172,0.0,0.0,0.0,0.0,33.0,0.041666666666666664,72.0,72.0,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.0
2026-05,is_top_5,0,0.0673983174483202,0.6888888888888889,0.12117429357344602,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.3888888888888889,48.111111111111114,0.06967138707334786,72.0,71.77777777777777,0.2222222222222222,0.9969135802469135,0.0,18,cpu,floor_type4,4.0,71.77777777777777
2026-05,is_top_5,1,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0,0.0,0.0,72.0,0.06944444444444445,72.0,72.0,0.0,1.0,0.0,2,cpu,floor_type4,4.0,72.0
