month,expert,precision,recall,f1,hit_at_2,hit_at_3,n_days
2026-01,2F_N,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.967741935483871,1.0,31
2026-01,3F_A,0.8548387096774194,0.8548387096774194,0.8548387096774194,0.9354838709677419,0.967741935483871,31
2026-01,3F_N,0.8548387096774194,0.8548387096774194,0.8548387096774194,1.0,1.0,31
2026-02,2F_N,0.9107142857142857,0.9107142857142857,0.9107142857142857,1.0,1.0,28
2026-02,3F_A,0.8928571428571429,0.8928571428571429,0.8928571428571429,1.0,1.0,28
2026-02,3F_N,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9642857142857143,1.0,28
2026-03,2F_N,0.8709677419354839,0.8709677419354839,0.8709677419354839,1.0,1.0,31
2026-03,3F_A,0.8709677419354839,0.8709677419354839,0.8709677419354839,1.0,1.0,31
2026-03,3F_N,0.8064516129032258,0.8064516129032258,0.8064516129032258,1.0,1.0,31
2026-04,2F_N,0.9,0.9,0.9,1.0,1.0,30
2026-04,3F_A,0.9,0.9,0.9,1.0,1.0,30
2026-04,3F_N,0.9,0.9,0.9,1.0,1.0,30
2026-05,2F_N,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.9615384615384616,1.0,26
2026-05,3F_A,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,26
2026-05,3F_N,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,26
