rank,last_digit,combined_score
1,7,3.5
2,3,2.9
3,2,2.8000000000000003
4,9,2.7
5,5,2.6999999999999997
6,8,2.4
7,4,1.8
8,0,1.8
9,1,0.9
10,6,0.5
