hall_name,floor,machine_number,X,Y,display_x,display_y,section,section_min,section_max,rank_from_min,rank_from_max
楽園蒲田店,新館2F,2000,1,12,1,12,2000-2003,2000,2003,1,4
楽園蒲田店,新館2F,2001,1,11,1,11,2000-2003,2000,2003,2,3
楽園蒲田店,新館2F,2002,1,10,1,10,2000-2003,2000,2003,3,2
楽園蒲田店,新館2F,2003,1,9,1,9,2000-2003,2000,2003,4,1
楽園蒲田店,新館2F,2004,1,5,1,5,2004-2007,2004,2007,1,4
楽園蒲田店,新館2F,2005,1,4,1,4,2004-2007,2004,2007,2,3
楽園蒲田店,新館2F,2006,1,3,1,3,2004-2007,2004,2007,3,2
楽園蒲田店,新館2F,2007,1,2,1,2,2004-2007,2004,2007,4,1
楽園蒲田店,新館2F,2008,2,1,2,1,2008-2020,2008,2020,1,13
楽園蒲田店,新館2F,2009,3,1,3,1,2008-2020,2008,2020,2,12
楽園蒲田店,新館2F,2010,4,1,4,1,2008-2020,2008,2020,3,11
楽園蒲田店,新館2F,2011,5,1,5,1,2008-2020,2008,2020,4,10
楽園蒲田店,新館2F,2012,6,1,6,1,2008-2020,2008,2020,5,9
楽園蒲田店,新館2F,2013,7,1,7,1,2008-2020,2008,2020,6,8
楽園蒲田店,新館2F,2014,8,1,8,1,2008-2020,2008,2020,7,7
楽園蒲田店,新館2F,2015,9,1,9,1,2008-2020,2008,2020,8,6
楽園蒲田店,新館2F,2016,10,1,10,1,2008-2020,2008,2020,9,5
楽園蒲田店,新館2F,2017,11,1,11,1,2008-2020,2008,2020,10,4
楽園蒲田店,新館2F,2018,12,1,12,1,2008-2020,2008,2020,11,3
楽園蒲田店,新館2F,2019,13,1,13,1,2008-2020,2008,2020,12,2
楽園蒲田店,新館2F,2020,14,1,14,1,2008-2020,2008,2020,13,1
楽園蒲田店,新館2F,2021,4,3,4,3,2021-2044,2021,2044,1,24
楽園蒲田店,新館2F,2022,4,4,4,4,2021-2044,2021,2044,2,23
楽園蒲田店,新館2F,2023,4,5,4,5,2021-2044,2021,2044,3,22
楽園蒲田店,新館2F,2024,4,6,4,6,2021-2044,2021,2044,4,21
楽園蒲田店,新館2F,2025,4,7,4,7,2021-2044,2021,2044,5,20
楽園蒲田店,新館2F,2026,4,8,4,8,2021-2044,2021,2044,6,19
楽園蒲田店,新館2F,2027,4,9,4,9,2021-2044,2021,2044,7,18
楽園蒲田店,新館2F,2028,4,10,4,10,2021-2044,2021,2044,8,17
楽園蒲田店,新館2F,2029,4,11,4,11,2021-2044,2021,2044,9,16
楽園蒲田店,新館2F,2030,4,12,4,12,2021-2044,2021,2044,10,15
楽園蒲田店,新館2F,2031,4,13,4,13,2021-2044,2021,2044,11,14
楽園蒲田店,新館2F,2032,4,14,4,14,2021-2044,2021,2044,12,13
楽園蒲田店,新館2F,2033,5,14,5,14,2021-2044,2021,2044,13,12
楽園蒲田店,新館2F,2034,5,13,5,13,2021-2044,2021,2044,14,11
楽園蒲田店,新館2F,2035,5,12,5,12,2021-2044,2021,2044,15,10
楽園蒲田店,新館2F,2036,5,11,5,11,2021-2044,2021,2044,16,9
楽園蒲田店,新館2F,2037,5,10,5,10,2021-2044,2021,2044,17,8
楽園蒲田店,新館2F,2038,5,9,5,9,2021-2044,2021,2044,18,7
楽園蒲田店,新館2F,2039,5,8,5,8,2021-2044,2021,2044,19,6
楽園蒲田店,新館2F,2040,5,7,5,7,2021-2044,2021,2044,20,5
楽園蒲田店,新館2F,2041,5,6,5,6,2021-2044,2021,2044,21,4
楽園蒲田店,新館2F,2042,5,5,5,5,2021-2044,2021,2044,22,3
楽園蒲田店,新館2F,2043,5,4,5,4,2021-2044,2021,2044,23,2
楽園蒲田店,新館2F,2044,5,3,5,3,2021-2044,2021,2044,24,1
楽園蒲田店,新館2F,2045,8,3,8,3,2045-2070,2045,2070,1,26
楽園蒲田店,新館2F,2046,8,4,8,4,2045-2070,2045,2070,2,25
楽園蒲田店,新館2F,2047,8,5,8,5,2045-2070,2045,2070,3,24
楽園蒲田店,新館2F,2048,8,6,8,6,2045-2070,2045,2070,4,23
楽園蒲田店,新館2F,2049,8,7,8,7,2045-2070,2045,2070,5,22
楽園蒲田店,新館2F,2050,8,8,8,8,2045-2070,2045,2070,6,21
楽園蒲田店,新館2F,2051,8,9,8,9,2045-2070,2045,2070,7,20
楽園蒲田店,新館2F,2052,8,10,8,10,2045-2070,2045,2070,8,19
楽園蒲田店,新館2F,2053,8,11,8,11,2045-2070,2045,2070,9,18
楽園蒲田店,新館2F,2054,8,12,8,12,2045-2070,2045,2070,10,17
楽園蒲田店,新館2F,2055,8,13,8,13,2045-2070,2045,2070,11,16
楽園蒲田店,新館2F,2056,8,14,8,14,2045-2070,2045,2070,12,15
楽園蒲田店,新館2F,2057,8,15,8,15,2045-2070,2045,2070,13,14
楽園蒲田店,新館2F,2058,9,15,9,15,2045-2070,2045,2070,14,13
楽園蒲田店,新館2F,2059,9,14,9,14,2045-2070,2045,2070,15,12
