hall_name,floor,machine_number,X,Y,display_y,section,section_min,section_max,rank_from_min,rank_from_max
みとや大森町店,2F,815,1,1,1,805-815,805,815,11,1
みとや大森町店,2F,814,2,1,1,805-815,805,815,10,2
みとや大森町店,2F,813,3,1,1,805-815,805,815,9,3
みとや大森町店,2F,812,4,1,1,805-815,805,815,8,4
みとや大森町店,2F,811,5,1,1,805-815,805,815,7,5
みとや大森町店,2F,810,6,1,1,805-815,805,815,6,6
みとや大森町店,2F,809,7,1,1,805-815,805,815,5,7
みとや大森町店,2F,808,8,1,1,805-815,805,815,4,8
みとや大森町店,2F,807,9,1,1,805-815,805,815,3,9
みとや大森町店,2F,806,10,1,1,805-815,805,815,2,10
みとや大森町店,2F,805,11,1,1,805-815,805,815,1,11
みとや大森町店,2F,700,1,3,3,692-711,692,711,9,12
みとや大森町店,2F,701,4,3,3,692-711,692,711,10,11
みとや大森町店,2F,722,8,3,3,712-733,712,733,11,12
みとや大森町店,2F,723,11,3,3,712-733,712,733,12,11
みとや大森町店,2F,744,15,3,3,734-755,734,755,11,12
みとや大森町店,2F,745,18,3,3,734-755,734,755,12,11
みとや大森町店,2F,699,1,4,4,692-711,692,711,8,13
みとや大森町店,2F,702,4,4,4,692-711,692,711,11,10
みとや大森町店,2F,721,8,4,4,712-733,712,733,10,13
みとや大森町店,2F,724,11,4,4,712-733,712,733,13,10
みとや大森町店,2F,743,15,4,4,734-755,734,755,10,13
みとや大森町店,2F,746,18,4,4,734-755,734,755,13,10
みとや大森町店,2F,698,1,5,5,692-711,692,711,7,14
みとや大森町店,2F,703,4,5,5,692-711,692,711,12,9
みとや大森町店,2F,720,8,5,5,712-733,712,733,9,14
みとや大森町店,2F,725,11,5,5,712-733,712,733,14,9
みとや大森町店,2F,742,15,5,5,734-755,734,755,9,14
みとや大森町店,2F,747,18,5,5,734-755,734,755,14,9
みとや大森町店,2F,697,1,6,6,692-711,692,711,6,15
みとや大森町店,2F,704,4,6,6,692-711,692,711,13,8
みとや大森町店,2F,719,8,6,6,712-733,712,733,8,15
みとや大森町店,2F,726,11,6,6,712-733,712,733,15,8
みとや大森町店,2F,741,15,6,6,734-755,734,755,8,15
みとや大森町店,2F,748,18,6,6,734-755,734,755,15,8
みとや大森町店,2F,696,1,7,7,692-711,692,711,5,16
みとや大森町店,2F,705,4,7,7,692-711,692,711,14,7
みとや大森町店,2F,718,8,7,7,712-733,712,733,7,16
みとや大森町店,2F,727,11,7,7,712-733,712,733,16,7
みとや大森町店,2F,740,15,7,7,734-755,734,755,7,16
みとや大森町店,2F,749,18,7,7,734-755,734,755,16,7
みとや大森町店,2F,695,1,8,8,692-711,692,711,4,17
みとや大森町店,2F,706,4,8,8,692-711,692,711,15,6
みとや大森町店,2F,717,8,8,8,712-733,712,733,6,17
みとや大森町店,2F,728,11,8,8,712-733,712,733,17,6
みとや大森町店,2F,739,15,8,8,734-755,734,755,6,17
みとや大森町店,2F,750,18,8,8,734-755,734,755,17,6
みとや大森町店,2F,707,4,9,9,692-711,692,711,16,5
みとや大森町店,2F,716,8,9,9,712-733,712,733,5,18
みとや大森町店,2F,729,11,9,9,712-733,712,733,18,5
みとや大森町店,2F,738,15,9,9,734-755,734,755,5,18
みとや大森町店,2F,751,18,9,9,734-755,734,755,18,5
みとや大森町店,2F,708,4,10,10,692-711,692,711,17,4
みとや大森町店,2F,715,8,10,10,712-733,712,733,4,19
みとや大森町店,2F,730,11,10,10,712-733,712,733,19,4
みとや大森町店,2F,737,15,10,10,734-755,734,755,4,19
みとや大森町店,2F,752,18,10,10,734-755,734,755,19,4
みとや大森町店,2F,694,1,11,11,692-711,692,711,3,18
みとや大森町店,2F,709,4,11,11,692-711,692,711,18,3
みとや大森町店,2F,714,8,11,11,712-733,712,733,3,20
みとや大森町店,2F,731,11,11,11,712-733,712,733,20,3
みとや大森町店,2F,736,15,11,11,734-755,734,755,3,20
みとや大森町店,2F,753,18,11,11,734-755,734,755,20,3
みとや大森町店,2F,693,1,12,12,692-711,692,711,2,19
みとや大森町店,2F,710,4,12,12,692-711,692,711,19,2
みとや大森町店,2F,713,8,12,12,712-733,712,733,2,21
みとや大森町店,2F,732,11,12,12,712-733,712,733,21,2
みとや大森町店,2F,735,15,12,12,734-755,734,755,2,21
みとや大森町店,2F,754,18,12,12,734-755,734,755,21,2
みとや大森町店,2F,692,1,13,13,692-711,692,711,1,20
みとや大森町店,2F,711,4,13,13,692-711,692,711,20,1
みとや大森町店,2F,712,8,13,13,712-733,712,733,1,22
みとや大森町店,2F,733,11,13,13,712-733,712,733,22,1
みとや大森町店,2F,734,15,13,13,734-755,734,755,1,22
みとや大森町店,2F,755,18,13,13,734-755,734,755,22,1
みとや大森町店,2F,675,3,16,16,658-691,658,691,18,17
みとや大森町店,2F,676,4,16,16,658-691,658,691,19,16
みとや大森町店,2F,677,5,16,16,658-691,658,691,20,15
みとや大森町店,2F,678,6,16,16,658-691,658,691,21,14
みとや大森町店,2F,679,7,16,16,658-691,658,691,22,13
みとや大森町店,2F,680,8,16,16,658-691,658,691,23,12
みとや大森町店,2F,681,9,16,16,658-691,658,691,24,11
みとや大森町店,2F,682,10,16,16,658-691,658,691,25,10
みとや大森町店,2F,683,11,16,16,658-691,658,691,26,9
みとや大森町店,2F,684,12,16,16,658-691,658,691,27,8
みとや大森町店,2F,685,13,16,16,658-691,658,691,28,7
みとや大森町店,2F,686,14,16,16,658-691,658,691,29,6
みとや大森町店,2F,687,15,16,16,658-691,658,691,30,5
みとや大森町店,2F,688,16,16,16,658-691,658,691,31,4
みとや大森町店,2F,689,17,16,16,658-691,658,691,32,3
みとや大森町店,2F,690,18,16,16,658-691,658,691,33,2
みとや大森町店,2F,691,19,16,16,658-691,658,691,34,1
みとや大森町店,2F,674,3,17,17,658-691,658,691,17,18
みとや大森町店,2F,673,4,17,17,658-691,658,691,16,19
みとや大森町店,2F,672,5,17,17,658-691,658,691,15,20
みとや大森町店,2F,671,6,17,17,658-691,658,691,14,21
みとや大森町店,2F,670,7,17,17,658-691,658,691,13,22
みとや大森町店,2F,669,8,17,17,658-691,658,691,12,23
みとや大森町店,2F,668,9,17,17,658-691,658,691,11,24
みとや大森町店,2F,667,10,17,17,658-691,658,691,10,25
みとや大森町店,2F,666,11,17,17,658-691,658,691,9,26
みとや大森町店,2F,665,12,17,17,658-691,658,691,8,27
みとや大森町店,2F,664,13,17,17,658-691,658,691,7,28
みとや大森町店,2F,663,14,17,17,658-691,658,691,6,29
みとや大森町店,2F,662,15,17,17,658-691,658,691,5,30
みとや大森町店,2F,661,16,17,17,658-691,658,691,4,31
みとや大森町店,2F,660,17,17,17,658-691,658,691,3,32
みとや大森町店,2F,659,18,17,17,658-691,658,691,2,33
みとや大森町店,2F,658,19,17,17,658-691,658,691,1,34
みとや大森町店,2F,641,3,20,20,624-657,624,657,18,17
みとや大森町店,2F,642,4,20,20,624-657,624,657,19,16
みとや大森町店,2F,643,5,20,20,624-657,624,657,20,15
みとや大森町店,2F,644,6,20,20,624-657,624,657,21,14
みとや大森町店,2F,645,7,20,20,624-657,624,657,22,13
みとや大森町店,2F,646,8,20,20,624-657,624,657,23,12
みとや大森町店,2F,647,9,20,20,624-657,624,657,24,11
みとや大森町店,2F,648,10,20,20,624-657,624,657,25,10
みとや大森町店,2F,649,11,20,20,624-657,624,657,26,9
みとや大森町店,2F,650,12,20,20,624-657,624,657,27,8
みとや大森町店,2F,651,13,20,20,624-657,624,657,28,7
みとや大森町店,2F,652,14,20,20,624-657,624,657,29,6
みとや大森町店,2F,653,15,20,20,624-657,624,657,30,5
みとや大森町店,2F,654,16,20,20,624-657,624,657,31,4
みとや大森町店,2F,655,17,20,20,624-657,624,657,32,3
みとや大森町店,2F,656,18,20,20,624-657,624,657,33,2
みとや大森町店,2F,657,19,20,20,624-657,624,657,34,1
みとや大森町店,2F,640,3,21,21,624-657,624,657,17,18
みとや大森町店,2F,639,4,21,21,624-657,624,657,16,19
みとや大森町店,2F,638,5,21,21,624-657,624,657,15,20
みとや大森町店,2F,637,6,21,21,624-657,624,657,14,21
みとや大森町店,2F,636,7,21,21,624-657,624,657,13,22
みとや大森町店,2F,635,8,21,21,624-657,624,657,12,23
みとや大森町店,2F,634,9,21,21,624-657,624,657,11,24
