machine_number,X,Y
2001,1,13
2002,1,12
2003,1,11
2004,1,10
2005,1,9
2006,1,8
2007,1,7
2008,1,6
2009,1,5
2010,1,4
2011,3,1
2012,4,1
2013,5,1
2014,6,1
2015,8,1
2016,9,1
2017,10,1
2018,11,1
2019,12,1
2020,13,1
2021,14,1
2022,15,1
2023,12,4
2024,11,4
2025,10,4
2026,9,4
2027,8,4
2028,7,4
2029,5,4
2030,4,4
2031,3,4
2032,3,5
2033,4,5
2034,5,5
2035,7,5
2036,8,5
2037,9,5
2038,10,5
2039,11,5
2040,12,5
2041,16,8
2042,15,8
2043,13,8
2044,12,8
2045,11,8
2046,10,8
2047,9,8
2048,8,8
2049,7,8
2050,5,8
2051,4,8
2052,3,8
2053,3,9
2054,4,9
2055,5,9
2056,7,9
2057,8,9
2058,9,9
2059,10,9
2060,11,9
2061,12,9
2062,13,9
2063,15,9
2064,16,9
2065,15,11
2066,14,11
2067,13,11
2068,12,11
2069,11,11
2070,10,11
2071,9,11
2072,8,11
2073,7,11
2074,5,11
2075,4,11
2076,3,11
2077,3,12
2078,4,12
2079,5,12
2080,7,12
2081,8,12
2082,9,12
2083,10,12
2084,11,12
2085,12,12
2086,13,12
2087,14,12
2088,15,12
2089,16,14
2090,15,14
2091,14,14
2092,13,14
2093,12,14
2094,11,14
2095,10,14
2096,9,14
2097,8,14
2098,6,14
2099,5,14
2100,4,14
2101,3,14
2102,3,15
2103,4,15
2104,5,15
2105,6,15
2106,8,15
2107,9,15
2108,10,15
2109,11,15
2110,12,15
2111,13,15
2112,14,15
2113,15,15
2114,16,15
2115,17,17
2116,16,17
2117,15,17
2118,14,17
2119,13,17
2120,12,17
2121,11,17
2122,10,17
2123,8,17
2124,7,17
2125,6,17
2126,5,17
2127,4,17
2128,3,17
2129,3,18
2130,4,18
2131,5,18
2132,6,18
2133,7,18
2134,8,18
2135,10,18
2136,11,18
2137,12,18
2138,13,18
2139,14,18
2140,15,18
2141,16,18
2142,17,18
2143,15,20
2144,14,20
2145,13,20
2146,12,20
2147,11,20
2148,10,20
2149,9,20
2150,8,20
2151,6,20
2152,5,20
2153,4,20
2154,3,20
2155,3,21
2156,4,21
2157,5,21
2158,6,21
2159,7,21
2160,8,21
2161,9,21
2162,10,21
2163,11,21
2164,12,21
2165,13,22
2166,12,22
2167,11,22
2168,10,22
2169,9,22
2170,8,22
2171,7,22
2172,7,23
2173,8,23
2174,9,23
2175,10,23
2176,11,23
2177,12,23
2178,13,23
2179,14,25
2180,13,25
2181,12,25
2182,11,25
2183,10,25
2184,9,25
2185,8,25
2186,7,25
2187,38,4
2188,38,5
2189,38,8
2190,38,9
2191,38,11
2192,38,12
2193,38,14
2194,38,15
2195,38,17
2196,36,4
2197,35,4
2198,34,4
2199,33,4
2200,32,4
2201,31,4
2202,30,4
2203,29,4
2204,28,4
2205,26,4
2206,25,4
2207,24,4
2208,23,4
2209,22,4
2210,21,4
2211,20,4
2212,19,4
2213,19,5
2214,20,5
2215,21,5
2216,22,5
2217,23,5
2218,24,5
2219,25,5
2220,26,5
2221,28,5
2222,29,5
2223,30,5
2224,31,5
2225,32,5
2226,33,5
2227,34,5
2228,35,5
2229,36,5
2230,36,8
2231,35,8
2232,34,8
2233,33,8
2234,32,8
2235,31,8
2236,30,8
2237,29,8
2238,28,8
2239,26,8
2240,25,8
2241,24,8
2242,23,8
2243,22,8
2244,21,8
2245,20,8
2246,19,8
2247,19,9
2248,20,9
2249,21,9
2250,22,9
2251,23,9
2252,24,9
2253,25,9
2254,26,9
2255,28,9
2256,29,9
2257,30,9
2258,31,9
2259,32,9
2260,33,9
2261,34,9
2262,35,9
2263,36,9
2264,36,11
2265,35,11
2266,34,11
2267,33,11
2268,32,11
2269,31,11
2270,30,11
2271,29,11
2272,28,11
2273,26,11
2274,25,11
2275,24,11
2276,23,11
2277,22,11
2278,21,11
2279,20,11
2280,19,11
2281,19,12
2282,20,12
2283,21,12
2284,22,12
2285,23,12
2286,24,12
2287,25,12
2288,26,12
2289,28,12
2290,29,12
2291,30,12
2292,31,12
2293,32,12
2294,33,12
2295,34,12
2296,35,12
2297,36,12
2298,35,14
2299,34,14
2300,33,14
2301,32,14
2302,31,14
2303,30,14
2304,29,14
2305,28,14
2306,26,14
2307,25,14
2308,24,14
2309,23,14
2310,22,14
2311,21,14
2312,20,14
2313,19,14
2314,19,15
2315,20,15
2316,21,15
2317,22,15
2318,23,15
2319,24,15
2320,25,15
2321,26,15
2322,28,15
2323,29,15
2324,30,15
2325,31,15
2326,32,15
2327,33,15
2328,34,15
2329,35,15
2330,39,14
2331,39,15
2332,39,17
2333,39,18
2334,39,19
2335,36,17
2336,35,17
2337,34,17
2338,33,17
2339,32,17
2340,31,17
2341,30,17
2342,29,17
2343,28,17
2344,26,17
2345,25,17
2346,24,17
2347,23,17
2348,22,17
2349,21,17
2350,20,17
2351,19,17
