rank,last_digit,combined_score
1,4,3.3
2,9,3.3
3,7,2.5
4,0,2.4000000000000004
5,5,2.0
6,2,1.9
7,3,1.8
8,1,1.6999999999999997
9,6,1.6
10,8,1.5000000000000002
