component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2548,0.1851,0.398,0.0005,0.02,0.5134,0.2581,0.3238,0.221
c2,0.2548,1.0,0.0359,0.0809,-0.0248,-0.0009,0.1304,0.0632,0.0865,0.0837
c3,0.1851,0.0359,1.0,0.0824,0.0036,0.0083,0.0993,0.0433,0.0678,0.0344
c4,0.398,0.0809,0.0824,1.0,-0.0048,0.0176,0.2083,0.1073,0.1411,0.0781
c5,0.0005,-0.0248,0.0036,-0.0048,1.0,0.0344,0.0445,-0.0232,0.0408,-0.0301
c6,0.02,-0.0009,0.0083,0.0176,0.0344,1.0,0.007,0.0065,-0.0031,0.0152
hist_diff,0.5134,0.1304,0.0993,0.2083,0.0445,0.007,1.0,0.6205,0.5879,0.546
hist_payout,0.2581,0.0632,0.0433,0.1073,-0.0232,0.0065,0.6205,1.0,0.468,0.7078
hist_winrate,0.3238,0.0865,0.0678,0.1411,0.0408,-0.0031,0.5879,0.468,1.0,0.5285
hist_hit_an,0.221,0.0837,0.0344,0.0781,-0.0301,0.0152,0.546,0.7078,0.5285,1.0
