hall,period,dd,n,rb_rate_pooled,rb_rate_mean
みとや,recent60d,9,151.0,0.0029294397982259027,0.002822139072847682
みとや,recent60d,10,152.0,0.0028274713624746955,0.0026819868421052635
みとや,recent60d,11,125.0,0.0028290639166369167,0.002718312
みとや,recent60d,12,60.0,0.0027636238017099924,0.0026384666666666667
みとや,recent60d,13,135.0,0.002925303735026671,0.0027958592592592594
みとや,recent60d,14,168.0,0.0027811530900919076,0.0026828988095238095
みとや,recent60d,15,130.0,0.0027776308555840317,0.0025873615384615386
みとや,recent60d,16,150.0,0.0028578322885082236,0.0027062066666666664
みとや,recent60d,17,164.0,0.0028042738499329343,0.0026467926829268295
みとや,recent60d,18,125.0,0.0029640316075936917,0.002805432
みとや,recent60d,19,133.0,0.0028950155384642093,0.0028289924812030074
みとや,recent60d,20,144.0,0.0027469733803907317,0.002565243055555556
みとや,recent60d,21,118.0,0.003014643275642593,0.002867474576271186
みとや,recent60d,22,143.0,0.0027738152910090543,0.0026690489510489512
みとや,recent60d,23,145.0,0.0028728404220138737,0.0027160758620689653
みとや,recent60d,24,165.0,0.002816260911242023,0.002695357575757576
みとや,recent60d,25,129.0,0.002825831663090976,0.00263284496124031
みとや,recent60d,26,128.0,0.0029310628431779553,0.0027737890625
みとや,recent60d,27,155.0,0.0028456059694862194,0.002739374193548387
みとや,recent60d,28,143.0,0.0028338529191590874,0.0027398321678321676
みとや,recent60d,29,131.0,0.0028434409218669175,0.0027380992366412213
みとや,recent60d,30,72.0,0.0029308373943910133,0.0028128333333333334
みとや,recent60d,31,,,
蒲田7,full,1,1899.0,0.0032174010916022197,0.0030211806213796735
蒲田7,full,2,1618.0,0.003154302898506141,0.0029395160692212608
蒲田7,full,3,1663.0,0.0030378181699098235,0.002833095610342754
蒲田7,full,4,1596.0,0.002985630636580071,0.002816030701754386
蒲田7,full,5,1449.0,0.0030194814126489077,0.0028424216701173222
蒲田7,full,6,1372.0,0.003024496965838214,0.002855944606413994
蒲田7,full,7,1997.0,0.0031232562544072366,0.0029876634952428643
蒲田7,full,8,1569.0,0.0031604795787032406,0.002974748247291268
蒲田7,full,9,1555.0,0.0031771966007477924,0.0030087247588424437
蒲田7,full,10,1654.0,0.0030588168784002694,0.002865814993954051
蒲田7,full,11,1852.0,0.0030151906782589465,0.0028429082073434127
蒲田7,full,12,1338.0,0.0030448755412966918,0.002853920777279522
蒲田7,full,13,1635.0,0.0030565665798501177,0.002851085626911315
蒲田7,full,14,1655.0,0.0030879332742100047,0.00291747250755287
蒲田7,full,15,1679.0,0.0030551762491220834,0.0028691328171530674
蒲田7,full,16,1531.0,0.0031195949391780776,0.002933852384062704
蒲田7,full,17,1941.0,0.00309271460054652,0.00294632818134982
蒲田7,full,18,1500.0,0.0030504725589010104,0.002857646
蒲田7,full,19,1496.0,0.00309523445200912,0.0029053516042780747
蒲田7,full,20,1614.0,0.0031129440205491426,0.002896050185873606
蒲田7,full,21,1755.0,0.003101176645397539,0.0029099612535612536
蒲田7,full,22,1808.0,0.003059625373134468,0.002902858960176991
蒲田7,full,23,1580.0,0.003018918272838964,0.0028532398734177214
蒲田7,full,24,1600.0,0.0030423083065869915,0.0028604175
蒲田7,full,25,1600.0,0.0030173766754408187,0.0028245868749999996
蒲田7,full,26,1518.0,0.0030417944459401832,0.0028673820816864297
蒲田7,full,27,1950.0,0.0030622192777924324,0.0029212405128205125
蒲田7,full,28,1650.0,0.0030732202531980456,0.0028792290909090907
蒲田7,full,29,1479.0,0.0030426274598724626,0.002859906017579446
蒲田7,full,30,1822.0,0.0032122584471234324,0.003038599890230516
蒲田7,full,31,892.0,0.003245287781531612,0.003053007847533632
蒲田7,recent60d,1,296.0,0.0030988996324371994,0.002858506756756757
蒲田7,recent60d,2,206.0,0.003019776062200445,0.0028007621359223303
蒲田7,recent60d,3,216.0,0.003005351308479437,0.002776898148148148
蒲田7,recent60d,4,267.0,0.002919285283828099,0.002747067415730337
蒲田7,recent60d,5,123.0,0.002940496199096418,0.0027129105691056908
蒲田7,recent60d,6,324.0,0.00299860336303832,0.0028304351851851854
蒲田7,recent60d,7,338.0,0.003017571638983549,0.002879085798816568
蒲田7,recent60d,8,209.0,0.0030708669831767785,0.0028770334928229662
蒲田7,recent60d,9,297.0,0.003023773810861591,0.0028523400673400676
蒲田7,recent60d,10,287.0,0.0029867502674306534,0.0028118606271777
蒲田7,recent60d,11,259.0,0.003051683931589778,0.0028924787644787646
蒲田7,recent60d,12,129.0,0.0029348898000783265,0.002731937984496124
蒲田7,recent60d,13,279.0,0.00318814833613552,0.002971784946236559
蒲田7,recent60d,14,257.0,0.0029185773228976694,0.002735097276264591
蒲田7,recent60d,15,227.0,0.0030864915239987908,0.002954647577092511
蒲田7,recent60d,16,276.0,0.003055383938018847,0.0028789855072463766
蒲田7,recent60d,17,327.0,0.00313562389546974,0.00299531498470948
蒲田7,recent60d,18,195.0,0.003073480858959317,0.002872748717948718
蒲田7,recent60d,19,242.0,0.003092886526164003,0.0029066735537190084
蒲田7,recent60d,20,276.0,0.002892983394220963,0.002681663043478261
蒲田7,recent60d,21,295.0,0.0030171498550681697,0.002881928813559322
蒲田7,recent60d,22,289.0,0.0030823696409485214,0.0029178754325259516
蒲田7,recent60d,23,307.0,0.0029288760238510496,0.0027382736156351794
蒲田7,recent60d,24,276.0,0.0030624378960400073,0.002865304347826087
蒲田7,recent60d,25,222.0,0.003003155659658,0.002742009009009009
蒲田7,recent60d,26,240.0,0.0031331486970182856,0.0029377208333333333
蒲田7,recent60d,27,328.0,0.002964306055586617,0.0027926768292682925
蒲田7,recent60d,28,261.0,0.0029442865247468583,0.002720348659003831
蒲田7,recent60d,29,205.0,0.003120448733456284,0.0029020292682926828
蒲田7,recent60d,30,339.0,0.0033987783334598616,0.003197082595870207
蒲田7,recent60d,31,,,
蒲田1,full,1,1786.0,0.0030949959329772524,0.0029453969764837626
蒲田1,full,2,1579.0,0.00297384870358575,0.0028328739708676377
蒲田1,full,3,1731.0,0.003018204839169945,0.002861593298671288
蒲田1,full,4,1638.0,0.0029602407625974538,0.002828476800976801
蒲田1,full,5,1584.0,0.0029950623592600576,0.002846496843434343
蒲田1,full,6,1535.0,0.0029725837750542118,0.00283759674267101
蒲田1,full,7,1857.0,0.0030016389213328725,0.002874546580506193
蒲田1,full,8,1545.0,0.003008139751862605,0.0028465695792880257
蒲田1,full,9,1580.0,0.003036435529451931,0.002884506962025317
蒲田1,full,10,1652.0,0.0029893442232932733,0.0028601973365617434
蒲田1,full,11,1754.0,0.0029942547831199834,0.002852070125427594
蒲田1,full,12,1410.0,0.0028803806396041215,0.002755618439716312
蒲田1,full,13,1580.0,0.003012664499716706,0.002849392405063291
蒲田1,full,14,1408.0,0.002938577607732616,0.0027964311079545453
蒲田1,full,15,1569.0,0.0029289084471531314,0.0027788457616316122
蒲田1,full,16,1392.0,0.002959655521922295,0.0028201752873563217
蒲田1,full,17,1796.0,0.002991543088519774,0.002854539532293987
蒲田1,full,18,1268.0,0.0029368798182038635,0.0027977555205047316
蒲田1,full,19,1292.0,0.002917787461595321,0.0027890719814241487
蒲田1,full,20,1371.0,0.002912510036641684,0.0027634208606856308
蒲田1,full,21,1516.0,0.0030555720680748703,0.0029002572559366758
蒲田1,full,22,1587.0,0.0029744070497796943,0.002835955891619408
蒲田1,full,23,1313.0,0.0028973908443503593,0.0027524082254379283
蒲田1,full,24,1267.0,0.00291685679036023,0.002797336227308603
蒲田1,full,25,1485.0,0.003066574178051789,0.00292062962962963
蒲田1,full,26,1297.0,0.0029199580045743234,0.002783171935235158
蒲田1,full,27,1669.0,0.002976947025729846,0.002834095865787897
蒲田1,full,28,1365.0,0.0029762175177176086,0.0028248666666666664
蒲田1,full,29,1200.0,0.0028497377736322743,0.002708515833333333
蒲田1,full,30,1511.0,0.00316556027663078,0.0030027584381204504
蒲田1,full,31,789.0,0.003020793265674468,0.002892871989860583
蒲田1,recent60d,1,150.0,0.0029242338837180528,0.002773513333333333
蒲田1,recent60d,2,113.0,0.003176059922331809,0.0030036017699115046
蒲田1,recent60d,3,121.0,0.002779778082340279,0.002654479338842975
蒲田1,recent60d,4,159.0,0.0030528562724909817,0.002933553459119497
蒲田1,recent60d,5,71.0,0.003088672654991645,0.0028819154929577463
蒲田1,recent60d,6,190.0,0.0029529837040589164,0.0028261473684210526
蒲田1,recent60d,7,183.0,0.0031211210527923032,0.002992890710382514
蒲田1,recent60d,8,130.0,0.0029933471145253162,0.0028120307692307694
蒲田1,recent60d,9,148.0,0.002991070635009984,0.002845033783783784
蒲田1,recent60d,10,165.0,0.002843709064579605,0.0027187454545454545
蒲田1,recent60d,11,155.0,0.0031538241698765533,0.0029975741935483868
蒲田1,recent60d,12,62.0,0.002967837188648772,0.0027725322580645162
蒲田1,recent60d,13,159.0,0.0033964743948038433,0.0031723396226415097
蒲田1,recent60d,14,142.0,0.002736517876462128,0.0026190352112676054
蒲田1,recent60d,15,155.0,0.0030612591018045316,0.00286698064516129
蒲田1,recent60d,16,171.0,0.002968689817511944,0.0028332046783625733
蒲田1,recent60d,17,177.0,0.003061389104140382,0.0029323615819209043
蒲田1,recent60d,18,138.0,0.0029821502698215026,0.0028660217391304347
蒲田1,recent60d,19,136.0,0.0029700084119699834,0.0028306470588235293
蒲田1,recent60d,20,154.0,0.003030539342423352,0.002892512987012987
蒲田1,recent60d,21,151.0,0.0028957779584697064,0.002731615894039735
蒲田1,recent60d,22,160.0,0.0029276362592814994,0.00278630625
蒲田1,recent60d,23,164.0,0.003091506241071438,0.0029118414634146344
蒲田1,recent60d,24,166.0,0.0027504431953968155,0.0026232650602409638
蒲田1,recent60d,25,111.0,0.0029533347538887706,0.0028633063063063066
蒲田1,recent60d,26,123.0,0.0030572878897751994,0.002918243902439024
蒲田1,recent60d,27,182.0,0.00291555076881337,0.002778824175824176
蒲田1,recent60d,28,151.0,0.002873888800764593,0.002733158940397351
蒲田1,recent60d,29,118.0,0.0030275732247797837,0.0029058305084745766
蒲田1,recent60d,30,184.0,0.003071824440065537,0.002941483695652174
蒲田1,recent60d,31,95.0,0.002935792066509482,0.0027856947368421056
楽園,full,1,1313.0,0.0029798517251434036,0.002847006092916984
楽園,full,2,1159.0,0.002963363216335144,0.002848530629853322
楽園,full,3,1274.0,0.0029419306602101072,0.002819013343799058
楽園,full,4,1193.0,0.002916713234265599,0.0027916571668063703
楽園,full,5,1261.0,0.0030604434257553714,0.002948349722442506
楽園,full,6,1173.0,0.002941314727391161,0.0027996726342710996
楽園,full,7,1179.0,0.002857918702833027,0.0027558727735368955
楽園,full,8,1094.0,0.002886548392616961,0.002782534734917733
楽園,full,9,1044.0,0.002864615145182669,0.0027737174329501915
楽園,full,10,1110.0,0.0029520091776114583,0.002820037837837838
楽園,full,11,1322.0,0.0030321082431778576,0.002913906202723147
楽園,full,12,1090.0,0.0028529744141402354,0.002749384403669725
楽園,full,13,1112.0,0.0029415940969010636,0.0028184973021582733
楽園,full,14,1007.0,0.0027744002599647192,0.0026840983118172792
楽園,full,15,1260.0,0.0030836969872750767,0.0029638301587301586
楽園,full,16,1080.0,0.0029711821515474024,0.0028439518518518516
楽園,full,17,1120.0,0.0029116941577843596,0.00280696875
楽園,full,18,1087.0,0.0028778409603603325,0.0027726329346826127
楽園,full,19,1037.0,0.0028303426725896906,0.00273373481195757
楽園,full,20,1059.0,0.0029054357860348835,0.0027913050047214355
楽園,full,21,1016.0,0.002934893872613297,0.002833183070866142
楽園,full,22,1369.0,0.003094962584266039,0.0029875975164353544
楽園,full,23,1125.0,0.0029457853054956212,0.0028137991111111113
楽園,full,24,1110.0,0.002931295569594725,0.0028196027027027025
楽園,full,25,1242.0,0.0031149584504912794,0.002987489533011272
楽園,full,26,1126.0,0.0029283293392707117,0.0027982584369449378
楽園,full,27,1100.0,0.00294626988858524,0.00282132
楽園,full,28,1097.0,0.002952918017897006,0.0028416271649954424
楽園,full,29,967.0,0.0029093576846691413,0.002801715615305067
楽園,full,30,1187.0,0.0029645702418451135,0.0028235737152485256
楽園,full,31,575.0,0.002862076359655558,0.002786914782608696
楽園,recent60d,1,133.0,0.0027726061829619255,0.002591233082706767
楽園,recent60d,2,101.0,0.0029084921018934606,0.002809079207920792
楽園,recent60d,3,122.0,0.002900317560193879,0.0027853606557377048
楽園,recent60d,4,134.0,0.0028326774844880695,0.002663768656716418
楽園,recent60d,5,75.0,0.003280925339840455,0.00313628
楽園,recent60d,6,157.0,0.002969206024404217,0.00283856050955414
楽園,recent60d,7,139.0,0.002916325401992286,0.0027703741007194245
楽園,recent60d,8,115.0,0.003038487508440243,0.002926026086956522
楽園,recent60d,9,123.0,0.0028762395222703117,0.0027623333333333332
楽園,recent60d,10,144.0,0.0029756481010523566,0.00279175
楽園,recent60d,11,132.0,0.0031982606051740112,0.0029808712121212125
楽園,recent60d,12,117.0,0.0027639197910476637,0.0026102820512820513
楽園,recent60d,13,124.0,0.002863782244550084,0.0027063951612903226
楽園,recent60d,14,105.0,0.002745811665813997,0.0026362095238095236
楽園,recent60d,15,133.0,0.003136691548230751,0.003050240601503759
楽園,recent60d,16,129.0,0.0026893302885374927,0.002569403100775194
楽園,recent60d,17,158.0,0.0030376456205160798,0.0028757531645569622
楽園,recent60d,18,109.0,0.003167395758347638,0.003049880733944954
楽園,recent60d,19,114.0,0.0028355782577802417,0.002744035087719298
楽園,recent60d,20,124.0,0.0030081634711684644,0.002890508064516129
楽園,recent60d,21,114.0,0.00305294385408655,0.002934780701754386
楽園,recent60d,22,152.0,0.003152058609896168,0.003066572368421053
楽園,recent60d,23,142.0,0.0030124864138574375,0.0028753098591549294
楽園,recent60d,24,129.0,0.003062840990156709,0.0029637131782945737
楽園,recent60d,25,136.0,0.0032019313514072335,0.003023485294117647
楽園,recent60d,26,107.0,0.003047668059384181,0.0029329626168224303
楽園,recent60d,27,148.0,0.003089783296966059,0.002881391891891892
楽園,recent60d,28,130.0,0.0029498430129918617,0.002827576923076923
楽園,recent60d,29,107.0,0.0029218053495920267,0.002815485981308411
楽園,recent60d,30,149.0,0.002806139994372714,0.0026804429530201345
楽園,recent60d,31,71.0,0.0027551011757924095,0.002653394366197183
レイトギャップ,full,1,1194.0,0.0028846306830314413,0.0027882118927973197
レイトギャップ,full,2,1179.0,0.0028631621786134663,0.0027532832909245124
レイトギャップ,full,3,1202.0,0.002793238627675382,0.0027099126455906826
レイトギャップ,full,4,1264.0,0.002927680095416133,0.002814164556962025
レイトギャップ,full,5,1150.0,0.002869408510050514,0.002795845217391304
レイトギャップ,full,6,1293.0,0.0029090604868224706,0.0027922134570765663
レイトギャップ,full,7,1124.0,0.0028666675149186314,0.0027710124555160144
レイトギャップ,full,8,1043.0,0.0028904367092341585,0.0027824496644295303
レイトギャップ,full,9,1072.0,0.0029295022530502974,0.0028163815298507464
レイトギャップ,full,10,990.0,0.002963845826152252,0.002859610101010101
レイトギャップ,full,11,1059.0,0.002921327198714012,0.002799483474976393
レイトギャップ,full,12,1022.0,0.003014284643837576,0.0028897093933463796
レイトギャップ,full,13,1133.0,0.0028294459252468335,0.002725190644307149
レイトギャップ,full,14,1141.0,0.0029954829262243085,0.0028814609991235757
レイトギャップ,full,15,1150.0,0.002911003362720075,0.0027991634782608696
レイトギャップ,full,16,1294.0,0.0030232126784888952,0.002902626738794436
レイトギャップ,full,17,1088.0,0.003009931200740691,0.002895029411764706
レイトギャップ,full,18,1074.0,0.0028920217011786844,0.0027797830540037243
レイトギャップ,full,19,1257.0,0.0031278421425949333,0.002989025457438345
レイトギャップ,full,20,1224.0,0.002953437650007571,0.0028344452614379088
レイトギャップ,full,21,1181.0,0.00295497343811776,0.0028613302286198137
レイトギャップ,full,22,1152.0,0.002960928979740585,0.0028480555555555555
レイトギャップ,full,23,1118.0,0.0029075719567936047,0.0028063944543828263
レイトギャップ,full,24,1081.0,0.00302737650555594,0.002883900092506938
レイトギャップ,full,25,1154.0,0.0030332384549787423,0.0029106941074523397
レイトギャップ,full,26,1392.0,0.0030347253329414074,0.0029262658045977013
レイトギャップ,full,27,1202.0,0.0028795465927751846,0.002782123960066556
レイトギャップ,full,28,1179.0,0.002879637955071409,0.002791130619168787
レイトギャップ,full,29,1121.0,0.002856845523633839,0.0027562087421944695
レイトギャップ,full,30,1230.0,0.0031706719378517914,0.0030351260162601625
レイトギャップ,full,31,588.0,0.0029085171232071235,0.002774323129251701
レイトギャップ,recent60d,1,125.0,0.003007401693934764,0.002928416
レイトギャップ,recent60d,2,136.0,0.003001593851106947,0.0028574852941176472
レイトギャップ,recent60d,3,154.0,0.002822388782021302,0.002733207792207792
レイトギャップ,recent60d,4,163.0,0.002904424103386924,0.0028012147239263804
レイトギャップ,recent60d,5,69.0,0.0027952865474541178,0.0026596231884057973
レイトギャップ,recent60d,6,176.0,0.0031667919198138405,0.0031131647727272727
レイトギャップ,recent60d,7,153.0,0.0028083076844084014,0.0027499803921568625
レイトギャップ,recent60d,8,133.0,0.0031325798452654405,0.00306106015037594
レイトギャップ,recent60d,9,161.0,0.002892252860090246,0.0027669378881987577
レイトギャップ,recent60d,10,151.0,0.002696156712445438,0.00264294701986755
レイトギャップ,recent60d,11,120.0,0.0029051506020020992,0.0028084583333333334
レイトギャップ,recent60d,12,56.0,0.0029623547500311933,0.002914392857142857
レイトギャップ,recent60d,13,144.0,0.0029028196377600146,0.0027741527777777777
レイトギャップ,recent60d,14,153.0,0.0030585232470830633,0.002931516339869281
レイトギャップ,recent60d,15,136.0,0.0028949752456216005,0.0028323602941176473
レイトギャップ,recent60d,16,171.0,0.003016610155438816,0.002897502923976608
レイトギャップ,recent60d,17,150.0,0.0030574104745667995,0.0029237399999999998
レイトギャップ,recent60d,18,130.0,0.003050371038741383,0.0029281615384615387
レイトギャップ,recent60d,19,165.0,0.002968460111317254,0.0028506181818181817
レイトギャップ,recent60d,20,157.0,0.003195035690210817,0.003058668789808917
レイトギャップ,recent60d,21,131.0,0.0030261885629031576,0.002983259541984733
レイトギャップ,recent60d,22,130.0,0.003173585875509547,0.0030681230769230767
レイトギャップ,recent60d,23,158.0,0.0027862334794733854,0.002715613924050633
レイトギャップ,recent60d,24,150.0,0.002994181431657705,0.00282344
レイトギャップ,recent60d,25,138.0,0.0029529198572503016,0.0028179855072463767
レイトギャップ,recent60d,26,170.0,0.0031402522111835095,0.003030988235294117
レイトギャップ,recent60d,27,145.0,0.0029064481502554507,0.002847537931034483
レイトギャップ,recent60d,28,141.0,0.002736510741702104,0.0026573404255319146
レイトギャップ,recent60d,29,132.0,0.0030156065410682086,0.002904439393939394
レイトギャップ,recent60d,30,164.0,0.003287066730503437,0.003181658536585366
レイトギャップ,recent60d,31,86.0,0.0032466068449294315,0.0031538139534883726
ARROW,full,1,1400.0,0.002796072861981678,0.00268544
ARROW,full,2,1452.0,0.0027542436386146676,0.0026545509641873275
ARROW,full,3,1303.0,0.0027646118807357362,0.002662688411358404
ARROW,full,4,1367.0,0.002808394477046705,0.0027191243599122166
ARROW,full,5,1426.0,0.0031077513485358818,0.0030023176718092562
ARROW,full,6,1366.0,0.0028243472233288403,0.0027128638360175697
ARROW,full,7,1362.0,0.0027907113048368563,0.002690157121879589
ARROW,full,8,1372.0,0.0028050270532230014,0.002697911807580175
ARROW,full,9,1348.0,0.0027708426243949736,0.0026541728486646882
ARROW,full,10,1341.0,0.002783510872987111,0.002668625652498136
ARROW,full,11,1404.0,0.002839718576717362,0.002743460113960114
ARROW,full,12,1283.0,0.002754303903052384,0.0026487560405300077
ARROW,full,13,1349.0,0.002739575495742966,0.002641584136397331
ARROW,full,14,1343.0,0.0027356931272137196,0.0026412807148175725
ARROW,full,15,1424.0,0.003129479974631072,0.0030266980337078655
ARROW,full,16,1324.0,0.0028070393037931355,0.002693300604229607
ARROW,full,17,1237.0,0.0028278931623299435,0.002722993532740501
ARROW,full,18,1385.0,0.002780782755082728,0.0026844166064981948
ARROW,full,19,1244.0,0.002757455984854221,0.0026393577170418007
ARROW,full,20,1274.0,0.002742114213751661,0.0026432849293563576
ARROW,full,21,1231.0,0.0027930680924955023,0.0026699082047116165
ARROW,full,22,1406.0,0.0029233147253416776,0.0028025839260312946
ARROW,full,23,1319.0,0.002815042224889951,0.002709755875663381
ARROW,full,24,1334.0,0.002814382997185617,0.002698387556221889
ARROW,full,25,1341.0,0.003077959808668124,0.0029702498135719614
ARROW,full,26,1315.0,0.0028110893355863483,0.0027095794676806084
ARROW,full,27,1322.0,0.002737969088730167,0.0026466845688350982
ARROW,full,28,1315.0,0.0027635108315190587,0.0026523079847908747
ARROW,full,29,1196.0,0.002737617227304624,0.0026192734113712375
ARROW,full,30,1169.0,0.0030045238978993597,0.0028677399486740805
ARROW,full,31,752.0,0.0027185850495292925,0.0026186343085106384
ARROW,recent60d,1,78.0,0.00275855831411387,0.002637448717948718
ARROW,recent60d,2,140.0,0.002869930192866927,0.0027352357142857143
ARROW,recent60d,3,73.0,0.002915599298907914,0.0027707671232876712
ARROW,recent60d,4,156.0,0.0026673327890625953,0.002586525641025641
ARROW,recent60d,5,159.0,0.0033430490226868397,0.0032499748427672957
ARROW,recent60d,6,159.0,0.003007213020560793,0.002940169811320755
ARROW,recent60d,7,151.0,0.002826510472387265,0.0027188079470198676
ARROW,recent60d,8,155.0,0.0027443143605482855,0.0026280709677419358
ARROW,recent60d,9,153.0,0.0026719445818901536,0.0025671176470588235
ARROW,recent60d,10,156.0,0.0028469439656065233,0.0027735384615384614
ARROW,recent60d,11,148.0,0.0029870440212365844,0.0028758243243243243
ARROW,recent60d,12,72.0,0.0028144023066709427,0.002658236111111111
ARROW,recent60d,13,151.0,0.0026601122784042216,0.002583774834437086
ARROW,recent60d,14,146.0,0.0027760047383281294,0.0026714931506849316
ARROW,recent60d,15,159.0,0.00315385806580685,0.0030444025157232704
ARROW,recent60d,16,149.0,0.002833878722871928,0.0026913020134228184
ARROW,recent60d,17,80.0,0.0027385512194010404,0.0026623875
ARROW,recent60d,18,154.0,0.0027500965227440937,0.002624227272727273
ARROW,recent60d,19,76.0,0.002703674183818588,0.0025626842105263155
ARROW,recent60d,20,78.0,0.002762825469212472,0.002635897435897436
ARROW,recent60d,21,70.0,0.00274695526794212,0.002664857142857143
ARROW,recent60d,22,160.0,0.0030309861977405378,0.0029407375
ARROW,recent60d,23,155.0,0.002785304090448959,0.0026558322580645163
ARROW,recent60d,24,158.0,0.0029109272763482258,0.002799651898734177
ARROW,recent60d,25,80.0,0.0030785864678768565,0.0029604124999999997
ARROW,recent60d,26,150.0,0.0028542153586520497,0.0027259933333333335
ARROW,recent60d,27,151.0,0.002660021135476336,0.002530907284768212
ARROW,recent60d,28,75.0,0.0028463754557921483,0.002728026666666667
ARROW,recent60d,29,144.0,0.00283800209175453,0.002714236111111111
ARROW,recent60d,30,80.0,0.002998528061559089,0.002944175
ARROW,recent60d,31,79.0,0.002542225896966198,0.0024132658227848103
ヒロキ,full,1,812.0,0.0028456671135331803,0.002724081280788177
ヒロキ,full,2,675.0,0.0029292665005517583,0.0028068548148148147
ヒロキ,full,3,687.0,0.002864787639327702,0.0027436957787481805
ヒロキ,full,4,676.0,0.0028556186861071237,0.002761991124260355
ヒロキ,full,5,687.0,0.003084162460523865,0.002954439592430859
ヒロキ,full,6,964.0,0.002982931435443789,0.00281998132780083
ヒロキ,full,7,750.0,0.0029100526175547376,0.0027816413333333337
ヒロキ,full,8,650.0,0.003021713203026584,0.0028947892307692306
ヒロキ,full,9,594.0,0.0029891088507524753,0.002854560606060606
ヒロキ,full,10,640.0,0.0029213007497706977,0.0028223281249999998
ヒロキ,full,11,911.0,0.0030552886899420403,0.0029047475301866078
ヒロキ,full,12,607.0,0.0029628762150134677,0.002857001647446458
ヒロキ,full,13,728.0,0.003034093413052008,0.002892449175824176
ヒロキ,full,14,643.0,0.002962955837047049,0.0028454712286158632
ヒロキ,full,15,738.0,0.0030176286956852933,0.0028947669376693766
ヒロキ,full,16,880.0,0.002990954474317478,0.002820114772727273
ヒロキ,full,17,640.0,0.0030232525927710177,0.0028755609375
ヒロキ,full,18,594.0,0.002915265070922705,0.0028246582491582494
ヒロキ,full,19,588.0,0.0029074309170338485,0.0028133979591836735
ヒロキ,full,20,658.0,0.0028639645068688248,0.0027616854103343466
ヒロキ,full,21,691.0,0.002962041578011544,0.0028267901591895804
ヒロキ,full,22,729.0,0.003000271204436212,0.0028900877914951988
ヒロキ,full,23,680.0,0.002951411988565095,0.002816664705882353
ヒロキ,full,24,640.0,0.0029163570307984476,0.0028041609375
ヒロキ,full,25,699.0,0.002981612759744584,0.0028727181688125896
ヒロキ,full,26,938.0,0.002956003125073818,0.0027918912579957354
ヒロキ,full,27,664.0,0.0029146838445087693,0.0028011807228915664
ヒロキ,full,28,595.0,0.0028707414299809753,0.002755509243697479
ヒロキ,full,29,618.0,0.00286573668379793,0.0027775129449838184
ヒロキ,full,30,804.0,0.003130104003860227,0.002928099502487562
ヒロキ,full,31,411.0,0.0028561157784020557,0.002744265206812652
ヒロキ,recent60d,1,58.0,0.0027946621952071545,0.0027767758620689657
ヒロキ,recent60d,2,48.0,0.0029621196548761655,0.002887895833333333
