hall,period,dd,n,rb_rate_pooled,rb_rate_mean
みとや,full,1,1419.0,0.002888197294910725,0.002765231148696265
みとや,full,2,1360.0,0.002963932212780368,0.0028427595588235294
みとや,full,3,1376.0,0.0029594650233653146,0.0028244956395348836
みとや,full,4,1657.0,0.0029958358416162147,0.0028968461074230538
みとや,full,5,1291.0,0.003033591632871948,0.00289484043377227
みとや,full,6,1247.0,0.0029392974151552977,0.0028270529270248597
みとや,full,7,1484.0,0.0030046909938148112,0.0028730613207547167
みとや,full,8,1255.0,0.002960022632725996,0.002852444621513944
みとや,full,9,1276.0,0.002941486189800399,0.0028145266457680253
みとや,full,10,1307.0,0.0029871742889923418,0.002858018362662586
みとや,full,11,1337.0,0.0029446181773152705,0.0028080807778608826
みとや,full,12,1177.0,0.002917553517054766,0.002790126593033135
みとや,full,13,1322.0,0.002931601012742744,0.0028020272314674736
みとや,full,14,1568.0,0.0030007670985631014,0.0028854470663265304
みとや,full,15,1284.0,0.002917141937936884,0.0027852842679127725
みとや,full,16,1240.0,0.0029208844149300407,0.0027913612903225807
みとや,full,17,1469.0,0.00299596389296705,0.0028326535057862493
みとや,full,18,1258.0,0.00293282594103153,0.0028041224165341813
みとや,full,19,1233.0,0.0029205778672142606,0.0028036326034063257
みとや,full,20,1231.0,0.002895050364897968,0.0027727303005686435
みとや,full,21,1254.0,0.002989921744065018,0.002844633971291866
みとや,full,22,1268.0,0.0029111782751291694,0.0028052507886435333
みとや,full,23,1227.0,0.0029459372826817314,0.0028280252648736756
みとや,full,24,1554.0,0.003002989452093159,0.0028896814671814674
みとや,full,25,1226.0,0.0029098959869695144,0.0027912340946166397
みとや,full,26,1223.0,0.0029431599472618066,0.0028073941128372855
みとや,full,27,1453.0,0.002974255238921665,0.002839704748795595
みとや,full,28,1243.0,0.002936645616658923,0.002827632341110217
みとや,full,29,1124.0,0.0029101226453218543,0.0027749368327402136
みとや,full,30,1188.0,0.0030148993262954847,0.0028767575757575755
みとや,full,31,634.0,0.002858925811936777,0.002740828075709779
みとや,recent60d,1,141.0,0.002901536275989787,0.0027222553191489363
みとや,recent60d,2,133.0,0.0028265691367467785,0.002715563909774436
みとや,recent60d,3,137.0,0.0030026517480283062,0.0028656715328467157
みとや,recent60d,4,167.0,0.0027835402779437654,0.002688245508982036
みとや,recent60d,5,63.0,0.0028572026625361077,0.002637634920634921
みとや,recent60d,6,166.0,0.00292056831926229,0.002785819277108434
みとや,recent60d,7,163.0,0.0029200417690761087,0.0027932269938650304
みとや,recent60d,8,131.0,0.00298361138385845,0.002844450381679389
