hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
楽園,ゴーゴージャグラー3,full,1,209,0.003249688843312603,0.0031081626794258375
楽園,ゴーゴージャグラー3,full,2,193,0.0034631451140413904,0.003298937823834197
楽園,ゴーゴージャグラー3,full,3,203,0.003338313896855744,0.0031438571428571427
楽園,ゴーゴージャグラー3,full,4,186,0.0032596649064476173,0.0030965591397849462
楽園,ゴーゴージャグラー3,full,5,209,0.003313798959689887,0.0031837655502392342
楽園,ゴーゴージャグラー3,full,6,183,0.0031806986352123146,0.003042360655737705
楽園,ゴーゴージャグラー3,full,7,189,0.00314258295981358,0.003043746031746032
楽園,ゴーゴージャグラー3,full,8,163,0.0031437272816583163,0.0030530858895705523
楽園,ゴーゴージャグラー3,full,9,154,0.0032202162705970267,0.003160766233766234
楽園,ゴーゴージャグラー3,full,10,175,0.0032135411534193947,0.003093382857142857
楽園,ゴーゴージャグラー3,full,11,222,0.0033291499647182476,0.0031535225225225224
楽園,ゴーゴージャグラー3,full,12,168,0.0032639437207373978,0.003130029761904762
楽園,ゴーゴージャグラー3,full,13,177,0.0032661277639732017,0.0031586327683615816
楽園,ゴーゴージャグラー3,full,14,149,0.003100218338547623,0.0029885704697986577
楽園,ゴーゴージャグラー3,full,15,204,0.0034543957278898624,0.0033161862745098043
楽園,ゴーゴージャグラー3,full,16,161,0.0032855410142624323,0.0031169937888198755
楽園,ゴーゴージャグラー3,full,17,174,0.003222595605988362,0.003112310344827586
楽園,ゴーゴージャグラー3,full,18,173,0.003233343858541206,0.00312378612716763
楽園,ゴーゴージャグラー3,full,19,157,0.0030303463003596752,0.0029409936305732484
楽園,ゴーゴージャグラー3,full,20,161,0.003296918449188709,0.003123807453416149
楽園,ゴーゴージャグラー3,full,21,141,0.0031995794467583167,0.003063163120567376
楽園,ゴーゴージャグラー3,full,22,226,0.0032478825793208145,0.003114159292035398
楽園,ゴーゴージャグラー3,full,23,185,0.0032698582440150643,0.0031801621621621624
楽園,ゴーゴージャグラー3,full,24,172,0.0031622209904416834,0.003025616279069768
楽園,ゴーゴージャグラー3,full,25,193,0.003507829867165375,0.003349440414507772
楽園,ゴーゴージャグラー3,full,26,169,0.0033957984412296086,0.0032348639053254437
楽園,ゴーゴージャグラー3,full,27,172,0.0032620654680839663,0.003135308139534884
楽園,ゴーゴージャグラー3,full,28,172,0.003114563699860548,0.0030035
楽園,ゴーゴージャグラー3,full,29,138,0.003196335044171119,0.0030674782608695653
楽園,ゴーゴージャグラー3,full,30,195,0.003223151762782399,0.0030712820512820514
楽園,ゴーゴージャグラー3,full,31,88,0.003133047104338616,0.0030149204545454546
楽園,ゴーゴージャグラー3,recent60d,1,20,0.003043254492156907,0.0028189
楽園,ゴーゴージャグラー3,recent60d,2,19,0.003284025358387115,0.0033525789473684213
楽園,ゴーゴージャグラー3,recent60d,3,17,0.0032368380314395486,0.0031241764705882353
楽園,ゴーゴージャグラー3,recent60d,4,24,0.003431475696411518,0.003103291666666667
楽園,ゴーゴージャグラー3,recent60d,5,14,0.003166770998269323,0.0030487857142857144
楽園,ゴーゴージャグラー3,recent60d,6,26,0.0031360766504209127,0.003003153846153846
楽園,ゴーゴージャグラー3,recent60d,7,23,0.0031625123269969735,0.0030752608695652174
楽園,ゴーゴージャグラー3,recent60d,8,19,0.0033994469913697137,0.003418842105263158
楽園,ゴーゴージャグラー3,recent60d,9,18,0.003305399733922179,0.0031736666666666666
楽園,ゴーゴージャグラー3,recent60d,10,22,0.0030537283334133576,0.0029473636363636364
楽園,ゴーゴージャグラー3,recent60d,11,21,0.003453025642960922,0.0031899999999999997
