hall,machine_name,full_range,full_n,full_kruskal_p,full_effect_size,full_top_dd,recent_range,recent_n,recent_kruskal_p,recent_effect_size,recent_top_dd,n_common_dd_levels,spearman_rho,spearman_p,verdict,note
蒲田1,アイムジャグラーEX-TP,2025-01-01~2026-01-05,7152,5.996851154154851e-05,0.005520701945120582,31,2025-11-07~2026-01-05,99,,,7,1,,,no_signal,n_common_dd_levels=1 < 8
蒲田1,ウルトラミラクルジャグラー,2025-01-01~2026-07-04,1794,0.008868502391570457,0.012129038765429001,23,2026-05-06~2026-07-04,202,0.18405040992783134,0.038814508319806776,11,28,0.22879036672140118,0.24157387722865659,recent_drift,
蒲田1,ゴーゴージャグラー3,2025-01-01~2026-07-04,6465,1.0098466014648972e-06,0.008084379640085303,30,2026-05-06~2026-07-04,673,0.05304039846443368,0.021008218914464846,17,31,0.23911290322580647,0.19514681830790007,recent_drift,
蒲田1,ジャグラーガールズ,2025-01-01~2026-07-04,2196,0.014771395645120379,0.008897932853683682,30,2026-05-06~2026-07-04,187,0.177343543268166,0.04416495579079629,30,27,0.11660561660561661,0.562446243701679,recent_drift,
蒲田1,ネオアイムジャグラーEX,2025-09-08~2026-07-04,4648,0.7178261068604501,0.0,20,2026-05-06~2026-07-04,1048,0.08722870797993434,0.01079689152650558,11,31,0.059677419354838716,0.7498025015817094,no_signal,
蒲田1,ハッピージャグラーVIII,2025-01-01~2026-07-04,4667,0.43695711693620115,0.0001220987483941992,13,2026-05-06~2026-07-04,427,0.07192731604256616,0.030239869302306238,9,31,0.19596774193548389,0.29071626762763736,recent_drift,
蒲田1,ファンキージャグラー2,2025-01-01~2026-07-04,5836,0.0004206779794703596,0.0056441033833935,9,2026-05-06~2026-07-04,516,0.02913672053670765,0.03359216024346092,4,31,-0.11008064516129033,0.5555175321771062,recent_drift,
蒲田1,マイジャグラーV,2025-01-01~2026-07-04,11882,2.8382202017817507e-11,0.006858702013800832,30,2026-05-06~2026-07-04,1256,7.600343601337154e-05,0.03145906868059859,13,31,0.23306451612903228,0.2070262082644391,recent_drift,
蒲田1,ミスタージャグラー,2025-01-01~2026-07-04,1686,0.16345882839742032,0.004521906337633386,30,2026-05-06~2026-07-04,175,0.3599029365630816,0.013945540060649483,30,20,0.6556390977443608,0.001698366104951452,no_signal,
