hall,machine_name,full_range,full_n,full_kruskal_p,full_effect_size,full_top_dd,recent_range,recent_n,recent_kruskal_p,recent_effect_size,recent_top_dd,n_common_dd_levels,spearman_rho,spearman_p,verdict,note
みとや,アイムジャグラーEX-TP,2025-01-01~2026-04-19,5972,0.26088328299523866,0.0007592289076645375,30,2026-02-19~2026-04-19,110,0.4982875683475255,0.0,17.0,10,0.33333333333333326,0.3465935070873343,no_signal,
みとや,ウルトラミラクルジャグラー,2025-01-01~2026-07-04,2140,0.04810655181149732,0.006618591860309711,24,2026-05-06~2026-07-04,210,0.7279781471987823,0.0,29.0,27,0.2741147741147741,0.1664764907540249,no_signal,
みとや,ゴーゴージャグラー3,2025-01-01~2026-07-04,4846,0.00037910514068071704,0.006879511933806029,5,2026-05-06~2026-07-04,515,0.41052643316730714,0.0022057138266306387,5.0,30,0.4562847608453838,0.011265435166675178,no_signal,
みとや,ジャグラーガールズ,2025-01-01~2026-07-04,2477,0.25051871433548073,0.001956572286403194,9,2026-05-06~2026-07-04,256,0.051900085960671624,0.058592655604272015,24.0,27,0.4304029304029304,0.025025761922797894,recent_drift,
みとや,ネオアイムジャグラーEX,2025-09-01~2026-07-04,3602,0.8866988544626166,0.0,31,2026-05-06~2026-07-04,772,0.3549398438349819,0.002997352098448595,13.0,30,0.15728587319243603,0.40649970997409246,no_signal,
みとや,ファンキージャグラー2,2025-01-01~2026-07-04,2002,0.5742932405681974,0.0,2,2026-05-06~2026-07-04,273,0.8448665633381818,0.0,8.0,29,0.25369458128078815,0.18419807423105047,no_signal,
みとや,マイジャグラーV,2025-01-01~2026-07-04,17245,0.014151488594808343,0.0011296325167992017,24,2026-05-06~2026-07-04,1856,0.6401907302959452,0.0,3.0,30,0.16484983314794216,0.3840102408469911,no_signal,
みとや,ミスタージャグラー,2025-01-01~2026-07-04,1901,0.6777224618262441,0.0,21,2026-05-06~2026-07-04,185,0.6073674121570474,0.0,8.0,23,-0.08596837944664032,0.6965207900633736,no_signal,
蒲田7,アイムジャグラーEX-TP,2025-07-07~2026-01-04,3727,0.0008497736719225833,0.00819452138615225,30,2025-11-06~2026-01-04,388,0.7784452735900338,0.0,13.0,30,-0.09276974416017797,0.6258447366921263,no_signal,
蒲田7,ウルトラミラクルジャグラー,2025-07-07~2026-07-04,1451,0.06621487072138196,0.008727112128443888,8,2026-05-06~2026-07-04,230,0.26640820133998566,0.020768430035195132,3.0,27,0.6306471306471306,0.00042127521964595077,recent_drift,
蒲田7,ゴーゴージャグラー3,2025-07-07~2026-07-04,6503,6.13316388704529e-05,0.006062975398099323,16,2026-05-06~2026-07-04,992,4.1652480202857106e-05,0.04156769333954666,13.0,30,0.4843159065628476,0.006687179946541408,recent_drift,
蒲田7,ジャグラーガールズ,2025-07-07~2026-07-04,2470,0.0005741318820063457,0.012987697535511112,6,2026-05-06~2026-07-04,376,0.20892254164938573,0.01678993405956886,6.0,29,0.405911330049261,0.02890465421298747,no_signal,
蒲田7,ネオアイムジャグラーEX,2025-09-08~2026-07-04,6480,0.016552547043255962,0.0029119084156728884,19,2026-05-06~2026-07-04,1579,0.00740889292220627,0.014068934103480864,17.0,30,0.4313681868743047,0.017309561218938795,no_signal,
蒲田7,ハッピージャグラーVIII,2025-07-07~2026-07-04,2711,0.07259665628195319,0.004450718001329278,27,2026-05-06~2026-07-04,402,0.18670333229535957,0.017637370648220508,26.0,30,0.3592880978865406,0.051181763657512994,no_signal,
蒲田7,ファンキージャグラー2,2025-07-07~2026-07-04,6634,6.120141563262138e-15,0.015609791993191608,14,2026-05-06~2026-07-04,1039,0.07373371080054272,0.011554425037662443,9.0,30,0.07052280311457175,0.7111457528980899,no_signal,
蒲田7,マイジャグラーV,2025-07-07~2026-07-04,18464,1.8407345892417314e-40,0.013030335235422696,31,2026-05-06~2026-07-04,2901,1.8057274740532736e-14,0.03462259674531506,30.0,30,0.2849833147942158,0.12689908311780826,recent_drift,
蒲田7,ミスタージャグラー,2025-07-07~2026-07-04,1827,0.6167046725570675,0.0,1,2026-05-06~2026-07-04,273,0.22198508712806286,0.02207898203144328,1.0,28,0.45977011494252873,0.01383334003681399,recent_drift,
蒲田1,アイムジャグラーEX-TP,2025-01-01~2026-01-05,7152,5.996851154154851e-05,0.005520701945120582,31,2025-11-07~2026-01-05,99,,,7.0,1,,,no_signal,n_common_dd_levels=1 < 8
蒲田1,ウルトラミラクルジャグラー,2025-01-01~2026-07-04,1794,0.008868502391570457,0.012129038765429001,23,2026-05-06~2026-07-04,202,0.18405040992783134,0.038814508319806776,11.0,28,0.22879036672140118,0.24157387722865659,recent_drift,
蒲田1,ゴーゴージャグラー3,2025-01-01~2026-07-04,6465,1.0098466014648972e-06,0.008084379640085303,30,2026-05-06~2026-07-04,673,0.05304039846443368,0.021008218914464846,17.0,31,0.23911290322580647,0.19514681830790007,recent_drift,
蒲田1,ジャグラーガールズ,2025-01-01~2026-07-04,2196,0.014771395645120379,0.008897932853683682,30,2026-05-06~2026-07-04,187,0.177343543268166,0.04416495579079629,30.0,27,0.11660561660561661,0.562446243701679,recent_drift,
蒲田1,ネオアイムジャグラーEX,2025-09-08~2026-07-04,4648,0.7178261068604501,0.0,20,2026-05-06~2026-07-04,1048,0.08722870797993434,0.01079689152650558,11.0,31,0.059677419354838716,0.7498025015817094,no_signal,
蒲田1,ハッピージャグラーVIII,2025-01-01~2026-07-04,4667,0.43695711693620115,0.0001220987483941992,13,2026-05-06~2026-07-04,427,0.07192731604256616,0.030239869302306238,9.0,31,0.19596774193548389,0.29071626762763736,recent_drift,
蒲田1,ファンキージャグラー2,2025-01-01~2026-07-04,5836,0.0004206779794703596,0.0056441033833935,9,2026-05-06~2026-07-04,516,0.02913672053670765,0.03359216024346092,4.0,31,-0.11008064516129033,0.5555175321771062,recent_drift,
蒲田1,マイジャグラーV,2025-01-01~2026-07-04,11882,2.8382202017817507e-11,0.006858702013800832,30,2026-05-06~2026-07-04,1256,7.600343601337154e-05,0.03145906868059859,13.0,31,0.23306451612903228,0.2070262082644391,recent_drift,
蒲田1,ミスタージャグラー,2025-01-01~2026-07-04,1686,0.16345882839742032,0.004521906337633386,30,2026-05-06~2026-07-04,175,0.3599029365630816,0.013945540060649483,30.0,20,0.6556390977443608,0.001698366104951452,no_signal,
楽園,アイムジャグラーEX-TP,2025-01-01~2025-11-03,6295,6.599211959657765e-10,0.011626866152784266,25,2025-09-05~2025-11-03,833,0.0017537104708259124,0.034135777312626146,1.0,30,0.5426028921023358,0.001949195852675787,recent_drift,
楽園,ゴーゴージャグラー3,2025-01-01~2026-07-04,5461,0.0014024419308101012,0.005244242917980147,25,2026-05-06~2026-07-04,598,0.4062750265987101,0.002092778823851933,25.0,31,0.35887096774193555,0.04741218357779177,no_signal,
楽園,ジャグラーガールズ,2025-01-01~2026-07-04,1620,0.013994697114095745,0.012267177910937352,25,2026-05-06~2026-07-04,168,0.5952683951414739,0.0,27.0,23,0.3112648221343874,0.14825337031304392,no_signal,
楽園,ネオアイムジャグラーEX,2025-09-29~2026-07-04,5858,5.588005241608534e-07,0.009228161615227203,11,2026-05-06~2026-07-04,1379,3.009427054391881e-05,0.03081696448194817,15.0,31,0.5479838709677419,0.001416828658964871,recent_drift,
楽園,ハッピージャグラーVIII,2025-01-01~2026-07-04,3293,0.2577983730565897,0.0014076436367926057,15,2026-05-06~2026-07-04,360,0.37557928829859644,0.005555590220620186,5.0,31,-0.0068548387096774195,0.970805482704083,no_signal,
楽園,ファンキージャグラー2,2025-01-01~2026-07-04,2577,0.4719739478632766,0.0,17,2026-05-06~2026-07-04,307,0.027154707849872346,0.060179878018067595,5.0,31,0.3120967741935484,0.08740195804067992,recent_drift,
楽園,マイジャグラーV,2025-01-01~2026-07-04,9784,3.2431656393571684e-12,0.00891939352069707,5,2026-05-06~2026-07-04,1061,0.004255410829084974,0.023592813673269056,5.0,31,0.6173387096774193,0.00021598796760505834,recent_drift,
レイトギャップ,アイムジャグラーEX-TP,2025-03-20~2026-07-04,10248,7.530531599748427e-36,0.02117943295520856,19,2026-05-06~2026-07-04,228,0.0122829274889535,0.10128492497505148,21.0,29,-0.030049261083743836,0.8770287826136491,recent_drift,
レイトギャップ,ウルトラミラクルジャグラー,2025-03-20~2026-07-04,1496,0.0464559795022606,0.00964211670168976,30,2026-05-06~2026-07-04,181,0.4334721973556531,0.0033456275067004796,27.0,22,0.2930547713156409,0.18563736889409577,no_signal,
レイトギャップ,ゴーゴージャグラー3,2025-03-20~2026-07-04,5440,0.06291237075970656,0.0023383358220479588,19,2026-05-06~2026-07-04,711,0.006217459648297527,0.03354722087164511,18.0,31,0.5560483870967743,0.0011623975171298569,recent_drift,
レイトギャップ,ジャグラーガールズ,2025-03-20~2026-07-04,1534,0.2928049868438973,0.0024646576817984947,17,2026-05-06~2026-07-04,186,0.01704068907264787,0.1191400479994434,17.0,27,0.16178266178266176,0.420127072582745,recent_drift,
