iter	Passed	Remaining
319	10309	5799
320	10340	5766
321	10372	5733
322	10404	5701
323	10434	5668
324	10466	5635
325	10497	5603
326	10528	5569
327	10558	5536
328	10590	5504
329	10621	5471
330	10652	5439
331	10685	5406
332	10716	5374
333	10748	5341
334	10779	5309
335	10810	5276
336	10840	5243
337	10871	5210
338	10903	5178
339	10933	5145
340	10963	5112
341	10995	5079
342	11026	5046
343	11056	5013
344	11087	4981
345	11118	4948
346	11148	4915
347	11179	4882
348	11211	4850
349	11242	4818
350	11275	4786
351	11305	4753
352	11335	4720
353	11367	4688
354	11398	4655
355	11428	4622
356	11460	4590
357	11492	4558
358	11523	4526
359	11554	4493
360	11585	4460
361	11617	4428
362	11647	4395
363	11682	4364
364	11716	4333
365	11751	4302
366	11789	4272
367	11829	4243
368	11869	4213
369	11904	4182
370	11935	4150
371	11968	4118
372	11998	4085
373	12029	4052
374	12060	4020
375	12091	3987
376	12123	3955
377	12154	3922
378	12184	3890
379	12218	3858
380	12250	3826
381	12285	3794
382	12316	3762
383	12348	3730
384	12379	3697
385	12410	3665
386	12442	3633
387	12472	3600
388	12503	3567
389	12535	3535
390	12566	3503
391	12598	3470
392	12629	3438
393	12660	3406
394	12691	3373
395	12723	3341
396	12753	3308
397	12784	3276
398	12815	3243
399	12846	3211
400	12876	3179
401	12908	3146
402	12938	3114
403	12969	3081
404	12998	3049
405	13029	3016
406	13064	2985
407	13097	2953
408	13128	2921
409	13160	2888
410	13190	2856
411	13222	2824
412	13253	2791
413	13284	2759
414	13315	2727
415	13347	2695
416	13377	2662
417	13408	2630
418	13440	2598
419	13470	2565
420	13506	2534
421	13542	2503
422	13579	2471
423	13613	2440
424	13648	2408
425	13682	2376
426	13717	2345
427	13754	2313
428	13785	2281
429	13816	2249
430	13847	2216
431	13879	2184
432	13911	2152
433	13943	2120
434	13976	2088
435	14008	2056
436	14041	2024
437	14073	1992
438	14105	1959
439	14139	1928
440	14171	1895
441	14204	1863
442	14236	1831
443	14269	1799
444	14300	1767
445	14331	1735
446	14362	1702
447	14394	1670
448	14425	1638
449	14456	1606
450	14486	1573
451	14518	1541
452	14549	1509
453	14580	1477
454	14610	1444
455	14640	1412
456	14673	1380
457	14705	1348
458	14736	1316
459	14768	1284
460	14798	1251
461	14831	1219
462	14862	1187
463	14894	1155
464	14924	1123
465	14955	1091
466	14987	1059
467	15018	1026
468	15048	994
469	15079	962
470	15110	930
471	15141	898
472	15172	866
473	15204	833
474	15233	801
475	15265	769
476	15296	737
477	15329	705
478	15360	673
479	15391	641
480	15422	609
481	15453	577
482	15485	545
483	15516	512
484	15548	480
485	15579	448
486	15609	416
487	15638	384
488	15669	352
489	15700	320
490	15731	288
491	15763	256
492	15794	224
493	15825	192
494	15855	160
495	15887	128
496	15918	96
497	15950	64
498	15982	32
499	16014	0
