iter	PairLogit
0	0.5522310138
1	0.4563410282
2	0.3603355885
3	0.3189795017
4	0.2556807101
5	0.2279593647
6	0.1949574649
7	0.1675264388
8	0.1423791051
9	0.1265040934
10	0.1126707196
11	0.1058008969
12	0.09749564528
13	0.08868189156
14	0.08225141466
15	0.07600848377
16	0.07202573121
17	0.06727559119
18	0.06364698708
19	0.05913560092
20	0.05532767624
21	0.05303928256
22	0.050735116
23	0.04841950536
24	0.04502884299
25	0.04261523485
26	0.04102286696
27	0.03967817128
28	0.03776568919
29	0.03618636355
30	0.03512684256
31	0.0343272984
32	0.03328388184
33	0.03169745952
34	0.03099883907
35	0.02974669635
36	0.02913048491
37	0.02834082581
38	0.02761040255
39	0.0268121548
40	0.02599009871
41	0.02518277243
42	0.02443441749
43	0.02383824065
44	0.02314302325
45	0.02260685712
46	0.02216431312
47	0.02163186297
48	0.02095276117
49	0.02038607001
50	0.01998607442
51	0.01943811215
52	0.01890343241
53	0.0184699595
54	0.01794237643
55	0.01752786338
56	0.01727411896
57	0.0168412514
58	0.01657039858
59	0.01614705846
60	0.01577850617
61	0.01548320241
62	0.01514462568
63	0.01486386266
64	0.01456571743
65	0.01418694295
66	0.01379118394
67	0.01348935068
68	0.01333520748
69	0.01308104768
70	0.0128103504
71	0.0126701016
72	0.01249895804
73	0.01217748225
74	0.01190982293
75	0.01168968622
76	0.01143301278
77	0.01129716542
78	0.01115410961
79	0.01101931371
80	0.01077180356
81	0.01057655457
82	0.01036786288
83	0.01010916196
84	0.01003062166
85	0.009949235246
86	0.00974076055
87	0.009483999573
88	0.009280613624
89	0.009199628606
90	0.009117865935
91	0.008971836418
92	0.00870344229
93	0.00858027488
94	0.008483539335
95	0.008336354047
96	0.00821147114
97	0.008101118729
98	0.007978564128
99	0.007872064598
100	0.00766006764
101	0.007563250139
102	0.007410783321
103	0.00730036106
104	0.007243235596
105	0.007087204605
106	0.007025013212
107	0.006973748095
108	0.006887406111
109	0.006823739037
110	0.006685361266
111	0.00653473381
112	0.006438725628
113	0.006371565163
114	0.006248552352
115	0.006184939295
116	0.006165819708
117	0.006132649723
118	0.006060257554
119	0.005981042981
120	0.005871857982
121	0.005721365102
122	0.005628212355
123	0.005552544724
124	0.005520830397
125	0.005464809947
126	0.005415026098
127	0.005357131362
128	0.005321399309
129	0.00528039597
130	0.005182136782
131	0.00508990977
132	0.00500714872
133	0.004967638291
134	0.00493703736
135	0.00489958562
136	0.004812427796
137	0.004779441282
138	0.004741890356
139	0.004688086919
140	0.004626125563
141	0.004579464905
142	0.004531017505
143	0.004427296109
144	0.004378094338
145	0.004347593989
146	0.004255264532
147	0.004177943803
148	0.004113634117
149	0.004068620503
150	0.004015640356
151	0.003948631696
152	0.003886285704
153	0.00385129638
154	0.003798390739
155	0.003748424584
156	0.003693173872
157	0.003658578033
158	0.003617759794
159	0.003557533026
160	0.003534901422
161	0.003519125283
162	0.003479327075
163	0.003439700697
164	0.003375771921
165	0.003349774517
166	0.003320159856
167	0.003273799084
168	0.003250139765
169	0.003204571083
170	0.003183375811
171	0.003170652781
172	0.003137536347
173	0.003128786106
174	0.003109786659
175	0.00309039047
176	0.00306319911
177	0.003012506757
178	0.002999906428
179	0.002983791754
180	0.002937558107
181	0.002927389462
182	0.002903042361
183	0.002873820253
184	0.002851755824
185	0.002838947345
186	0.002821820788
187	0.002794189611
188	0.002773761749
189	0.00274973968
190	0.002730117645
191	0.002710941946
192	0.002676678821
193	0.002654648386
