date,daily_balance,cumulative_balance
2026-04-03,13385,13385
2026-04-06,1558,14943
2026-04-07,-6480,8463
2026-04-08,-33365,-24902
2026-04-09,-44384,-69286
2026-04-11,226760,157474
2026-04-12,20347,177821
2026-04-13,68635,246456
2026-04-16,10197,256653
2026-04-17,74231,330884
2026-04-19,87264,418148
2026-04-20,84942,503090
2026-04-22,0,503090
2026-04-24,30825,533915
2026-04-25,-17211,516704
2026-04-26,38039,554743
2026-04-29,-19519,535224
2026-04-30,62808,598032
2026-05-01,-1673,596359
2026-05-02,-53134,543225
2026-05-05,2906,546131
2026-05-06,-29961,516170
2026-05-07,-30058,486112
2026-05-09,49539,535651
2026-05-12,1586,537237
2026-05-13,-27374,509863
2026-05-15,49442,559305
2026-05-16,-22299,537006
2026-05-17,-7993,529013
2026-05-18,-6192,522821
2026-05-19,-50807,472014
2026-05-20,25077,497091
