rank,last_digit,combined_score
1,7,3.1999999999999997
2,9,2.8
3,2,2.6999999999999997
4,8,2.6
5,4,2.2
6,3,2.1
7,5,1.9000000000000001
8,1,1.7
9,6,1.5
10,0,1.3
