poco_machine,mapped_name,status,db_match
防振り,痛いのは嫌なので防御力に極振りしたいと思います,PARTIAL,痛いのは嫌なので防御力に極振りしたいと思います。
戦国乙女,L戦国乙女4 戦乱に閃く炯眼の軍師,PARTIAL,戦国乙女4 戦乱に閃く炯眼の軍師
貫通,戦国乙女,PARTIAL,戦国乙女4 戦乱に閃く炯眼の軍師
マギレコ,マギアレコード,PARTIAL,マギアレコード 魔法少女まどか☆マギカ外伝
パンドリ,Lバンドリ！,PARTIAL,バンドリ！
ドラハナ,ドラゴンハナハナ,PARTIAL,スマート沖スロ ドラゴンハナハナ～閃光～
キンハナ,キングハナハナ,PARTIAL,キングハナハナ-30
ガルパン,ガールズ&パンツァー,PARTIAL,ガールズ&パンツァー 最終章
L炎炎,L炎炎ノ消防隊,PARTIAL,炎炎ノ消防隊
S炎炎,S炎炎ノ消防隊,PARTIAL,炎炎ノ消防隊
